tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
111480,-1348447659447577721830,1231164399300998954307821,20869689903786423240340658978816,20807177774704798165297344282624,14042057575193507216,-971405942122524684897833,14.042057575193507,-971405.9421225247,14.042057575193507,-971405.9421225247,0.04212617272558052,0
111420,-111519589128298864422461,1342683988429297818730282,20807177774704798165297344282624,20744852891638828537450596401152,15360004001789284994,-1056223190312401593262268,15.360004001789285,-1056223.1903124016,29.402061576982792,-2027629.1324349265,0.08820618473094836,0
111360,0,1342683988429297818730282,20744852891638828537450596401152,20682714693720223762450860736512,15406150892216614773,-1053059426944808373496870,15.406150892216615,-1053059.4269448083,44.808212469199404,-3080688.559379735,0.1344246374075982,0
111300,-14572555599981461497499,1357256544029279280227781,20682714693720223762450860736512,20620762621760707043743617777664,15620146392399811378,-1061300078341311260536833,15.62014639239981,-1061300.0783413113,60.428358861599214,-4141988.6377210463,0.18128507658479764,0
111240,2718238285209277819970,1354538305744070002407811,20620762621760707043743617777664,20558996118246962343787473403904,15635697692317967895,-1056001961501754177641289,15.635697692317969,-1056001.9615017541,76.06405655391718,-5197990.599222801,0.22819216966175154,0
111180,-4812842734955794662705,1359351148479025797070516,20558996118246962343787473403904,20497414627335630884868150263808,15738395347530791522,-1056579727950874762810534,15.738395347530792,-1056579.7279508747,91.80245190144798,-6254570.327173675,0.27540735570434394,0
111120,640205568903424239302,1358710942910122372831214,20497414627335630884868150263808,20436017594848285131914342301696,15778244571652677129,-1052918776044386679896404,15.778244571652676,-1052918.7760443867,107.58069647310066,-7307489.103218062,0.32274208941930194,0
111060,55912809336447609244435,1302798133573674763586779,20436017594848285131914342301696,20374804468266483840106861953024,15174400994468426821,-1006565652038463322852574,15.174400994468426,-1006565.6520384633,122.75509746756909,-8314054.755256525,0.3682652924027073,0
111000,4365134888184121290,1302793768438786579465489,20374804468266483840106861953024,20313774696726755044893749411840,15219939271886642984,-1003547268143276028765588,15.219939271886643,-1003547.268143276,137.97503673945573,-9317602.023399802,0.4139251102183672,0
110940,-3820822064909387231636,1306614590503695966697125,20313774696726755044893749411840,20252927731015666872198115622912,15310436366892220337,-1003475666517849467490440,15.31043636689222,-1003475.6665178494,153.28547310634795,-10321077.689917652,0.45985641931904386,0
