tick,liquidity_net,liquidity
129800,205956404233101438884,1438707568480097130361583
130000,1772953465237667046856,1440480521945334797408439
130200,0,1440480521945334797408439
130400,280644078516281119584,1440761166023851078528023
130600,0,1440761166023851078528023
130800,0,1440761166023851078528023
131000,0,1440761166023851078528023
131200,-193086292025846504530,1440568079731825232023493
131400,-1622729075144653121669,1438945350656680578901824
131600,-5350428839655351940001,1433594921817025226961823
131800,-205956404233101438884,1433388965412792125522939
132000,0,1433388965412792125522939
132200,-2566598650802767068248,1430822366761989358454691
132400,0,1430822366761989358454691
132600,0,1430822366761989358454691
132800,-5973062458056996543696,1424849304303932361910995
133000,-19181310223037541030503,1405667994080894820880492
133200,0,1405667994080894820880492
133400,-1166017950662522302068,1404501976130232298578424
133600,0,1404501976130232298578424
133800,0,1404501976130232298578424
134000,0,1404501976130232298578424
134200,0,1404501976130232298578424
134400,0,1404501976130232298578424
134600,-192221985303866370547,1404309754144928432207877
134800,174218990807356517179,1404483973135735788725056
135000,-856471573935673640346,1403627501561800115084710
135200,-718248633983011284,1403626783313166132073426
135400,-13084806170972767409,1403613698506995159306017
135600,-44604805405369491690,1403569093701589789814327
135800,0,1403569093701589789814327
136000,0,1403569093701589789814327
136200,0,1403569093701589789814327
136400,0,1403569093701589789814327
136600,0,1403569093701589789814327
136800,0,1403569093701589789814327
137000,0,1403569093701589789814327
137200,-4546583988549772328410,1399022509713040017485917
137400,0,1399022509713040017485917
137600,0,1399022509713040017485917
137800,0,1399022509713040017485917
138000,0,1399022509713040017485917
138200,-2939791328816920295282,1396082718384223097190635
138400,0,1396082718384223097190635
138600,0,1396082718384223097190635
138800,0,1396082718384223097190635
139000,-174218990807356517179,1395908499393415740673456
139200,0,1395908499393415740673456
139400,-2173271962319694711,1395906326121453420978745
139600,0,1395906326121453420978745
139800,0,1395906326121453420978745
140000,0,1395906326121453420978745
140200,0,1395906326121453420978745
140400,0,1395906326121453420978745
140600,0,1395906326121453420978745
140800,0,1395906326121453420978745
141000,0,1395906326121453420978745
141200,0,1395906326121453420978745
141400,0,1395906326121453420978745
141600,0,1395906326121453420978745
141800,0,1395906326121453420978745
142000,0,1395906326121453420978745
142200,0,1395906326121453420978745
142400,0,1395906326121453420978745
142600,0,1395906326121453420978745
142800,0,1395906326121453420978745
143000,0,1395906326121453420978745
143200,0,1395906326121453420978745
143400,0,1395906326121453420978745
143600,0,1395906326121453420978745
143800,0,1395906326121453420978745
144000,0,1395906326121453420978745
144200,0,1395906326121453420978745
144400,0,1395906326121453420978745
144600,0,1395906326121453420978745
144800,0,1395906326121453420978745
145000,0,1395906326121453420978745
145200,0,1395906326121453420978745
145400,0,1395906326121453420978745
145600,0,1395906326121453420978745
145800,0,1395906326121453420978745
146000,0,1395906326121453420978745
