tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
129800,205956404233101438884,1438707568480097130361583,52156669583190320221060629266432,52680826488391134974210174091264,-21744578396669455746,9518187506213416615602325,-21.744578396669457,9518187.506213417,-21.744578396669457,9518187.506213417,0,95181.87506213418
130000,1772953465237667046856,1440480521945334797408439,52680826488391134974210174091264,53210250993372871696011508056064,-21554756734767908181,9625689440032621379070282,-21.55475673476791,9625689.440032622,-43.29933513143737,19143876.94624604,0,191438.7694624604
130200,0,1440480521945334797408439,53210250993372871696011508056064,53744996035733352088381062905856,-21340293991193367129,9722424366315715302711553,-21.340293991193366,9722424.366315715,-64.63962912263074,28866301.312561754,0,288663.0131256176
130400,280644078516281119584,1440761166023851078528023,53744996035733352088381062905856,54285115085075406666143467831296,-21132081373306207285,9822044669805986566001163,-21.132081373306207,9822044.669805987,-85.77171049593694,38688345.98236774,0,386883.4598236774
130600,0,1440761166023851078528023,54285115085075406666143467831296,54830662148353278018668160090112,-20921824110627972360,9920752899798737969766573,-20.921824110627973,9920752.899798738,-106.69353460656492,48609098.882166475,0,486090.9888216647
130800,0,1440761166023851078528023,54830662148353278018668160090112,55381691775272842087053073055744,-20713658838592615566,10020453114148439833126062,-20.713658838592615,10020453.11414844,-127.40719344515753,58629551.99631491,0,586295.5199631492
131000,0,1440761166023851078528023,55381691775272842087053073055744,55938259063746115831216648224768,-20507564742582079343,10121155281963221017566818,-20.50756474258208,10121155.281963222,-147.9147581877396,68750707.27827814,0,687507.0727827813
131200,-193086292025846504530,1440568079731825232023493,55938259063746115831216648224768,56500419665400483632462398750720,-20300800200850435734,10221499435637135210324633,-20.300800200850436,10221499.435637135,-168.21555838859004,78972206.71391527,0,789722.0671391527
131400,-1622729075144653121669,1438945350656680578901824,56500419665400483632462398750720,57068229791143417050651932229632,-20076173587421742767,10312592322792755936826329,-20.076173587421742,10312592.322792755,-188.2917319760118,89284799.03670803,0,892847.9903670803
131600,-5350428839655351940001,1433594921817025226961823,57068229791143417050651932229632,57641746216782976166362584449024,-19802515782100669763,10377499733475395863324877,-19.80251578210067,10377499.733475396,-208.09424775811246,99662298.77018343,0,996622.9877018343
131800,-205956404233101438884,1433388965412792125522939,57641746216782976166362584449024,58221026288704930177560355012608,-19602670651460072617,10480284240177388445326200,-19.602670651460073,10480284.24017739,-227.69691840957253,110142583.01036082,0,1101425.830103608
