tick,liquidity_net,liquidity
129200,3960535529155103762475,1431928222634986605307165
129000,0,1431928222634986605307165
128800,143382156725038548440,1431784840478261566758725
128600,0,1431784840478261566758725
128400,359358457666341508331,1431425482020595225250394
128200,1439318766208348045897,1429986163254386877204497
128000,0,1429986163254386877204497
127800,0,1429986163254386877204497
127600,0,1429986163254386877204497
127400,0,1429986163254386877204497
127200,-338228503399536169971,1430324391757786413374468
127000,0,1430324391757786413374468
126800,44604805405369491690,1430279786952381043882778
126600,0,1430279786952381043882778
126400,0,1430279786952381043882778
126200,920615557122315520795,1429359171395258728361983
126000,0,1429359171395258728361983
125800,1370031635237479705801,1427989139760021248656182
125600,0,1427989139760021248656182
125400,0,1427989139760021248656182
125200,0,1427989139760021248656182
125000,338228503399536169971,1427650911256621712486211
124800,0,1427650911256621712486211
124600,0,1427650911256621712486211
124400,0,1427650911256621712486211
124200,0,1427650911256621712486211
124000,0,1427650911256621712486211
123800,232823190388975031106,1427418088066232737455105
123600,0,1427418088066232737455105
123400,0,1427418088066232737455105
123200,4585369887577798393865,1422832718178654939061240
123000,0,1422832718178654939061240
122800,0,1422832718178654939061240
122600,182919542265111182234,1422649798636389827879006
122400,0,1422649798636389827879006
122200,19175613830037088068049,1403474184806352739810957
122000,0,1403474184806352739810957
121800,0,1403474184806352739810957
121600,0,1403474184806352739810957
121400,0,1403474184806352739810957
121200,575827495419392520762,1402898357310933347290195
121000,2221728371775757270845,1400676628939157590019350
120800,0,1400676628939157590019350
120600,13084806170972767409,1400663544132986617251941
120400,0,1400663544132986617251941
120200,2012526928901892781221,1398651017204084724470720
120000,0,1398651017204084724470720
119800,0,1398651017204084724470720
119600,0,1398651017204084724470720
119400,0,1398651017204084724470720
119200,0,1398651017204084724470720
119000,0,1398651017204084724470720
118800,2173271962319694711,1398648843932122404776009
118600,0,1398648843932122404776009
118400,0,1398648843932122404776009
118200,0,1398648843932122404776009
118000,0,1398648843932122404776009
117800,0,1398648843932122404776009
117600,0,1398648843932122404776009
117400,0,1398648843932122404776009
117200,0,1398648843932122404776009
117000,0,1398648843932122404776009
116800,0,1398648843932122404776009
116600,0,1398648843932122404776009
116400,0,1398648843932122404776009
116200,962824179004295844693,1397686019753118108931316
116000,0,1397686019753118108931316
115800,0,1397686019753118108931316
115600,0,1397686019753118108931316
115400,0,1397686019753118108931316
115200,202388735064601692843,1397483631018053507238473
115000,0,1397483631018053507238473
114800,0,1397483631018053507238473
114600,0,1397483631018053507238473
114400,0,1397483631018053507238473
114200,0,1397483631018053507238473
