tick,liquidity_net,liquidity
129600,-130528813649194818001,354180027962091851713886
129800,-13976751042474218095879,340203276919617633618007
130000,-11379791365253985361,340191897128252379632646
130200,-275479768015238360592,339916417360237141272054
130400,-195361114658274272296,339721056245578866999758
130600,-4988953675238326653254,334732102570340540346504
130800,-3958893419818845180473,330773209150521695166031
131000,-2466164395735670190314,328307044754786024975717
131200,-2539219720622896058363,325767825034163128917354
131400,-4774756971366031893086,320993068062797097024268
131600,-23552718639666792583,320969515344157430231685
131800,-722002663839949742933,320247512680317480488752
132000,-1910295055516981157367,318337217624800499331385
132200,-2387245632638805979982,315949971992161693351403
132400,-1293758260825533409504,314656213731336159941899
132600,0,314656213731336159941899
132800,-671353005752561571032,313984860725583598370867
133000,-23048667815299424858019,290936192910284173512848
133200,-834839103043031544253,290101353807241141968595
133400,-44580488884469769087,290056773318356672199508
133600,0,290056773318356672199508
133800,0,290056773318356672199508
134000,0,290056773318356672199508
134200,-50317137499691126317,290006456180856981073191
134400,0,290006456180856981073191
134600,-3181490192721960249592,286824965988135020823599
134800,-31026896593965525673,286793939091541055297926
135000,-240338922183563969529,286553600169357491328397
135200,0,286553600169357491328397
135400,0,286553600169357491328397
135600,0,286553600169357491328397
135800,0,286553600169357491328397
136000,-717304385100888249721,285836295784256603078676
136200,0,285836295784256603078676
136400,0,285836295784256603078676
136600,0,285836295784256603078676
136800,0,285836295784256603078676
137000,0,285836295784256603078676
137200,-115867089615223118964,285720428694641379959712
137400,-105313446784368407102,285615115247857011552610
137600,0,285615115247857011552610
137800,-21534456025459519731,285593580791831552032879
138000,-28121915915343548808,285565458875916208484071
138200,-147149226584132759833,285418309649332075724238
138400,-191962981928908545083625,93455327720423530640613
138600,-77158098998546665057465,16297228721876865583148
138800,0,16297228721876865583148
139000,0,16297228721876865583148
139200,0,16297228721876865583148
139400,0,16297228721876865583148
139600,0,16297228721876865583148
139800,-8543121420218597289,16288685600456646985859
140000,0,16288685600456646985859
140200,-2843823204641326359,16285841777252005659500
140400,0,16285841777252005659500
140600,0,16285841777252005659500
140800,0,16285841777252005659500
141000,0,16285841777252005659500
141200,0,16285841777252005659500
141400,0,16285841777252005659500
141600,0,16285841777252005659500
141800,0,16285841777252005659500
142000,0,16285841777252005659500
142200,0,16285841777252005659500
142400,0,16285841777252005659500
142600,0,16285841777252005659500
142800,0,16285841777252005659500
143000,-341134834470879090143,15944706942781126569357
143200,0,15944706942781126569357
143400,0,15944706942781126569357
143600,0,15944706942781126569357
143800,0,15944706942781126569357
144000,-240222678947858841148,15704484263833267728209
144200,0,15704484263833267728209
144400,-58112526314302395416,15646371737518965332793
144600,0,15646371737518965332793
144800,0,15646371737518965332793
145000,-5712097020085533307437,9934274717433432025356
145200,0,9934274717433432025356
145400,0,9934274717433432025356
145600,0,9934274717433432025356
145800,0,9934274717433432025356
146000,0,9934274717433432025356
146200,0,9934274717433432025356
146400,-360718836091163462430,9573555881342268562926
146600,0,9573555881342268562926
146800,0,9573555881342268562926
147000,0,9573555881342268562926
147200,0,9573555881342268562926
147400,-3501530699852371923545,6072025181489896639381
147600,0,6072025181489896639381
147800,0,6072025181489896639381
148000,0,6072025181489896639381
148200,0,6072025181489896639381
148400,0,6072025181489896639381
148600,0,6072025181489896639381
148800,0,6072025181489896639381
149000,0,6072025181489896639381
149200,-12537215418514980087,6059487966071381659294
149400,0,6059487966071381659294
149600,0,6059487966071381659294
149800,0,6059487966071381659294
150000,0,6059487966071381659294
150200,0,6059487966071381659294
150400,0,6059487966071381659294
150600,0,6059487966071381659294
150800,0,6059487966071381659294
151000,0,6059487966071381659294
151200,0,6059487966071381659294
151400,0,6059487966071381659294
151600,0,6059487966071381659294
151800,0,6059487966071381659294
152000,-505259069674852962192,5554228896396528697102
152200,0,5554228896396528697102
152400,0,5554228896396528697102
152600,0,5554228896396528697102
152800,0,5554228896396528697102
153000,0,5554228896396528697102
153200,0,5554228896396528697102
153400,0,5554228896396528697102
153600,0,5554228896396528697102
153800,0,5554228896396528697102
154000,0,5554228896396528697102
154200,0,5554228896396528697102
154400,0,5554228896396528697102
154600,0,5554228896396528697102
154800,0,5554228896396528697102
155000,0,5554228896396528697102
155200,0,5554228896396528697102
155400,0,5554228896396528697102
155600,0,5554228896396528697102
155800,0,5554228896396528697102
156000,0,5554228896396528697102
156200,0,5554228896396528697102
156400,0,5554228896396528697102
156600,0,5554228896396528697102
156800,0,5554228896396528697102
157000,0,5554228896396528697102
157200,0,5554228896396528697102
157400,0,5554228896396528697102
157600,0,5554228896396528697102
157800,0,5554228896396528697102
158000,0,5554228896396528697102
158200,0,5554228896396528697102
158400,0,5554228896396528697102
158600,0,5554228896396528697102
158800,0,5554228896396528697102
159000,0,5554228896396528697102
159200,0,5554228896396528697102
159400,0,5554228896396528697102
159600,0,5554228896396528697102
159800,0,5554228896396528697102
160000,0,5554228896396528697102
160200,0,5554228896396528697102
160400,0,5554228896396528697102
160600,0,5554228896396528697102
160800,0,5554228896396528697102
161000,0,5554228896396528697102
161200,0,5554228896396528697102
161400,0,5554228896396528697102
161600,0,5554228896396528697102
161800,0,5554228896396528697102
162000,0,5554228896396528697102
162200,0,5554228896396528697102
162400,0,5554228896396528697102
162600,-56194198669058000639,5498034697727470696463
162800,0,5498034697727470696463
163000,0,5498034697727470696463
163200,0,5498034697727470696463
163400,-148477139768506068625,5349557557958964627838
163600,0,5349557557958964627838
163800,0,5349557557958964627838
164000,0,5349557557958964627838
164200,0,5349557557958964627838
164400,0,5349557557958964627838
164600,0,5349557557958964627838
164800,0,5349557557958964627838
165000,0,5349557557958964627838
165200,0,5349557557958964627838
165400,0,5349557557958964627838
165600,0,5349557557958964627838
165800,0,5349557557958964627838
166000,0,5349557557958964627838
166200,0,5349557557958964627838
166400,0,5349557557958964627838
166600,0,5349557557958964627838
166800,0,5349557557958964627838
167000,0,5349557557958964627838
167200,0,5349557557958964627838
167400,0,5349557557958964627838
167600,0,5349557557958964627838
167800,0,5349557557958964627838
168000,0,5349557557958964627838
168200,0,5349557557958964627838
168400,0,5349557557958964627838
168600,0,5349557557958964627838
168800,0,5349557557958964627838
169000,0,5349557557958964627838
