tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
129600,-130528813649194818001,354180027962091851713886,51637727866884272696727707844608,52156669583190320221060629266432,-5406861673077108474,2319866897820336103357033,-5.406861673077109,2319866.8978203363,-5.406861673077109,2319866.8978203363,0,23198.66897820336
129800,-13976751042474218095879,340203276919617633618007,52156669583190320221060629266432,52680826488391134974210174091264,-5141821025934785757,2250713522950347512832944,-5.141821025934785,2250713.5229503475,-10.548682699011895,4570580.420770684,0,45705.80420770684
130000,-11379791365253985361,340191897128252379632646,52680826488391134974210174091264,53210250993372871696011508056064,-5090491314548258863,2273256390409110166532307,-5.090491314548259,2273256.39040911,-15.639174013560154,6843836.811179794,0,68438.36811179794
130200,-275479768015238360592,339916417360237141272054,53210250993372871696011508056064,53744996035733352088381062905856,-5035761447926004188,2294242517205884876548402,-5.035761447926004,2294242.5172058847,-20.674935461486157,9138079.328385679,0,91380.7932838568
130400,-195361114658274272296,339721056245578866999758,53744996035733352088381062905856,54285115085075406666143467831296,-4982791856209888011,2315967051587306151018212,-4.9827918562098885,2315967.051587306,-25.657727317696047,11454046.379972985,0,114540.46379972984
130600,-4988953675238326653254,334732102570340540346504,54285115085075406666143467831296,54830662148353278018668160090112,-4860768279509146369,2304888940333543401438590,-4.860768279509147,2304888.9403335433,-30.518495597205195,13758935.320306528,0,137589.3532030653
130800,-3958893419818845180473,330773209150521695166031,54830662148353278018668160090112,55381691775272842087053073055744,-4755488674225498941,2300518303707769766681094,-4.755488674225499,2300518.3037077696,-35.27398427143069,16059453.624014298,0,160594.53624014297
131000,-2466164395735670190314,328307044754786024975717,55381691775272842087053073055744,55938259063746115831216648224768,-4673070134403601011,2306313258911526016090939,-4.673070134403601,2306313.258911526,-39.947054405834294,18365766.882925823,0,183657.66882925824
131200,-2539219720622896058363,325767825034163128917354,55938259063746115831216648224768,56500419665400483632462398750720,-4590791383573682174,2311473984870825701776740,-4.590791383573682,2311473.984870826,-44.537845789407974,20677240.86779665,0,206772.40867796648
131400,-4774756971366031893086,320993068062797097024268,56500419665400483632462398750720,57068229791143417050651932229632,-4478497082496465057,2300483925858206359828973,-4.478497082496465,2300483.9258582066,-49.01634287190444,22977724.793654855,0,229777.24793654855
131600,-23552718639666792583,320969515344157430231685,57068229791143417050651932229632,57641746216782976166362584449024,-4433612170668054151,2323432518661537399725035,-4.433612170668054,2323432.518661537,-53.4499550425725,25301157.31231639,0,253011.57312316392
131800,-722002663839949742933,320247512680317480488752,57641746216782976166362584449024,58221026288704930177560355012608,-4379625258391515601,2341503277258022941887551,-4.379625258391516,2341503.277258023,-57.82958030096401,27642660.589574415,0,276426.6058957441
132000,-1910295055516981157367,318337217624800499331385,58221026288704930177560355012608,58806127929606830517160570257408,-4310184639590843473,2350927024956330456017384,-4.310184639590843,2350927.0249563307,-62.139764940554855,29993587.614530746,0,299935.87614530744
