tick,liquidity_net,liquidity
130000,-11379791365253985361,342298263071923748498188
129800,-13728578166519149242853,356026841238442897741041
129600,-40668278267441166036,356067509516710338907077
129400,-47629242834309256818,356115138759544648163895
129200,0,356115138759544648163895
129000,3085321588221246718077,353029817171323401445818
128800,0,353029817171323401445818
128600,491859985493968541867,352537957185829432903951
128400,2390387424881704611249,350147569760947728292702
128200,44580488884469769087,350102989272063258523615
128000,0,350102989272063258523615
127800,14692734862330017986787,335410254409733240536828
127600,3398192287300627651487,332012062122432612885341
127400,-179641028867901302609154,511653090990333915494495
127200,6137813220655053682878,505515277769678861811617
127000,2107634607528667318217,503407643162150194493400
126800,883855241135456615020,502523787921014737878380
126600,282018624666273968840,502241769296348463909540
126400,278206910227914328757,501963562386120549580783
126200,2085356773743139249209,499878205612377410331574
126000,-6128256440450844983233,506006462052828255314807
125800,180693594839014480270,505825768457989240834537
125600,197073688240733532110480,308752080217255708724057
125400,180185296141016064154646,128566784076239644569411
125200,-242476689843948812902974,371043473920188457472385
125000,247179535077603107001,370796294385110854365384
124800,0,370796294385110854365384
124600,60011499140686388780,370736282885970167976604
124400,0,370736282885970167976604
124200,6601238259885826286905,364135044626084341689699
124000,275479768015238360592,363859564858069103329107
123800,0,363859564858069103329107
123600,8543121420218597289,363851021736648884731818
123400,11310758402375965008,363839710978246508766810
123200,250110223648814783140866,113729487329431725625944
123000,0,113729487329431725625944
122800,0,113729487329431725625944
122600,0,113729487329431725625944
122400,0,113729487329431725625944
122200,56194198669058000639,113673293130762667625305
122000,-150641331309307722924768,264314624440070390550073
121800,183153239671804367274,264131471200398586182799
121600,0,264131471200398586182799
121400,0,264131471200398586182799
121200,0,264131471200398586182799
121000,0,264131471200398586182799
120800,0,264131471200398586182799
120600,0,264131471200398586182799
120400,0,264131471200398586182799
120200,77158098998546665057465,186973372201851921125334
120000,0,186973372201851921125334
119800,0,186973372201851921125334
119600,0,186973372201851921125334
119400,0,186973372201851921125334
119200,171741124769514051485836,15232247432337869639498
119000,0,15232247432337869639498
118800,0,15232247432337869639498
118600,0,15232247432337869639498
118400,0,15232247432337869639498
118200,-194778858246233979454868,210011105678571849094366
118000,0,210011105678571849094366
117800,0,210011105678571849094366
117600,0,210011105678571849094366
117400,0,210011105678571849094366
117200,58112526314302395416,209952993152257546698950
117000,0,209952993152257546698950
116800,0,209952993152257546698950
116600,0,209952993152257546698950
116400,0,209952993152257546698950
116200,0,209952993152257546698950
116000,0,209952993152257546698950
115800,0,209952993152257546698950
115600,0,209952993152257546698950
115400,0,209952993152257546698950
115200,198378029266443728579521,11574963885813818119429
115000,0,11574963885813818119429
114800,0,11574963885813818119429
114600,0,11574963885813818119429
114400,0,11574963885813818119429
114200,0,11574963885813818119429
114000,78073508513551130663,11496890377300266988766
113800,0,11496890377300266988766
113600,0,11496890377300266988766
113400,0,11496890377300266988766
113200,0,11496890377300266988766
113000,0,11496890377300266988766
112800,0,11496890377300266988766
112600,0,11496890377300266988766
112400,240338922183563969529,11256551455116703019237
112200,0,11256551455116703019237
112000,0,11256551455116703019237
111800,0,11256551455116703019237
111600,0,11256551455116703019237
111400,0,11256551455116703019237
111200,0,11256551455116703019237
111000,0,11256551455116703019237
110800,0,11256551455116703019237
110600,0,11256551455116703019237
110400,0,11256551455116703019237
110200,0,11256551455116703019237
110000,2071886244707404479621,9184665210409298539616
109800,0,9184665210409298539616
109600,0,9184665210409298539616
109400,0,9184665210409298539616
109200,0,9184665210409298539616
109000,0,9184665210409298539616
108800,0,9184665210409298539616
108600,0,9184665210409298539616
108400,0,9184665210409298539616
108200,0,9184665210409298539616
108000,0,9184665210409298539616
107800,0,9184665210409298539616
107600,0,9184665210409298539616
107400,0,9184665210409298539616
107200,0,9184665210409298539616
107000,0,9184665210409298539616
106800,0,9184665210409298539616
106600,0,9184665210409298539616
106400,0,9184665210409298539616
106200,0,9184665210409298539616
106000,0,9184665210409298539616
105800,0,9184665210409298539616
105600,0,9184665210409298539616
105400,0,9184665210409298539616
105200,0,9184665210409298539616
105000,0,9184665210409298539616
104800,0,9184665210409298539616
104600,3501530699852371923545,5683134510556926616071
104400,0,5683134510556926616071
104200,0,5683134510556926616071
104000,0,5683134510556926616071
103800,0,5683134510556926616071
103600,0,5683134510556926616071
103400,0,5683134510556926616071
103200,0,5683134510556926616071
103000,0,5683134510556926616071
102800,0,5683134510556926616071
102600,0,5683134510556926616071
102400,0,5683134510556926616071
102200,0,5683134510556926616071
102000,0,5683134510556926616071
101800,0,5683134510556926616071
101600,0,5683134510556926616071
101400,0,5683134510556926616071
101200,0,5683134510556926616071
101000,0,5683134510556926616071
100800,0,5683134510556926616071
100600,0,5683134510556926616071
100400,148477139768506068625,5534657370788420547446
100200,0,5534657370788420547446
100000,0,5534657370788420547446
99800,0,5534657370788420547446
99600,0,5534657370788420547446
99400,0,5534657370788420547446
99200,0,5534657370788420547446
99000,0,5534657370788420547446
98800,0,5534657370788420547446
98600,0,5534657370788420547446
98400,0,5534657370788420547446
98200,0,5534657370788420547446
98000,0,5534657370788420547446
97800,0,5534657370788420547446
97600,0,5534657370788420547446
97400,0,5534657370788420547446
97200,0,5534657370788420547446
97000,0,5534657370788420547446
96800,0,5534657370788420547446
96600,0,5534657370788420547446
96400,0,5534657370788420547446
96200,0,5534657370788420547446
96000,0,5534657370788420547446
95800,0,5534657370788420547446
95600,0,5534657370788420547446
95400,0,5534657370788420547446
95200,0,5534657370788420547446
95000,0,5534657370788420547446
94800,0,5534657370788420547446
94600,0,5534657370788420547446
94400,0,5534657370788420547446
94200,0,5534657370788420547446
94000,0,5534657370788420547446
93800,0,5534657370788420547446
93600,0,5534657370788420547446
93400,0,5534657370788420547446
93200,0,5534657370788420547446
93000,0,5534657370788420547446
92800,0,5534657370788420547446
92600,0,5534657370788420547446
92400,0,5534657370788420547446
92200,0,5534657370788420547446
92000,0,5534657370788420547446
91800,0,5534657370788420547446
91600,0,5534657370788420547446
91400,0,5534657370788420547446
91200,0,5534657370788420547446
91000,0,5534657370788420547446
90800,0,5534657370788420547446
90600,0,5534657370788420547446
90400,0,5534657370788420547446
90200,0,5534657370788420547446
90000,0,5534657370788420547446
89800,0,5534657370788420547446
89600,0,5534657370788420547446
89400,0,5534657370788420547446
89200,0,5534657370788420547446
89000,0,5534657370788420547446
88800,0,5534657370788420547446
88600,0,5534657370788420547446
88400,0,5534657370788420547446
88200,0,5534657370788420547446
88000,0,5534657370788420547446
87800,0,5534657370788420547446
87600,0,5534657370788420547446
87400,0,5534657370788420547446
87200,0,5534657370788420547446
87000,0,5534657370788420547446
86800,0,5534657370788420547446
86600,0,5534657370788420547446
86400,0,5534657370788420547446
86200,0,5534657370788420547446
86000,0,5534657370788420547446
85800,0,5534657370788420547446
85600,0,5534657370788420547446
85400,0,5534657370788420547446
85200,0,5534657370788420547446
85000,0,5534657370788420547446
84800,0,5534657370788420547446
84600,0,5534657370788420547446
84400,0,5534657370788420547446
84200,0,5534657370788420547446
84000,0,5534657370788420547446
83800,0,5534657370788420547446
83600,0,5534657370788420547446
83400,0,5534657370788420547446
83200,0,5534657370788420547446
83000,0,5534657370788420547446
82800,0,5534657370788420547446
82600,0,5534657370788420547446
82400,0,5534657370788420547446
82200,0,5534657370788420547446
82000,0,5534657370788420547446
81800,0,5534657370788420547446
81600,0,5534657370788420547446
81400,0,5534657370788420547446
81200,0,5534657370788420547446
81000,0,5534657370788420547446
80800,0,5534657370788420547446
80600,0,5534657370788420547446
80400,0,5534657370788420547446
80200,0,5534657370788420547446
80000,0,5534657370788420547446
79800,0,5534657370788420547446
79600,0,5534657370788420547446
79400,0,5534657370788420547446
79200,0,5534657370788420547446
79000,0,5534657370788420547446
78800,0,5534657370788420547446
78600,0,5534657370788420547446
78400,0,5534657370788420547446
78200,0,5534657370788420547446
78000,0,5534657370788420547446
77800,0,5534657370788420547446
77600,0,5534657370788420547446
77400,0,5534657370788420547446
77200,0,5534657370788420547446
77000,0,5534657370788420547446
76800,0,5534657370788420547446
76600,0,5534657370788420547446
76400,0,5534657370788420547446
76200,0,5534657370788420547446
76000,0,5534657370788420547446
75800,0,5534657370788420547446
75600,0,5534657370788420547446
75400,0,5534657370788420547446
75200,0,5534657370788420547446
75000,0,5534657370788420547446
74800,0,5534657370788420547446
74600,0,5534657370788420547446
74400,0,5534657370788420547446
74200,0,5534657370788420547446
74000,0,5534657370788420547446
73800,0,5534657370788420547446
73600,0,5534657370788420547446
73400,0,5534657370788420547446
73200,0,5534657370788420547446
73000,0,5534657370788420547446
72800,0,5534657370788420547446
72600,0,5534657370788420547446
72400,0,5534657370788420547446
72200,0,5534657370788420547446
72000,0,5534657370788420547446
71800,0,5534657370788420547446
71600,0,5534657370788420547446
71400,0,5534657370788420547446
71200,0,5534657370788420547446
71000,0,5534657370788420547446
70800,0,5534657370788420547446
70600,0,5534657370788420547446
70400,0,5534657370788420547446
70200,0,5534657370788420547446
70000,0,5534657370788420547446
69800,0,5534657370788420547446
69600,0,5534657370788420547446
69400,0,5534657370788420547446
