tick,liquidity_net,liquidity
125800,-488223066506750,598197483035653077
125600,77285280683838314,520912202351814763
125400,2106728846937241,518805473504877522
125200,8321499136,518805465183378386
125000,27002897115256245,491802568068122141
124800,2073507833238168,489729060234883973
124600,259578059,489729059975305914
124400,86415241894660,489642644733411254
124200,0,489642644733411254
124000,-4294967296,489642649028378550
123800,4294967296,489642644733411254
123600,53436826469459,489589207906941795
123400,0,489589207906941795
123200,28288471365689734,461300736541252061
123000,0,461300736541252061
122800,-120134530236416,461420871071488477
122600,13217881349476185,448202989722012292
122400,0,448202989722012292
122200,0,448202989722012292
122000,76472596513592368,371730393208419924
121800,41012872691450256,330717520516969668
121600,125749772587856239,204967747929113429
121400,0,204967747929113429
121200,13201190805600952,191766557123512477
121000,43441345452925883,148325211670586594
120800,0,148325211670586594
120600,0,148325211670586594
120400,0,148325211670586594
120200,347942864909046,147977268805677548
120000,0,147977268805677548
119800,0,147977268805677548
119600,4475300454897273,143501968350780275
119400,0,143501968350780275
119200,0,143501968350780275
119000,0,143501968350780275
118800,0,143501968350780275
118600,0,143501968350780275
118400,0,143501968350780275
118200,0,143501968350780275
118000,0,143501968350780275
117800,0,143501968350780275
117600,0,143501968350780275
117400,0,143501968350780275
117200,0,143501968350780275
117000,0,143501968350780275
116800,2926928026872711,140575040323907564
116600,0,140575040323907564
116400,0,140575040323907564
116200,0,140575040323907564
116000,0,140575040323907564
115800,0,140575040323907564
115600,0,140575040323907564
115400,0,140575040323907564
115200,335653005128862,140239387318778702
115000,0,140239387318778702
114800,0,140239387318778702
114600,0,140239387318778702
114400,0,140239387318778702
114200,0,140239387318778702
114000,0,140239387318778702
113800,0,140239387318778702
113600,892760815356012,139346626503422690
113400,0,139346626503422690
113200,0,139346626503422690
113000,0,139346626503422690
112800,0,139346626503422690
112600,0,139346626503422690
112400,0,139346626503422690
112200,0,139346626503422690
112000,0,139346626503422690
111800,0,139346626503422690
111600,0,139346626503422690
111400,0,139346626503422690
111200,0,139346626503422690
111000,0,139346626503422690
110800,0,139346626503422690
110600,0,139346626503422690
110400,0,139346626503422690
110200,0,139346626503422690
110000,0,139346626503422690
109800,0,139346626503422690
109600,0,139346626503422690
109400,0,139346626503422690
109200,0,139346626503422690
109000,0,139346626503422690
108800,0,139346626503422690
108600,0,139346626503422690
108400,0,139346626503422690
108200,0,139346626503422690
108000,0,139346626503422690
107800,0,139346626503422690
107600,0,139346626503422690
107400,0,139346626503422690
107200,0,139346626503422690
107000,0,139346626503422690
106800,0,139346626503422690
106600,0,139346626503422690
106400,0,139346626503422690
106200,0,139346626503422690
106000,0,139346626503422690
105800,0,139346626503422690
105600,0,139346626503422690
105400,0,139346626503422690
105200,0,139346626503422690
105000,0,139346626503422690
104800,0,139346626503422690
104600,0,139346626503422690
104400,0,139346626503422690
104200,0,139346626503422690
