tick,liquidity_net,liquidity
131600,0,495594409599834339
131800,3602167490447538,499196577090281877
132000,6669028662261491,505865605752543368
132200,2267840374256887,508133446126800255
132400,-14106609750237940,494026836376562315
132600,-4822980811,494026831553581504
132800,82799969328340027,576826800881921531
133000,0,576826800881921531
133200,4294967296,576826805176888827
133400,64692944896,576826869869833723
133600,-24243010010087195,552583859859746528
133800,68182605824,552583928042352352
134000,-73014444032,552583855027908320
134200,-597749814544696,551986105213363624
134400,-25417331603674550,526568773609689074
134600,17179869184,526568790789558258
134800,-12884901888,526568777904656370
135000,-6669024367294195,519899753537362175
135200,-2267848964191479,517631904573170696
135400,-125850339122106250,391781565451064446
135600,-73014444032,391781492436620414
135800,-8781983019089414,382999509417531000
136000,-19959679447520129,363039829970010871
136200,-2039653386075586,361000176583935285
136400,0,361000176583935285
136600,0,361000176583935285
136800,0,361000176583935285
137000,-84649217288821136,276350959295114149
137200,0,276350959295114149
137400,0,276350959295114149
137600,0,276350959295114149
137800,0,276350959295114149
138000,68719476736,276351028014590885
138200,-2160465304423429,274190562710167456
138400,0,274190562710167456
138600,0,274190562710167456
138800,-13097746819239769,261092815890927687
139000,-27002896846820789,234089919044106898
139200,0,234089919044106898
139400,0,234089919044106898
139600,0,234089919044106898
139800,0,234089919044106898
140000,0,234089919044106898
140200,-603557011667817,233486362032439081
140400,0,233486362032439081
140600,0,233486362032439081
140800,0,233486362032439081
141000,-20856833769908690,212629528262530391
141200,0,212629528262530391
141400,0,212629528262530391
141600,0,212629528262530391
141800,0,212629528262530391
142000,0,212629528262530391
142200,0,212629528262530391
142400,0,212629528262530391
142600,-15769028389116914,196860499873413477
142800,0,196860499873413477
143000,-19713031357846120,177147468515567357
143200,0,177147468515567357
143400,-24949393487139820,152198075028427537
143600,0,152198075028427537
143800,0,152198075028427537
144000,0,152198075028427537
144200,0,152198075028427537
144400,0,152198075028427537
144600,0,152198075028427537
144800,0,152198075028427537
145000,-8302629881500511,143895445146927026
145200,0,143895445146927026
145400,-11138037605587,143884307109321439
145600,0,143884307109321439
145800,0,143884307109321439
146000,0,143884307109321439
146200,0,143884307109321439
146400,-1487867797679513,142396439311641926
146600,0,142396439311641926
146800,0,142396439311641926
147000,0,142396439311641926
147200,0,142396439311641926
147400,0,142396439311641926
147600,0,142396439311641926
147800,0,142396439311641926
148000,0,142396439311641926
148200,-1640800566945269,140755638744696657
148400,0,140755638744696657
148600,0,140755638744696657
148800,0,140755638744696657
149000,0,140755638744696657
149200,0,140755638744696657
149400,0,140755638744696657
149600,0,140755638744696657
149800,0,140755638744696657
150000,0,140755638744696657
150200,0,140755638744696657
150400,0,140755638744696657
150600,0,140755638744696657
150800,0,140755638744696657
151000,0,140755638744696657
151200,-21193196973728,140734445547722929
151400,0,140734445547722929
151600,0,140734445547722929
151800,0,140734445547722929
152000,0,140734445547722929
152200,0,140734445547722929
152400,0,140734445547722929
152600,0,140734445547722929
152800,0,140734445547722929
153000,0,140734445547722929
