tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-198900,0,68277708583596967355210984,3802217004145021531717632,3790828014598208698187776,4274376116801482140326342054,-9814869923291684585,4274376116.801482,-9.814869923291685,4274376116.801482,-9.814869923291685,12823128.350404447,0
-198960,-1653259127695897829718756,69930967711292865184929740,3790828014598208698187776,3779473139117678020001792,4391027462438691818406020035,-10022413815943021763,4391027462.438692,-10.022413815943022,8665403579.240173,-19.837283739234707,25996210.73772052,0
-199020,0,69930967711292865184929740,3779473139117678020001792,3768152275519691452055552,4404219663635173821040402615,-9992393129049466287,4404219663.635174,-9.992393129049466,13069623242.875347,-29.829676868284174,39208869.72862604,0
-199080,1453383616684516494893673,68477584094608348690036067,3768152275519691452055552,3756865321926588035497984,4325643079142068697300854295,-9755411324912736538,4325643079.142069,-9.755411324912737,17395266322.017418,-39.58508819319691,52185798.96605225,0
-199140,0,68477584094608348690036067,3756865321926588035497984,3745612176765867459084288,4338638842500625284426985841,-9726190405253189984,4338638842.500626,-9.72619040525319,21733905164.518044,-49.3112785984501,65201715.49355413,0
-199200,0,68477584094608348690036067,3745612176765867459084288,3734392738769273083658240,4351673649734071014496935245,-9697057012621155570,4351673649.734071,-9.697057012621155,26085578814.252113,-59.00833561107126,78256736.44275634,0
-199260,0,68477584094608348690036067,3734392738769273083658240,3723206906971884630310912,4364747618143260872954801283,-9668010884840401274,4364747618.143261,-9.6680108848404,30450326432.395374,-68.67634649591166,91350979.29718612,0
-199320,0,68477584094608348690036067,3723206906971884630310912,3712054580711206573572096,4377860865382628379611360584,-9639051760522604705,4377860865.382628,-9.639051760522605,34828187297.778,-78.31539825643426,104484561.893334,0
-199380,742093811270718337412241,67735490283337630352623826,3712054580711206573572096,3700935659626262977052672,4343427952906382922332792082,-9506033551829472420,4343427952.906383,-9.506033551829473,39171615250.68438,-87.82143180826374,117514845.75205314,0
-199440,1171216588357610294932478,66564273694980020057691348,3700935659626262977052672,3689850043656695550312448,4281149158792270994168458414,-9313682812508418058,4281149158.792271,-9.313682812508418,43452764409.476654,-97.13511462077216,130358293.22842997,0
-199500,-8648313838025842449423843,75212587533005862507115191,3689850043656695550312448,3678797633041862242598912,4851907469720126656307635929,-10492233751719390629,4851907469.720127,-10.492233751719391,48304671879.19678,-107.62734837249155,144914015.63759035,0
