tick,liquidity_net,liquidity
-192780,-199681152880503801040284,43072839493907353925170326
-192720,-6734874277508392245062,43066104619629845532925264
-192660,-277058252856732344375738,42789046366773113188549526
-192600,-220423564723767767378,42788825943208389420782148
-192540,-124260971096320151740771,42664564972112069269041377
-192480,-3481728857445225619415,42661083243254624043421962
-192420,0,42661083243254624043421962
-192360,-37985467741316696729227,42623097775513307346692735
-192300,-231744577542019513773156,42391353197971287832919579
-192240,0,42391353197971287832919579
-192180,-867757023852549925456414,41523596174118737907463165
-192120,-866461264534022328701948,40657134909584715578761217
-192060,0,40657134909584715578761217
-192000,0,40657134909584715578761217
-191940,0,40657134909584715578761217
-191880,-2526905967441034877075254,38130228942143680701685963
-191820,-5363424290133743212099177,32766804652009937489586786
-191760,0,32766804652009937489586786
-191700,0,32766804652009937489586786
-191640,-65159140910905323818884,32701645511099032165767902
-191580,-82097550507517858608912,32619547960591514307158990
-191520,-210746107215519712692560,32408801853375994594466430
-191460,0,32408801853375994594466430
-191400,-443717071986282723127893,31965084781389711871338537
-191340,0,31965084781389711871338537
-191280,0,31965084781389711871338537
-191220,-94489170479973604219615,31870595610909738267118922
-191160,-5910035619118559154395,31864685575290619707964527
-191100,-233592298237964353257965,31631093277052655354706562
-191040,-443843757419783450862915,31187249519632871903843647
-190980,-61661182497601731382526,31125588337135270172461121
-190920,0,31125588337135270172461121
-190860,-302097063691269339187753,30823491273444000833273368
-190800,-10846598023555509990833,30812644675420445323282535
-190740,0,30812644675420445323282535
-190680,0,30812644675420445323282535
-190620,-4606298239726822052539,30808038377180718501229996
-190560,0,30808038377180718501229996
-190500,0,30808038377180718501229996
-190440,-190025013880795452758162,30618013363299923048471834
-190380,0,30618013363299923048471834
-190320,-13380363180563065432587,30604633000119359983039247
-190260,-556816151364213346495499,30047816848755146636543748
-190200,0,30047816848755146636543748
-190140,0,30047816848755146636543748
-190080,-61909820906125667955337,29985907027849020968588411
-190020,-19866385160294872184479,29966040642688726096403932
-189960,0,29966040642688726096403932
-189900,-93910811744384030005140,29872129830944342066398792
-189840,0,29872129830944342066398792
-189780,22848568754665535236447927,52720698585609877302846719
-189720,-20622327102739274498467,52700076258507138028348252
-189660,-22848568754665535236447927,29851507503841602791900325
-189600,-138238270931531613512107,29713269232910071178388218
-189540,-845588359475198640779491,28867680873434872537608727
-189480,0,28867680873434872537608727
-189420,-160493857497554323332046,28707187015937318214276681
-189360,-3856972454646117519415,28703330043482672096757266
-189300,0,28703330043482672096757266
-189240,-15123597043342162193975,28688206446439329934563291
-189180,-1077698070909792762667,28687128748368420141800624
-189120,-10319867268965659508533,28676808881099454482292091
-189060,0,28676808881099454482292091
-189000,0,28676808881099454482292091
-188940,-530884565635997835010745,28145924315463456647281346
-188880,0,28145924315463456647281346
-188820,0,28145924315463456647281346
-188760,0,28145924315463456647281346
-188700,0,28145924315463456647281346
-188640,0,28145924315463456647281346
-188580,-331797048047182789591930,27814127267416273857689416
-188520,-104432419940856974113040,27709694847475416883576376
-188460,0,27709694847475416883576376
-188400,0,27709694847475416883576376
-188340,0,27709694847475416883576376
-188280,0,27709694847475416883576376
-188220,-315350584735368188837200,27394344262740048694739176
-188160,0,27394344262740048694739176
-188100,-122199616429740700381648,27272144646310307994357528
-188040,0,27272144646310307994357528
-187980,0,27272144646310307994357528
-187920,-10420990806853721482133,27261723655503454272875395
-187860,-134064804345053118182927,27127658851158401154692468
-187800,-152943474425966043935264,26974715376732435110757204
-187740,0,26974715376732435110757204
-187680,-3661689028507857760541078,23313026348224577350216126
-187620,-306521874642541937389500,23006504473582035412826626
-187560,0,23006504473582035412826626
-187500,0,23006504473582035412826626
-187440,0,23006504473582035412826626
-187380,0,23006504473582035412826626
-187320,-89753703859204705029818,22916750769722830707796808
-187260,0,22916750769722830707796808
-187200,-23743691947209078614150,22893007077775621629182658
-187140,0,22893007077775621629182658
-187080,0,22893007077775621629182658
-187020,-16844336441646405152275,22876162741333975224030383
-186960,0,22876162741333975224030383
-186900,-2321212857805604887558,22873841528476169619142825
-186840,-300099910165726459159715,22573741618310443159983110
-186780,0,22573741618310443159983110
-186720,0,22573741618310443159983110
-186660,0,22573741618310443159983110
-186600,0,22573741618310443159983110
-186540,0,22573741618310443159983110
-186480,0,22573741618310443159983110
-186420,0,22573741618310443159983110
-186360,0,22573741618310443159983110
-186300,0,22573741618310443159983110
-186240,0,22573741618310443159983110
-186180,-382280784704968789339144,22191460833605474370643966
-186120,0,22191460833605474370643966
-186060,-647781872437996713569593,21543678961167477657074373
-186000,-434111057193853663001,21543244850110283803411372
-185940,0,21543244850110283803411372
-185880,0,21543244850110283803411372
-185820,0,21543244850110283803411372
-185760,0,21543244850110283803411372
-185700,0,21543244850110283803411372
-185640,0,21543244850110283803411372
-185580,0,21543244850110283803411372
-185520,0,21543244850110283803411372
-185460,0,21543244850110283803411372
-185400,0,21543244850110283803411372
-185340,0,21543244850110283803411372
-185280,0,21543244850110283803411372
-185220,0,21543244850110283803411372
-185160,0,21543244850110283803411372
-185100,0,21543244850110283803411372
-185040,0,21543244850110283803411372
-184980,0,21543244850110283803411372
-184920,0,21543244850110283803411372
-184860,0,21543244850110283803411372
-184800,0,21543244850110283803411372
-184740,0,21543244850110283803411372
-184680,0,21543244850110283803411372
-184620,0,21543244850110283803411372
-184560,0,21543244850110283803411372
-184500,0,21543244850110283803411372
-184440,0,21543244850110283803411372
-184380,0,21543244850110283803411372
-184320,0,21543244850110283803411372
-184260,0,21543244850110283803411372
-184200,0,21543244850110283803411372
-184140,0,21543244850110283803411372
-184080,0,21543244850110283803411372
-184020,0,21543244850110283803411372
-183960,0,21543244850110283803411372
-183900,0,21543244850110283803411372
-183840,0,21543244850110283803411372
-183780,0,21543244850110283803411372
-183720,0,21543244850110283803411372
-183660,0,21543244850110283803411372
-183600,0,21543244850110283803411372
-183540,0,21543244850110283803411372
-183480,0,21543244850110283803411372
-183420,0,21543244850110283803411372
-183360,0,21543244850110283803411372
-183300,0,21543244850110283803411372
-183240,0,21543244850110283803411372
-183180,-66682881102216960832025,21476561969008066842579347
-183120,0,21476561969008066842579347
-183060,0,21476561969008066842579347
-183000,-90875558866883909332951,21385686410141182933246396
-182940,0,21385686410141182933246396
-182880,0,21385686410141182933246396
-182820,0,21385686410141182933246396
-182760,0,21385686410141182933246396
-182700,0,21385686410141182933246396
-182640,0,21385686410141182933246396
-182580,0,21385686410141182933246396
-182520,0,21385686410141182933246396
-182460,0,21385686410141182933246396
-182400,0,21385686410141182933246396
-182340,0,21385686410141182933246396
-182280,-2140538769536550855080447,19245147640604632078165949
-182220,0,19245147640604632078165949
-182160,0,19245147640604632078165949
-182100,0,19245147640604632078165949
-182040,0,19245147640604632078165949
-181980,0,19245147640604632078165949
-181920,0,19245147640604632078165949
-181860,0,19245147640604632078165949
-181800,0,19245147640604632078165949
-181740,0,19245147640604632078165949
-181680,0,19245147640604632078165949
-181620,0,19245147640604632078165949
-181560,0,19245147640604632078165949
-181500,0,19245147640604632078165949
-181440,0,19245147640604632078165949
-181380,0,19245147640604632078165949
-181320,0,19245147640604632078165949
-181260,0,19245147640604632078165949
-181200,0,19245147640604632078165949
-181140,0,19245147640604632078165949
-181080,0,19245147640604632078165949
-181020,0,19245147640604632078165949
-180960,0,19245147640604632078165949
-180900,0,19245147640604632078165949
-180840,0,19245147640604632078165949
-180780,0,19245147640604632078165949
-180720,0,19245147640604632078165949
-180660,0,19245147640604632078165949
-180600,0,19245147640604632078165949
-180540,0,19245147640604632078165949
-180480,0,19245147640604632078165949
-180420,0,19245147640604632078165949
-180360,0,19245147640604632078165949
-180300,0,19245147640604632078165949
-180240,0,19245147640604632078165949
-180180,0,19245147640604632078165949
-180120,0,19245147640604632078165949
-180060,0,19245147640604632078165949
-180000,0,19245147640604632078165949
-179940,0,19245147640604632078165949
-179880,0,19245147640604632078165949
-179820,0,19245147640604632078165949
-179760,0,19245147640604632078165949
-179700,0,19245147640604632078165949
-179640,0,19245147640604632078165949
-179580,0,19245147640604632078165949
