tick,liquidity_net,liquidity
-154400,331800480897799213791285,714036418401469866057585
-154200,0,714036418401469866057585
-154000,0,714036418401469866057585
-153800,8564085119591081076508,722600503521060947134093
-153600,586734272090550647051,723187237793151497781144
-153400,0,723187237793151497781144
-153200,0,723187237793151497781144
-153000,-48382917850799302065998,674804319942352195715146
-152800,-996786605639016170383,673807533336713179544763
-152600,0,673807533336713179544763
-152400,0,673807533336713179544763
-152200,0,673807533336713179544763
-152000,0,673807533336713179544763
-151800,25588704086698360684129,699396237423411540228892
-151600,0,699396237423411540228892
-151400,-15921006489459153301414,683475230933952386927478
-151200,0,683475230933952386927478
-151000,0,683475230933952386927478
-150800,0,683475230933952386927478
-150600,17994214469655990256605,701469445403608377184083
-150400,0,701469445403608377184083
-150200,0,701469445403608377184083
-150000,0,701469445403608377184083
-149800,0,701469445403608377184083
-149600,0,701469445403608377184083
-149400,-17948949089535136831008,683520496314073240353075
-149200,0,683520496314073240353075
-149000,3680062575832075968571060,4363583072146149208924135
-148800,0,4363583072146149208924135
-148600,0,4363583072146149208924135
-148400,0,4363583072146149208924135
-148200,0,4363583072146149208924135
-148000,0,4363583072146149208924135
-147800,0,4363583072146149208924135
-147600,-29174996820655305205442,4334408075325493903718693
-147400,-586734272090550647051,4333821341053403353071642
-147200,-151506630709302925077386,4182314710344100427994256
-147000,-378427447488921180577100,3803887262855179247417156
-146800,0,3803887262855179247417156
-146600,-810972276485165513072,3803076290578694081904084
-146400,-8636616768127396625210,3794439673810566685278874
-146200,-43582918556354350940734,3750856755254212334338140
-146000,0,3750856755254212334338140
-145800,0,3750856755254212334338140
-145600,0,3750856755254212334338140
-145400,0,3750856755254212334338140
-145200,0,3750856755254212334338140
-145000,0,3750856755254212334338140
-144800,0,3750856755254212334338140
-144600,0,3750856755254212334338140
-144400,-1529633147121964762768,3749327122107090369575372
-144200,-1789573266985394721944,3747537548840104974853428
-144000,0,3747537548840104974853428
-143800,-136801923998708144302,3747400746916106266709126
-143600,0,3747400746916106266709126
-143400,0,3747400746916106266709126
-143200,0,3747400746916106266709126
-143000,0,3747400746916106266709126
-142800,0,3747400746916106266709126
-142600,0,3747400746916106266709126
-142400,-8564085119591081076508,3738836661796515185632618
-142200,0,3738836661796515185632618
-142000,0,3738836661796515185632618
-141800,0,3738836661796515185632618
-141600,0,3738836661796515185632618
-141400,0,3738836661796515185632618
-141200,0,3738836661796515185632618
-141000,0,3738836661796515185632618
-140800,0,3738836661796515185632618
-140600,0,3738836661796515185632618
-140400,0,3738836661796515185632618
-140200,0,3738836661796515185632618
-140000,0,3738836661796515185632618
-139800,0,3738836661796515185632618
