tick,liquidity_net,liquidity
-154000,0,714036418401469866057585
-154200,0,714036418401469866057585
-154400,331800480897799213791285,382235937503670652266300
-154600,0,382235937503670652266300
-154800,0,382235937503670652266300
-155000,-267162681591164089985912,649398619094834742252212
-155200,0,649398619094834742252212
-155400,18388665457979594854524,631009953636855147397688
-155600,0,631009953636855147397688
-155800,29174996820655305205442,601834956816199842192246
-156000,0,601834956816199842192246
-156200,0,601834956816199842192246
-156400,0,601834956816199842192246
-156600,0,601834956816199842192246
-156800,0,601834956816199842192246
-157000,48382917850799302065998,553452038965400540126248
-157200,0,553452038965400540126248
-157400,0,553452038965400540126248
-157600,0,553452038965400540126248
-157800,160143247477430321702596,393308791487970218423652
-158000,1789573266985394721944,391519218220984823701708
-158200,269689101343925070919063,121830116877059752782645
-158400,0,121830116877059752782645
-158600,0,121830116877059752782645
-158800,0,121830116877059752782645
-159000,810972276485165513072,121019144600574587269573
-159200,0,121019144600574587269573
-159400,0,121019144600574587269573
-159600,0,121019144600574587269573
-159800,0,121019144600574587269573
-160000,0,121019144600574587269573
-160200,0,121019144600574587269573
-160400,0,121019144600574587269573
-160600,0,121019144600574587269573
-160800,5845862195102248064427,115173282405472339205146
-161000,136801923998708144302,115036480481473631060844
-161200,17948949089535136831008,97087531391938494229836
-161400,0,97087531391938494229836
-161600,0,97087531391938494229836
-161800,0,97087531391938494229836
-162000,0,97087531391938494229836
-162200,0,97087531391938494229836
-162400,0,97087531391938494229836
-162600,0,97087531391938494229836
-162800,0,97087531391938494229836
-163000,0,97087531391938494229836
-163200,0,97087531391938494229836
-163400,0,97087531391938494229836
-163600,0,97087531391938494229836
-163800,0,97087531391938494229836
-164000,0,97087531391938494229836
-164200,0,97087531391938494229836
-164400,0,97087531391938494229836
-164600,0,97087531391938494229836
-164800,0,97087531391938494229836
-165000,0,97087531391938494229836
-165200,29410634346872949400814,67676897045065544829022
-165400,0,67676897045065544829022
-165600,0,67676897045065544829022
-165800,0,67676897045065544829022
-166000,0,67676897045065544829022
-166200,0,67676897045065544829022
-166400,0,67676897045065544829022
-166600,0,67676897045065544829022
-166800,17966209207592922137257,49710687837472622691765
-167000,0,49710687837472622691765
-167200,0,49710687837472622691765
-167400,0,49710687837472622691765
-167600,0,49710687837472622691765
-167800,0,49710687837472622691765
-168000,0,49710687837472622691765
-168200,0,49710687837472622691765
-168400,0,49710687837472622691765
-168600,0,49710687837472622691765
-168800,0,49710687837472622691765
-169000,0,49710687837472622691765
-169200,0,49710687837472622691765
-169400,28260258854638573564594,21450428982834049127171
-169600,0,21450428982834049127171
-169800,0,21450428982834049127171
-170000,0,21450428982834049127171
-170200,0,21450428982834049127171
-170400,0,21450428982834049127171
-170600,0,21450428982834049127171
-170800,0,21450428982834049127171
-171000,0,21450428982834049127171
-171200,0,21450428982834049127171
-171400,0,21450428982834049127171
-171600,0,21450428982834049127171
-171800,0,21450428982834049127171
-172000,0,21450428982834049127171
-172200,0,21450428982834049127171
-172400,0,21450428982834049127171
-172600,0,21450428982834049127171
-172800,0,21450428982834049127171
-173000,0,21450428982834049127171
-173200,0,21450428982834049127171
-173400,0,21450428982834049127171
-173600,0,21450428982834049127171
-173800,0,21450428982834049127171
-174000,0,21450428982834049127171
-174200,0,21450428982834049127171
-174400,0,21450428982834049127171
-174600,0,21450428982834049127171
-174800,0,21450428982834049127171
-175000,0,21450428982834049127171
-175200,0,21450428982834049127171
-175400,0,21450428982834049127171
-175600,0,21450428982834049127171
-175800,0,21450428982834049127171
-176000,0,21450428982834049127171
-176200,0,21450428982834049127171
-176400,0,21450428982834049127171
-176600,0,21450428982834049127171
-176800,0,21450428982834049127171
-177000,0,21450428982834049127171
-177200,0,21450428982834049127171
-177400,0,21450428982834049127171
-177600,0,21450428982834049127171
-177800,0,21450428982834049127171
-178000,0,21450428982834049127171
-178200,0,21450428982834049127171
-178400,0,21450428982834049127171
-178600,0,21450428982834049127171
-178800,0,21450428982834049127171
-179000,0,21450428982834049127171
-179200,0,21450428982834049127171
-179400,0,21450428982834049127171
-179600,0,21450428982834049127171
-179800,0,21450428982834049127171
-180000,0,21450428982834049127171
-180200,0,21450428982834049127171
-180400,0,21450428982834049127171
-180600,0,21450428982834049127171
-180800,0,21450428982834049127171
-181000,0,21450428982834049127171
-181200,0,21450428982834049127171
-181400,0,21450428982834049127171
-181600,0,21450428982834049127171
-181800,0,21450428982834049127171
-182000,0,21450428982834049127171
-182200,0,21450428982834049127171
-182400,0,21450428982834049127171
-182600,0,21450428982834049127171
-182800,0,21450428982834049127171
-183000,0,21450428982834049127171
-183200,0,21450428982834049127171
-183400,0,21450428982834049127171
-183600,0,21450428982834049127171
-183800,0,21450428982834049127171
-184000,0,21450428982834049127171
-184200,0,21450428982834049127171
-184400,0,21450428982834049127171
-184600,0,21450428982834049127171
-184800,0,21450428982834049127171
-185000,0,21450428982834049127171
-185200,0,21450428982834049127171
-185400,0,21450428982834049127171
-185600,0,21450428982834049127171
-185800,0,21450428982834049127171
-186000,0,21450428982834049127171
-186200,0,21450428982834049127171
-186400,0,21450428982834049127171
-186600,0,21450428982834049127171
-186800,0,21450428982834049127171
-187000,0,21450428982834049127171
-187200,0,21450428982834049127171
-187400,0,21450428982834049127171
-187600,0,21450428982834049127171
-187800,0,21450428982834049127171
-188000,0,21450428982834049127171
-188200,0,21450428982834049127171
-188400,0,21450428982834049127171
-188600,0,21450428982834049127171
-188800,0,21450428982834049127171
-189000,0,21450428982834049127171
-189200,0,21450428982834049127171
-189400,0,21450428982834049127171
-189600,0,21450428982834049127171
-189800,0,21450428982834049127171
-190000,0,21450428982834049127171
-190200,0,21450428982834049127171
-190400,0,21450428982834049127171
-190600,0,21450428982834049127171
-190800,0,21450428982834049127171
-191000,0,21450428982834049127171
-191200,0,21450428982834049127171
-191400,0,21450428982834049127171
-191600,0,21450428982834049127171
-191800,0,21450428982834049127171
-192000,0,21450428982834049127171
-192200,0,21450428982834049127171
-192400,0,21450428982834049127171
-192600,0,21450428982834049127171
-192800,0,21450428982834049127171
-193000,0,21450428982834049127171
-193200,0,21450428982834049127171
-193400,0,21450428982834049127171
-193600,0,21450428982834049127171
-193800,0,21450428982834049127171
-194000,0,21450428982834049127171
-194200,0,21450428982834049127171
-194400,0,21450428982834049127171
-194600,0,21450428982834049127171
-194800,0,21450428982834049127171
-195000,0,21450428982834049127171
-195200,262256419276507183413,21188172563557541943758
-195400,0,21188172563557541943758
