tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-154000,0,714036418401469866057585,35890479891062922642718720,35533381414826656130924544,15840618720219108728357174,-3218316680542212293,15840618.72021911,-3.218316680542212,15840618.72021911,-3.218316680542212,158406.1872021911,0
-154200,0,714036418401469866057585,35533381414826656130924544,35179835951035949858684928,15999811585699625630778086,-3186295487564186079,15999811.585699625,-3.1862954875641862,31840430.305918735,-6.404612168106398,318404.3030591873,0
-154400,331800480897799213791285,382235937503670652266300,35179835951035949858684928,34829808148385001329655808,8651048560791559878493468,-1688707664708831666,8651048.56079156,-1.6887076647088317,40491478.86671029,-8.09331983281523,404914.7886671029,0
-154600,0,382235937503670652266300,34829808148385001329655808,34483263007301863672381440,8737988675576634520595544,-1671905578592792797,8737988.675576635,-1.6719055785927928,49229467.542286925,-9.765225411408021,492294.6754228693,0
-154800,0,382235937503670652266300,34483263007301863672381440,34140165876448837568036864,8825802509137461117741610,-1655270667710041343,8825802.509137461,-1.6552706677100413,58055270.051424384,-11.420496079118063,580552.7005142439,0
-155000,-267162681591164089985912,649398619094834742252212,34140165876448837568036864,33800482449257630938431488,15145261525536165941919263,-2784236583899760820,15145261.525536167,-2.7842365838997605,73200531.57696055,-14.204732663017824,732005.3157696055,0
-155200,0,649398619094834742252212,33800482449257630938431488,33464178760499037286170624,15297466286175961263639670,-2756534345183250708,15297466.28617596,-2.756534345183251,88497997.86313652,-16.961267008201077,884979.9786313651,0
-155400,18388665457979594854524,631009953636855147397688,33464178760499037286170624,33131221182886707485212672,15013677456564078578765881,-2651829083810560946,15013677.456564078,-2.651829083810561,103511675.3197006,-19.613096092011638,1035116.753197006,0
-155600,0,631009953636855147397688,33131221182886707485212672,32801576423714744438882304,15164559841773914169517081,-2625444256192139497,15164559.841773914,-2.6254442561921394,118676235.16147451,-22.238540348203777,1186762.351614745,0
-155800,29174996820655305205442,601834956816199842192246,32801576423714744438882304,32475211521528725468348416,14608772858076597439883632,-2479141262150093469,14608772.858076597,-2.4791412621500934,133285008.01955111,-24.71768161035387,1332850.0801955112,0
-156000,0,601834956816199842192246,32475211521528725468348416,32152093842829860373790720,14755586088892020750099604,-2454474621587629970,14755586.08889202,-2.45447462158763,148040594.10844314,-27.1721562319415,1480405.9410844315,0
-156200,0,601834956816199842192246,32152093842829860373790720,31832191078811958750740480,14903874743067411165544083,-2430053405989741210,14903874.743067412,-2.430053405989741,162944468.85151055,-29.602209637931242,1629444.6885151055,0
-156400,0,601834956816199842192246,31832191078811958750740480,31515471242130807129636864,15053653648110074804469388,-2405875173458888902,15053653.648110075,-2.4058751734588886,177998122.49962062,-32.008084811390134,1779981.2249962061,0
-156600,0,601834956816199842192246,31515471242130807129636864,31201902663705775549972480,15204937780536515842312779,-2381937506393251183,15204937.780536516,-2.3819375063932515,193203060.28015712,-34.390022317783384,1932030.6028015714,0
-156800,0,601834956816199842192246,31201902663705775549972480,30891453989553155352821760,15357742267374282024515127,-2358238011245685136,15357742.267374283,-2.3582380112456853,208560802.5475314,-36.748260329029065,2085608.025475314,0
-157000,48382917850799302065998,553452038965400540126248,30891453989553155352821760,30584094177651086457831424,14265029853819996285991488,-2147076357634766461,14265029.853819996,-2.1470763576347665,222825832.4013514,-38.89533668666383,2228258.324013514,0
-157200,0,553452038965400540126248,30584094177651086457831424,30279792494835601678270464,14408388583595894608954432,-2125713653708815234,14408388.583595894,-2.1257136537088153,237234220.9849473,-41.021050340372646,2372342.209849473,0
-157400,0,553452038965400540126248,30279792494835601678270464,29978518513727624865382400,14553188020164001323043497,-2104563501664109968,14553188.020164002,-2.10456350166411,251787409.0051113,-43.125613842036756,2517874.090051113,0
-157600,0,553452038965400540126248,29978518513727624865382400,29680242109690501975244800,14699442642140595645962173,-2083623786679285661,14699442.642140595,-2.083623786679286,266486851.6472519,-45.20923762871604,2664868.516472519,0
-157800,160143247477430321702596,393308791487970218423652,29680242109690501975244800,29384933457817803065131008,10551088310511061919263739,-1465987412784962447,10551088.310511062,-1.4659874127849626,277037939.95776296,-46.675225041501,2770379.3995776293,0
-158000,1789573266985394721944,391519218220984823701708,29384933457817803065131008,29092563029951111751532544,10608632777333251513861452,-1444797376547673200,10608632.777333252,-1.4447973765476732,287646572.7350962,-48.12002241804868,2876465.7273509623,0
-158200,269689101343925070919063,121830116877059752782645,29092563029951111751532544,28803101591727488597229568,3334292688445566610960870,-445108402505695419,3334292.6884455667,-0.44510840250569544,290980865.4235418,-48.56513082055437,2909808.654235418,0
-158400,0,121830116877059752782645,28803101591727488597229568,28516520199656286304862208,3367801203283196311333445,-440679720226239706,3367801.2032831963,-0.4406797202262397,294348666.626825,-49.005810540780615,2943486.6662682495,0
-158600,0,121830116877059752782645,28516520199656286304862208,28232790198225076198834176,3401646467372202135479058,-436295101879577197,3401646.4673722023,-0.4362951018795772,297750313.09419715,-49.442105642660195,2977503.1309419717,0
