tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-49440,0,21449673452035710878863,6688939990174154296557305856,6709035934209068775281524736,-761011576924551507962,5440634031891039485,-761.0115769245515,5.440634031891039,-761.0115769245515,5.440634031891039,0,0.016321902095673118
-49380,0,21449673452035710878863,6709035934209068775281524736,6729192253575088491749965824,-758732077126079597875,5456979622848455983,-758.7320771260796,5.456979622848456,-1519.743654050631,10.897613654739494,0,0.032692840964218484
-49320,0,21449673452035710878863,6729192253575088491749965824,6749409129661086496471384064,-756459405238691820196,5473374321748948476,-756.4594052386918,5.473374321748948,-2276.203059289323,16.370987976488443,0,0.049112963929465334
-49260,0,21449673452035710878863,6749409129661086496471384064,6769686744400888987052408832,-754193540810249154550,5489818276129285216,-754.1935408102491,5.489818276129285,-3030.396600099572,21.860806252617728,0,0.06558241875785319
-49200,0,21449673452035710878863,6769686744400888987052408832,6790025280274917978569441280,-751934463450077346683,5506311633970959437,-751.9344634500774,5.5063116339709595,-3782.331063549649,27.367117886588687,0,0.08210135365976606
-49140,0,21449673452035710878863,6790025280274917978569441280,6810424920311829575894040576,-749682152828434795182,5522854543698998655,-749.6821528284348,5.522854543698998,-4532.013216378084,32.889972430287685,0,0.09866991729086305
-49080,0,21449673452035710878863,6810424920311829575894040576,6830885848090165440157843456,-747436588676635611374,5539447154185536763,-747.4365886766357,5.539447154185536,-5279.449805054719,38.42941958447322,0,0.11528825875341966
-49020,0,21449673452035710878863,6830885848090165440157843456,6851408247739998757659344896,-745197750786483296293,5556089614748325655,-745.1977507864833,5.556089614748326,-6024.647555841202,43.985509199221546,0,0.13195652759766466
-48960,14334235847013750377456,35783909299049461256319,6851408247739998757659344896,6871992303944597800956723200,-1239469420475606553638,9296921408461215287,-1239.4694204756065,9.296921408461216,-7264.116976316809,53.28243060768276,0,0.1598472918230483
-48900,0,35783909299049461256319,6871992303944597800956723200,6892638201942082892890898432,-1235756769604289041798,9324852652065742225,-1235.756769604289,9.324852652065742,-8499.873745921099,62.607283259748506,0,0.18782184977924554
-48840,0,35783909299049461256319,6892638201942082892890898432,6913346127527095465236496384,-1232055239440142280193,9352867811015346704,-1232.0552394401423,9.352867811015347,-9731.92898536124,71.96015107076386,0,0.21588045321229157
-48780,0,35783909299049461256319,6913346127527095465236496384,6934116267052470415887695872,-1228364796672735438880,9380967137421698730,-1228.3647966727353,9.380967137421699,-10960.293782033976,81.34111820818555,0,0.24402335462455663
-48720,0,35783909299049461256319,6934116267052470415887695872,6954948807430911764578959360,-1224685408091334006733,9409150884153288996,-1224.685408091334,9.40915088415329,-12184.97919012531,90.75026909233884,0,0.2722508072770165
-48660,0,35783909299049461256319,6954948807430911764578959360,6975843936136677104698785792,-1221017040584822719228,9437419304839401690,-1221.0170405848228,9.437419304839402,-13405.996230710132,100.18768839717825,0,0.30056306519153475
-48600,0,35783909299049461256319,6975843936136677104698785792,6996801841207259856080207872,-1217359661140982529251,9465772653869121300,-1217.3596611409826,9.465772653869122,-14623.355891851115,109.65346105104737,0,0.32896038315314213
-48540,0,35783909299049461256319,6996801841207259856080207872,7017822711245090209488961536,-1213713236846987874241,9494211186399774830,-1213.713236846988,9.494211186399776,-15837.069128698104,119.14767223744715,0,0.35744301671234147
-48480,0,35783909299049461256319,7017822711245090209488961536,7038906735419218478925611008,-1210077734887794705942,9522735158348986184,-1210.0777348877948,9.522735158348986,-17047.1468635859,128.67040739579613,0,0.38601122218738837
-48420,0,35783909299049461256319,7038906735419218478925611008,7060054103467034737811390464,-1206453122547647663262,9551344826411064011,-1206.4531225476476,9.551344826411064,-18253.599986133544,138.2217522222072,0,0.4146652566666215
-48360,0,35783909299049461256319,7060054103467034737811390464,7081265005695960967383351296,-1202839367207906826165,9580040448044586669,-1202.839367207907,9.580040448044587,-19456.43935334145,147.80179267025179,0,0.44340537801075536
