tick,liquidity_net,liquidity
-49200,0,20927669349030476345464
-49260,0,20927669349030476345464
-49320,0,20927669349030476345464
-49380,0,20927669349030476345464
-49440,0,20927669349030476345464
-49500,-855320128786295410986,21782989477816771756450
-49560,0,21782989477816771756450
-49620,0,21782989477816771756450
-49680,0,21782989477816771756450
-49740,0,21782989477816771756450
-49800,0,21782989477816771756450
-49860,0,21782989477816771756450
-49920,0,21782989477816771756450
-49980,0,21782989477816771756450
-50040,0,21782989477816771756450
-50100,3335392511073256018408,18447596966743515738042
-50160,-18060121843465088323297,36507718810208604061339
-50220,0,36507718810208604061339
-50280,0,36507718810208604061339
-50340,0,36507718810208604061339
-50400,0,36507718810208604061339
-50460,0,36507718810208604061339
-50520,0,36507718810208604061339
-50580,0,36507718810208604061339
-50640,0,36507718810208604061339
-50700,0,36507718810208604061339
-50760,0,36507718810208604061339
-50820,0,36507718810208604061339
-50880,0,36507718810208604061339
-50940,0,36507718810208604061339
-51000,0,36507718810208604061339
-51060,0,36507718810208604061339
-51120,0,36507718810208604061339
-51180,0,36507718810208604061339
-51240,0,36507718810208604061339
-51300,0,36507718810208604061339
-51360,0,36507718810208604061339
-51420,0,36507718810208604061339
-51480,0,36507718810208604061339
-51540,0,36507718810208604061339
-51600,0,36507718810208604061339
-51660,2271022518485531366884,34236696291723072694455
-51720,0,34236696291723072694455
-51780,0,34236696291723072694455
-51840,0,34236696291723072694455
-51900,0,34236696291723072694455
-51960,0,34236696291723072694455
-52020,0,34236696291723072694455
-52080,0,34236696291723072694455
-52140,0,34236696291723072694455
-52200,0,34236696291723072694455
-52260,0,34236696291723072694455
-52320,0,34236696291723072694455
-52380,0,34236696291723072694455
-52440,0,34236696291723072694455
-52500,0,34236696291723072694455
-52560,0,34236696291723072694455
-52620,0,34236696291723072694455
-52680,0,34236696291723072694455
-52740,0,34236696291723072694455
-52800,0,34236696291723072694455
-52860,0,34236696291723072694455
-52920,0,34236696291723072694455
-52980,0,34236696291723072694455
-53040,0,34236696291723072694455
-53100,0,34236696291723072694455
-53160,0,34236696291723072694455
-53220,0,34236696291723072694455
-53280,0,34236696291723072694455
-53340,0,34236696291723072694455
-53400,0,34236696291723072694455
-53460,0,34236696291723072694455
-53520,0,34236696291723072694455
-53580,0,34236696291723072694455
-53640,0,34236696291723072694455
-53700,0,34236696291723072694455
-53760,0,34236696291723072694455
-53820,0,34236696291723072694455
-53880,0,34236696291723072694455
-53940,0,34236696291723072694455
-54000,0,34236696291723072694455
-54060,0,34236696291723072694455
-54120,0,34236696291723072694455
-54180,0,34236696291723072694455
-54240,0,34236696291723072694455
-54300,0,34236696291723072694455
-54360,0,34236696291723072694455
-54420,0,34236696291723072694455
-54480,0,34236696291723072694455
-54540,0,34236696291723072694455
-54600,0,34236696291723072694455
-54660,0,34236696291723072694455
-54720,0,34236696291723072694455
-54780,0,34236696291723072694455
-54840,0,34236696291723072694455
-54900,0,34236696291723072694455
-54960,0,34236696291723072694455
-55020,0,34236696291723072694455
-55080,0,34236696291723072694455
-55140,0,34236696291723072694455
-55200,0,34236696291723072694455
-55260,0,34236696291723072694455
-55320,0,34236696291723072694455
-55380,0,34236696291723072694455
-55440,0,34236696291723072694455
-55500,0,34236696291723072694455
-55560,0,34236696291723072694455
-55620,0,34236696291723072694455
-55680,0,34236696291723072694455
-55740,0,34236696291723072694455
-55800,0,34236696291723072694455
-55860,0,34236696291723072694455
-55920,0,34236696291723072694455
-55980,0,34236696291723072694455
-56040,0,34236696291723072694455
-56100,0,34236696291723072694455
-56160,0,34236696291723072694455
-56220,0,34236696291723072694455
-56280,0,34236696291723072694455
-56340,0,34236696291723072694455
-56400,0,34236696291723072694455
-56460,6080415628869372863,34230615876094203321592
-56520,0,34230615876094203321592
-56580,0,34230615876094203321592
-56640,0,34230615876094203321592
-56700,0,34230615876094203321592
-56760,0,34230615876094203321592
-56820,0,34230615876094203321592
-56880,0,34230615876094203321592
-56940,0,34230615876094203321592
-57000,0,34230615876094203321592
-57060,0,34230615876094203321592
-57120,0,34230615876094203321592
-57180,0,34230615876094203321592
-57240,0,34230615876094203321592
-57300,0,34230615876094203321592
-57360,0,34230615876094203321592
-57420,0,34230615876094203321592
-57480,0,34230615876094203321592
-57540,0,34230615876094203321592
-57600,0,34230615876094203321592
-57660,0,34230615876094203321592
-57720,0,34230615876094203321592
-57780,0,34230615876094203321592
-57840,0,34230615876094203321592
-57900,0,34230615876094203321592
-57960,0,34230615876094203321592
-58020,0,34230615876094203321592
-58080,0,34230615876094203321592
-58140,0,34230615876094203321592
-58200,0,34230615876094203321592
