tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-49200,0,20927669349030476345464,6769686744400888987052408832,6749409129661086496471384064,735839316274227979839,-5356216817286533626,735.8393162742279,-5.356216817286533,735.8393162742279,-5.356216817286533,2.2075179488226837,0
-49260,0,20927669349030476345464,6749409129661086496471384064,6729192253575088491749965824,738050038113616991255,-5340173046698055592,738.050038113617,-5.340173046698055,1473.8893543878448,-10.696389863984589,4.421668063163534,0
-49320,0,20927669349030476345464,6729192253575088491749965824,6709035934209068775281524736,740267401744091026565,-5324177332896927410,740.267401744091,-5.3241773328969275,2214.1567561319357,-16.020567196881515,6.642470268395806,0
-49380,0,20927669349030476345464,6709035934209068775281524736,6688939990174154296557305856,742491427120061226611,-5308229531936868978,742.4914271200612,-5.3082295319368695,2956.6481832519967,-21.328796728818386,8.86994454975599,0
-49440,0,20927669349030476345464,6688939990174154296557305856,6668904240624798974468947968,744722134255662431831,-5292329500301145803,744.7221342556625,-5.292329500301146,3701.370317507659,-26.621126229119533,11.104110952522976,0
-49500,-855320128786295410986,21782989477816771756450,6668904240624798974468947968,6648928505257150922541236224,777488003994412408169,-5492128297772755814,777.4880039944125,-5.492128297772756,4478.858321502072,-32.11325452689229,13.436574964506214,0
-49560,0,21782989477816771756450,6648928505257150922541236224,6629012604307433967816015872,779823853237959426174,-5475677424057620483,779.8238532379594,-5.47567742405762,5258.682174740031,-37.58893195094991,15.776046524220092,0
-49620,0,21782989477816771756450,6629012604307433967816015872,6609156358550329169736105984,782166720199618332796,-5459275826548227493,782.1667201996183,-5.459275826548227,6040.848894939649,-43.04820777749814,18.122546684818946,0
-49680,0,21782989477816771756450,6609156358550329169736105984,6589359589297358538052468736,784516625963197341831,-5442923357645536292,784.5166259631974,-5.442923357645537,6825.365520902846,-48.491131135143675,20.476096562708538,0
-49740,0,21782989477816771756450,6589359589297358538052468736,6569622118395280845359284224,786873591675696650850,-5426619870191561597,786.8735916756966,-5.426619870191562,7612.2391125785425,-53.917751005335234,22.836717337735628,0
-49800,0,21782989477816771756450,6569622118395280845359284224,6549943768224486340117397504,789237638547731233535,-5410365217469675699,789.2376385477312,-5.410365217469676,8401.476751126274,-59.32811622280491,25.204430253378824,0
-49860,0,21782989477816771756450,6549943768224486340117397504,6530324361697400255770787840,791608787853563058837,-5394159253202190059,791.6087878535631,-5.39415925320219,9193.085538979838,-64.7222754760071,27.579256616939514,0
-49920,0,21782989477816771756450,6530324361697400255770787840,6510763722256887419374665728,793987060931439903256,-5378001831550053011,793.9870609314399,-5.378001831550053,9987.072599911278,-70.10027730755715,29.961217799733838,0
-49980,0,21782989477816771756450,6510763722256887419374665728,6491261673874663457293336576,796372479183715248248,-5361892807111035966,796.3724791837152,-5.361892807111036,10783.445079094994,-75.46217011466818,32.35033523728498,0
-50040,0,21782989477816771756450,6491261673874663457293336576,6471818041049711498456203264,798765064077010378107,-5345832034918221910,798.7650640770104,-5.345832034918222,11582.210143172004,-80.8080021495864,34.74663042951601,0
-50100,3335392511073256018408,18447596966743515738042,6471818041049711498456203264,6452432648806702176148652032,678491170120705849986,-4513722037626289745,678.4911701207059,-4.51372203762629,12260.70131329271,-85.3217241872127,36.78210393987813,0
