tick,liquidity_net,liquidity
10800,0,2296797825742670509217
11000,249686029074237224082,2546483854816907733299
11200,3490868360581661105,2549974723177489394404
11400,63655959708170112190,2613630682885659506594
11600,1652566341919400767261,4266197024805060273855
11800,740283727410596188,4266937308532470870043
12000,0,4266937308532470870043
12200,-109172431652656642116,4157764876879814227927
12400,3061050067626355401,4160825926947440583328
12600,-1649095164488831016410,2511730762458609566918
12800,0,2511730762458609566918
13000,-62965881378874030563,2448764881079735536355
13200,-138941864387613809627,2309823016692121726728
13400,0,2309823016692121726728
13600,134907735064594975,2309957924427186321703
13800,20660706974699833913,2330618631401886155616
14000,57081427379451044,2330675712829265606660
14200,0,2330675712829265606660
14400,733101216266904213,2331408814045532510873
14600,103057076385063925,2331511871121917574798
14800,0,2331511871121917574798
15000,20136522910682482864,2351648394032600057662
15200,2048606128257750188,2353697000160857807850
15400,7273844915795418579,2360970845076653226429
15600,0,2360970845076653226429
15800,986250846965796784,2361957095923619023213
16000,5316985458177334195,2367274081381796357408
16200,0,2367274081381796357408
16400,0,2367274081381796357408
16600,0,2367274081381796357408
16800,0,2367274081381796357408
17000,0,2367274081381796357408
17200,482855133394431514,2367756936515190788922
17400,7886228354304333453,2375643164869495122375
17600,167808549336287588850,2543451714205782711225
17800,1969708586204127835,2545421422791986839060
18000,10507016040126785,2545431929808026965845
18200,0,2545431929808026965845
18400,0,2545431929808026965845
18600,2201063235190589,2545434130871262156434
18800,-167709288687358954707,2377724842183903201727
19000,0,2377724842183903201727
19200,0,2377724842183903201727
19400,-7141263182351195513,2370583579001552006214
19600,0,2370583579001552006214
19800,15393454637190274230,2385977033638742280444
20000,0,2385977033638742280444
20200,-166769676436339826,2385810263962305940618
20400,0,2385810263962305940618
20600,0,2385810263962305940618
20800,-1921766181038560099,2383888497781267380519
21000,3286474593914513636,2387174972375181894155
21200,0,2387174972375181894155
21400,-11097107810852460580,2376077864564329433575
21600,231875871079506609,2376309740435408940184
21800,51594909860785332232,2427904650296194272416
22000,3294291753059091146,2431198942049253363562
22200,-650065605266418259,2430548876443986945303
22400,-52999183948023934,2430495877260038921369
22600,0,2430495877260038921369
22800,0,2430495877260038921369
23000,-21355395702029354948,2409140481558009566421
23200,0,2409140481558009566421
23400,-43702627283962305,2409096778930725604116
23600,-23411517377249902679,2385685261553475701437
