tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
10800,0,2296797825742670509217,135952400033113269345024212992,137318675714161494545559191552,-13317545983757517879,39607873185644939600,-13.317545983757517,39.60787318564494,-13.317545983757517,39.60787318564494,0,0.3960787318564494
11000,249686029074237224082,2546483854816907733299,137318675714161494545559191552,138698682004129957121552809984,-14618393091953506113,44354982186009621129,-14.618393091953505,44.35498218600962,-27.935939075711023,83.96285537165457,0,0.8396285537165457
11200,3490868360581661105,2549974723177489394404,138698682004129957121552809984,140092556890998658888533803008,-14492785242027242074,44862150225270506294,-14.492785242027242,44.862150225270504,-42.428724317738265,128.82500559692508,0,1.288250055969251
11400,63655959708170112190,2613630682885659506594,140092556890998658888533803008,141500439749480113177955926016,-14706775858602010685,46444164802804841657,-14.706775858602011,46.44416480280484,-57.13550017634027,175.26917039972992,0,1.7526917039972991
11600,1652566341919400767261,4266197024805060273855,141500439749480113177955926016,142922471354955663515351777280,-23766839558138486138,76572102796985930140,-23.766839558138486,76.57210279698593,-80.90233973447876,251.84127319671586,0,2.5184127319671585
11800,740283727410596188,4266937308532470870043,142922471354955663515351777280,144358793897551642585353682944,-23534450379925306504,77355047114535613165,-23.534450379925307,77.35504711453561,-104.43679011440406,329.1963203112515,0,3.2919632031125152
12000,0,4266937308532470870043,144358793897551642585353682944,145809550996357095517813997568,-23300290335388829314,78132439199215402177,-23.30029033538883,78.1324391992154,-127.7370804497929,407.3287595104669,0,4.073287595104669
12200,-109172431652656642116,4157764876879814227927,145809550996357095517813997568,147274887713784386908978151424,-22478238197208758139,76898483357160370791,-22.478238197208757,76.89848335716037,-150.21531864700165,484.2272428676273,0,4.842272428676273
12400,3061050067626355401,4160825926947440583328,147274887713784386908978151424,148754950570074081360407953408,-22270971498041536430,77728470666643307672,-22.270971498041536,77.7284706666433,-172.4862901450432,561.9557135342706,0,5.619557135342706
12600,-1649095164488831016410,2511730762458609566918,148754950570074081360407953408,150249887557945716016771235840,-13310365219591902190,47393238732481835878,-13.310365219591903,47.393238732481834,-185.79665536463511,609.3489522667523,0,6.093489522667523
12800,0,2511730762458609566918,150249887557945716016771235840,151759848157395608594590728192,-13177931461322598357,47869524767230475402,-13.177931461322599,47.86952476723047,-198.97458682595772,657.2184770339828,0,6.572184770339828
