tick,liquidity_net,liquidity
10800,0,2296797825742670509217
10600,0,2296797825742670509217
10400,0,2296797825742670509217
10200,4321471007466181788,2292476354735204327429
10000,3480879017433936732,2288995475717770390697
9800,52999183948023934,2288942476533822366763
9600,0,2288942476533822366763
9400,43702627283962305,2288898773906538404458
9200,0,2288898773906538404458
9000,23411517377249902679,2265487256529288501779
8800,0,2265487256529288501779
8600,0,2265487256529288501779
8400,0,2265487256529288501779
8200,650065605266418259,2264837190924022083520
8000,0,2264837190924022083520
7800,0,2264837190924022083520
7600,0,2264837190924022083520
7400,0,2264837190924022083520
7200,0,2264837190924022083520
7000,0,2264837190924022083520
6800,0,2264837190924022083520
6600,0,2264837190924022083520
6400,34187942992116760,2264803002981029966760
6200,0,2264803002981029966760
6000,0,2264803002981029966760
5800,0,2264803002981029966760
5600,137065745763205070,2264665937235266761690
5400,0,2264665937235266761690
5200,0,2264665937235266761690
5000,0,2264665937235266761690
4800,0,2264665937235266761690
4600,0,2264665937235266761690
4400,0,2264665937235266761690
4200,0,2264665937235266761690
4000,0,2264665937235266761690
3800,463391724438597706,2264202545510828163984
3600,0,2264202545510828163984
3400,0,2264202545510828163984
3200,0,2264202545510828163984
3000,0,2264202545510828163984
2800,0,2264202545510828163984
2600,5216301354624424,2264197329209473539560
2400,0,2264197329209473539560
2200,0,2264197329209473539560
2000,0,2264197329209473539560
1800,153050703286239302,2264044278506187300258
1600,0,2264044278506187300258
1400,0,2264044278506187300258
1200,0,2264044278506187300258
1000,0,2264044278506187300258
800,0,2264044278506187300258
600,0,2264044278506187300258
400,0,2264044278506187300258
200,0,2264044278506187300258
0,0,2264044278506187300258
-200,327104693892433276,2263717173812294866982
-400,0,2263717173812294866982
-600,0,2263717173812294866982
-800,0,2263717173812294866982
-1000,0,2263717173812294866982
-1200,0,2263717173812294866982
-1400,0,2263717173812294866982
-1600,0,2263717173812294866982
-1800,0,2263717173812294866982
-2000,0,2263717173812294866982
-2200,0,2263717173812294866982
-2400,0,2263717173812294866982
-2600,0,2263717173812294866982
-2800,0,2263717173812294866982
-3000,0,2263717173812294866982
-3200,0,2263717173812294866982
-3400,0,2263717173812294866982
-3600,0,2263717173812294866982
-3800,0,2263717173812294866982
-4000,0,2263717173812294866982
-4200,0,2263717173812294866982
-4400,0,2263717173812294866982
-4600,0,2263717173812294866982
-4800,0,2263717173812294866982
-5000,0,2263717173812294866982
-5200,0,2263717173812294866982
-5400,0,2263717173812294866982
-5600,0,2263717173812294866982
-5800,0,2263717173812294866982
-6000,0,2263717173812294866982
-6200,0,2263717173812294866982
-6400,0,2263717173812294866982
-6600,0,2263717173812294866982
-6800,0,2263717173812294866982
-7000,33073997740874073,2263684099814553992909
-7200,0,2263684099814553992909
-7400,0,2263684099814553992909
-7600,0,2263684099814553992909
-7800,0,2263684099814553992909
-8000,0,2263684099814553992909
-8200,0,2263684099814553992909
-8400,0,2263684099814553992909
-8600,0,2263684099814553992909
-8800,0,2263684099814553992909
