tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-186240,0,13752342934404486166532277,7160305666125699104112640,7138858009062835482525696,457168004288019406202829507,-3722862246299083825,457168004.2880194,-3.722862246299084,457168004.2880194,-3.722862246299084,1371504.0128640584,0
-186300,-183629530345506571114,13752526563934831673103391,7138858009062835482525696,7117474595345848774688768,458547621560122853232709402,-3711760513409891985,458547621.56012285,-3.711760513409892,915715625.8481423,-7.434622759708976,2747146.877544427,0
-186360,-1187571376234294630868627,14940097940169126303972018,7117474595345848774688768,7096155232543112297447424,499641168632129838751314015,-4020203904609500307,499641168.63212985,-4.0202039046095,1415356794.480272,-11.454826664318475,4246070.383440817,0
-186420,-6078805017870669353816,14946176745186996973325834,7096155232543112297447424,7074899728799404379865088,501346171633824317229316517,-4009792801950258464,501346171.6338243,-4.009792801950259,1916702966.1140964,-15.464619466268733,5750108.898342289,0
-186480,2338971240223181767575,14943837773946773791558259,7074899728799404379865088,7053707892834175343919104,502773700188692910986271730,-3997156424515798511,502773700.1886929,-3.9971564245157984,2419476666.302789,-19.46177589078453,7258429.998908367,0
-186540,0,14943837773946773791558259,7053707892834175343919104,7032579533939829517582336,504284210397496395662108735,-3985183522210091003,504284210.3974964,-3.985183522210091,2923760876.7002854,-23.44695941299462,8771282.630100856,0
-186600,-2021651512230788894842,14945859425459004580453101,7032579533939829517582336,7011514461980009395388416,505867684900632627970986757,-3973783996845393994,505867684.9006326,-3.973783996845394,3429628561.600918,-27.420743409840014,10288885.684802754,0
-186660,-3090746906732433162303515,18036606332191437742756616,7011514461980009395388416,6990512487387879798996992,612313294548277661687418456,-4781183052790451339,612313294.5482776,-4.7811830527904515,4041941856.1491957,-32.20192646263047,12125825.568447588,0
-186720,-787451660303388732858,18037393783851741131489474,6990512487387879798996992,6969573421164428143886336,614179713493282662240761560,-4767069826597931554,614179713.4932827,-4.767069826597932,4656121569.642478,-36.9689962892284,13968364.708927434,0
-186780,-783228165972606933527,18038177012017713738423001,6969573421164428143886336,6948697074876761484820480,616051676133824115285680683,-4752997138275316067,616051676.1338241,-4.752997138275315,5272173245.776302,-41.72199342750372,15816519.737328906,0
-186840,298944024266444977071139,17739232987751268761351862,6948697074876761484820480,6927883260656408930025472,607662107052796612440260703,-4660225456473630397,607662107.0527966,-4.660225456473631,5879835352.829099,-46.38221888397735,17639506.058487296,0
