tick,liquidity_net,liquidity
23600,0,7234387467167326370893
23400,0,7234387467167326370893
23200,0,7234387467167326370893
23000,0,7234387467167326370893
22800,0,7234387467167326370893
22600,0,7234387467167326370893
22400,0,7234387467167326370893
22200,0,7234387467167326370893
22000,0,7234387467167326370893
21800,0,7234387467167326370893
21600,0,7234387467167326370893
21400,0,7234387467167326370893
21200,-630743896372163397,7235018211063698534290
21000,0,7235018211063698534290
20800,0,7235018211063698534290
20600,-263394701902522269178,7498412912966220803468
20400,0,7498412912966220803468
20200,0,7498412912966220803468
20000,0,7498412912966220803468
19800,0,7498412912966220803468
19600,0,7498412912966220803468
19400,0,7498412912966220803468
19200,0,7498412912966220803468
19000,0,7498412912966220803468
18800,0,7498412912966220803468
18600,0,7498412912966220803468
18400,0,7498412912966220803468
18200,0,7498412912966220803468
18000,84552136601313175873,7413860776364907627595
17800,0,7413860776364907627595
17600,0,7413860776364907627595
17400,0,7413860776364907627595
17200,0,7413860776364907627595
17000,0,7413860776364907627595
16800,0,7413860776364907627595
16600,5859286327729576241,7408001490037178051354
16400,0,7408001490037178051354
16200,0,7408001490037178051354
16000,0,7408001490037178051354
15800,0,7408001490037178051354
15600,0,7408001490037178051354
15400,0,7408001490037178051354
15200,0,7408001490037178051354
15000,0,7408001490037178051354
14800,0,7408001490037178051354
14600,0,7408001490037178051354
14400,630743896372163397,7407370746140805887957
14200,0,7407370746140805887957
14000,0,7407370746140805887957
13800,0,7407370746140805887957
13600,263394701902522269178,7143976044238283618779
13400,0,7143976044238283618779
13200,0,7143976044238283618779
13000,0,7143976044238283618779
12800,0,7143976044238283618779
12600,0,7143976044238283618779
12400,0,7143976044238283618779
12200,0,7143976044238283618779
12000,0,7143976044238283618779
11800,0,7143976044238283618779
11600,0,7143976044238283618779
11400,0,7143976044238283618779
11200,0,7143976044238283618779
11000,5382784543011857,7143970661453740606922
10800,0,7143970661453740606922
10600,0,7143970661453740606922
10400,0,7143970661453740606922
10200,0,7143970661453740606922
10000,0,7143970661453740606922
9800,0,7143970661453740606922
9600,0,7143970661453740606922
9400,0,7143970661453740606922
9200,0,7143970661453740606922
9000,0,7143970661453740606922
8800,0,7143970661453740606922
8600,0,7143970661453740606922
8400,7125853501208611252825,18117160245129354097
8200,0,18117160245129354097
8000,0,18117160245129354097
7800,0,18117160245129354097
7600,0,18117160245129354097
7400,0,18117160245129354097
7200,0,18117160245129354097
7000,360843248614569137,17756316996514784960
6800,0,17756316996514784960
6600,0,17756316996514784960
6400,0,17756316996514784960
6200,0,17756316996514784960
6000,0,17756316996514784960
5800,0,17756316996514784960
5600,0,17756316996514784960
5400,0,17756316996514784960
5200,0,17756316996514784960
5000,0,17756316996514784960
4800,0,17756316996514784960
4600,0,17756316996514784960
4400,0,17756316996514784960
4200,0,17756316996514784960
4000,0,17756316996514784960
3800,0,17756316996514784960
3600,0,17756316996514784960
3400,0,17756316996514784960
3200,0,17756316996514784960
3000,0,17756316996514784960
2800,0,17756316996514784960
2600,0,17756316996514784960
2400,0,17756316996514784960
2200,0,17756316996514784960
2000,0,17756316996514784960
1800,0,17756316996514784960
1600,0,17756316996514784960
1400,0,17756316996514784960
1200,0,17756316996514784960
1000,0,17756316996514784960
800,0,17756316996514784960
600,0,17756316996514784960
400,0,17756316996514784960
200,0,17756316996514784960
0,17756316996514784960,0
-200,0,0
-400,0,0
-600,0,0
-800,0,0
-1000,0,0
-1200,0,0
-1400,0,0
-1600,0,0
-1800,0,0
-2000,0,0
-2200,0,0
-2400,0,0
-2600,0,0
-2800,0,0
-3000,0,0
-3200,0,0
-3400,0,0
-3600,0,0
-3800,0,0
-4000,0,0
-4200,0,0
-4400,0,0
-4600,0,0
-4800,0,0
-5000,0,0
-5200,0,0
-5400,0,0
-5600,0,0
-5800,0,0
-6000,0,0
-6200,0,0
-6400,0,0
-6600,0,0
-6800,0,0
-7000,0,0
-7200,0,0
-7400,0,0
-7600,0,0
-7800,0,0
-8000,0,0
-8200,0,0
-8400,0,0
-8600,0,0
-8800,0,0
-9000,0,0
-9200,0,0
-9400,0,0
-9600,0,0
-9800,0,0
-10000,0,0
-10200,0,0
-10400,0,0
-10600,0,0
-10800,0,0
-11000,0,0
-11200,0,0
-11400,0,0
-11600,0,0
-11800,0,0
-12000,0,0
-12200,0,0
-12400,0,0
-12600,0,0
-12800,0,0
-13000,0,0
-13200,0,0
-13400,0,0
-13600,0,0
-13800,0,0
-14000,0,0
-14200,0,0
-14400,0,0
-14600,0,0
-14800,0,0
-15000,0,0
-15200,0,0
-15400,0,0
-15600,0,0
-15800,0,0
-16000,0,0
-16200,0,0
-16400,0,0
-16600,0,0
-16800,0,0
-17000,0,0
-17200,0,0
-17400,0,0
-17600,0,0
-17800,0,0
-18000,0,0
-18200,0,0
-18400,0,0
-18600,0,0
-18800,0,0
-19000,0,0
-19200,0,0
-19400,0,0
-19600,0,0
-19800,0,0
-20000,0,0
-20200,0,0
-20400,0,0
-20600,0,0
-20800,0,0
-21000,0,0
-21200,0,0
-21400,0,0
-21600,0,0
-21800,0,0
-22000,0,0
-22200,0,0
-22400,0,0
-22600,0,0
-22800,0,0
-23000,0,0
-23200,0,0
-23400,0,0
-23600,0,0
-23800,0,0
-24000,0,0
-24200,0,0
-24400,0,0
-24600,0,0
-24800,0,0
-25000,0,0
-25200,0,0
-25400,0,0
-25600,0,0
-25800,0,0
-26000,0,0
-26200,0,0
-26400,0,0
-26600,0,0
-26800,0,0
-27000,0,0
-27200,0,0
