tick,liquidity_net,liquidity
189400,3017739979815935,53949750649948605
189200,0,53949750649948605
189000,1951713538865326,51998037111083279
188800,2071864068940095,49926173042143184
188600,1306163440020386,48620009602122798
188400,1827176105296614,46792833496826184
188200,5826940116066678,40965893380759506
188000,1743523814265077,39222369566494429
187800,816347560013041,38406022006481388
187600,5228763874071662,33177258132409726
187400,0,33177258132409726
187200,0,33177258132409726
187000,4665376845818202,28511881286591524
186800,1556324204478560,26955557082112964
186600,30811081764491,26924746000348473
186400,107398861391711,26817347138956762
186200,0,26817347138956762
186000,5941721606002000,20875625532954762
185800,272420439495001,20603205093459761
185600,424273681035258,20178931412424503
185400,486443984770630,19692487427653873
185200,7432690845941985,12259796581711888
185000,0,12259796581711888
184800,0,12259796581711888
184600,68662160291990,12191134421419898
184400,294536156031178,11896598265388720
184200,0,11896598265388720
184000,0,11896598265388720
183800,82996839736559,11813601425652161
183600,0,11813601425652161
183400,0,11813601425652161
183200,290472637683128,11523128787969033
183000,0,11523128787969033
182800,0,11523128787969033
182600,0,11523128787969033
182400,2331031164879386,9192097623089647
182200,216812435797455,8975285187292192
182000,0,8975285187292192
181800,26008101299597,8949277085992595
181600,670270777051365,8279006308941230
181400,0,8279006308941230
181200,0,8279006308941230
181000,0,8279006308941230
180800,0,8279006308941230
180600,72397639574270,8206608669366960
180400,0,8206608669366960
180200,2294389550609692,5912219118757268
180000,202860866110445,5709358252646823
179800,15828518930554,5693529733716269
179600,4353669411002751,1339860322713518
179400,0,1339860322713518
179200,0,1339860322713518
179000,564655151562617,775205171150901
178800,39026762220237,736178408930664
178600,0,736178408930664
178400,0,736178408930664
178200,0,736178408930664
178000,6480718385110,729697690545554
177800,0,729697690545554
177600,0,729697690545554
177400,0,729697690545554
177200,0,729697690545554
177000,0,729697690545554
176800,0,729697690545554
176600,0,729697690545554
176400,0,729697690545554
176200,29820278368014,699877412177540
176000,0,699877412177540
175800,0,699877412177540
175600,-1103349826850997,1803227239028537
175400,0,1803227239028537
175200,0,1803227239028537
175000,0,1803227239028537
174800,0,1803227239028537
174600,0,1803227239028537
174400,0,1803227239028537
174200,0,1803227239028537
174000,0,1803227239028537
173800,1103349826850997,699877412177540
173600,19211404345877,680666007831663
173400,0,680666007831663
173200,0,680666007831663
173000,0,680666007831663
172800,0,680666007831663
172600,0,680666007831663
172400,0,680666007831663
172200,0,680666007831663
172000,0,680666007831663
171800,0,680666007831663
171600,0,680666007831663
171400,60092816176656,620573191655007
171200,0,620573191655007
171000,0,620573191655007
170800,0,620573191655007
170600,0,620573191655007
170400,0,620573191655007
170200,0,620573191655007
170000,0,620573191655007
169800,0,620573191655007
169600,0,620573191655007
169400,0,620573191655007
169200,0,620573191655007
169000,0,620573191655007
168800,0,620573191655007
168600,174053937859773,446519253795234
168400,0,446519253795234
168200,0,446519253795234
168000,0,446519253795234
167800,0,446519253795234
167600,0,446519253795234
167400,0,446519253795234
167200,0,446519253795234
167000,0,446519253795234
166800,0,446519253795234
166600,0,446519253795234
166400,0,446519253795234
166200,0,446519253795234
166000,0,446519253795234
165800,0,446519253795234
165600,0,446519253795234
165400,0,446519253795234
165200,0,446519253795234
165000,0,446519253795234
164800,0,446519253795234
164600,0,446519253795234
164400,0,446519253795234
164200,0,446519253795234
164000,0,446519253795234
163800,0,446519253795234
163600,0,446519253795234
163400,0,446519253795234
163200,0,446519253795234
163000,0,446519253795234
162800,0,446519253795234
162600,0,446519253795234
162400,0,446519253795234
162200,0,446519253795234
162000,0,446519253795234
161800,0,446519253795234
161600,0,446519253795234
161400,0,446519253795234
161200,0,446519253795234
161000,0,446519253795234
160800,0,446519253795234
160600,0,446519253795234
160400,0,446519253795234
160200,0,446519253795234
160000,0,446519253795234
159800,0,446519253795234
159600,0,446519253795234
159400,0,446519253795234
159200,0,446519253795234
159000,0,446519253795234
158800,0,446519253795234
158600,0,446519253795234
158400,0,446519253795234
158200,0,446519253795234
158000,0,446519253795234
157800,0,446519253795234
157600,0,446519253795234
157400,0,446519253795234
157200,0,446519253795234
157000,0,446519253795234
156800,0,446519253795234
156600,0,446519253795234
156400,0,446519253795234
156200,0,446519253795234
156000,0,446519253795234
155800,0,446519253795234
155600,0,446519253795234
155400,0,446519253795234
155200,0,446519253795234
155000,0,446519253795234
154800,0,446519253795234
154600,0,446519253795234
154400,0,446519253795234
154200,0,446519253795234
154000,0,446519253795234
153800,0,446519253795234
153600,0,446519253795234
153400,0,446519253795234
153200,0,446519253795234
153000,0,446519253795234
152800,0,446519253795234
152600,0,446519253795234
152400,0,446519253795234
152200,0,446519253795234
152000,0,446519253795234
151800,0,446519253795234
151600,0,446519253795234
151400,0,446519253795234
151200,0,446519253795234
151000,0,446519253795234
150800,0,446519253795234
150600,0,446519253795234
150400,0,446519253795234
150200,0,446519253795234
150000,0,446519253795234
149800,0,446519253795234
149600,0,446519253795234
149400,0,446519253795234
149200,0,446519253795234
149000,0,446519253795234
148800,0,446519253795234
148600,0,446519253795234
148400,0,446519253795234
148200,0,446519253795234
148000,0,446519253795234
147800,0,446519253795234
147600,0,446519253795234
147400,0,446519253795234
147200,0,446519253795234
147000,0,446519253795234
146800,0,446519253795234
146600,0,446519253795234
146400,0,446519253795234
146200,0,446519253795234
146000,0,446519253795234
145800,0,446519253795234
145600,0,446519253795234
145400,0,446519253795234
145200,0,446519253795234
145000,0,446519253795234
144800,0,446519253795234
144600,0,446519253795234
144400,0,446519253795234
144200,0,446519253795234
144000,0,446519253795234
143800,0,446519253795234
143600,0,446519253795234
143400,0,446519253795234
143200,0,446519253795234
143000,0,446519253795234
142800,0,446519253795234
142600,0,446519253795234
142400,0,446519253795234
142200,0,446519253795234
142000,0,446519253795234
141800,0,446519253795234
141600,0,446519253795234
141400,0,446519253795234
141200,0,446519253795234
141000,0,446519253795234
140800,0,446519253795234
140600,0,446519253795234
140400,0,446519253795234
140200,0,446519253795234
140000,0,446519253795234
139800,0,446519253795234
139600,0,446519253795234
139400,0,446519253795234
139200,0,446519253795234
139000,0,446519253795234
138800,0,446519253795234
138600,0,446519253795234
138400,0,446519253795234
138200,0,446519253795234
138000,0,446519253795234
137800,0,446519253795234
137600,0,446519253795234
137400,0,446519253795234
137200,0,446519253795234
137000,0,446519253795234
136800,0,446519253795234
136600,0,446519253795234
136400,0,446519253795234
136200,0,446519253795234
136000,0,446519253795234
135800,0,446519253795234
135600,0,446519253795234
135400,0,446519253795234
135200,0,446519253795234
135000,0,446519253795234
134800,0,446519253795234
134600,0,446519253795234
134400,0,446519253795234
134200,0,446519253795234
134000,0,446519253795234
133800,0,446519253795234
133600,0,446519253795234
133400,0,446519253795234
133200,0,446519253795234
133000,0,446519253795234
132800,0,446519253795234
132600,0,446519253795234
132400,0,446519253795234
132200,0,446519253795234
132000,0,446519253795234
131800,0,446519253795234
131600,0,446519253795234
131400,0,446519253795234
131200,0,446519253795234
131000,0,446519253795234
130800,0,446519253795234
130600,0,446519253795234
130400,0,446519253795234
130200,0,446519253795234
130000,0,446519253795234
129800,0,446519253795234
129600,0,446519253795234
129400,0,446519253795234
129200,0,446519253795234
129000,0,446519253795234
128800,0,446519253795234
128600,0,446519253795234
128400,0,446519253795234
128200,0,446519253795234
128000,0,446519253795234
127800,0,446519253795234
127600,0,446519253795234
127400,0,446519253795234
127200,0,446519253795234
127000,0,446519253795234
126800,0,446519253795234
126600,0,446519253795234
126400,0,446519253795234
126200,0,446519253795234
126000,0,446519253795234
125800,0,446519253795234
125600,0,446519253795234
125400,0,446519253795234
125200,0,446519253795234
125000,0,446519253795234
