tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
189400,3017739979815935,53949750649948605,1026697968359545541221252190961664,1016482661092301051208365328302080,41838661511,-6956027533532978353,41.838661511,-6.956027533532978,41.838661511,-6.956027533532978,0.41838661510999997,0
189200,0,53949750649948605,1016482661092301051208365328302080,1006368992774173202597609887236096,42259125921,-6886817346307212765,42.259125921,-6.886817346307212,84.09778743199999,-13.84284487984019,0.8409778743199999,0
189000,1951713538865326,51998037111083279,1006368992774173202597609887236096,996355952131031107075357349511168,41139664488,-6571633651899321352,41.139664488,-6.5716336518993215,125.23745191999998,-20.414478531739512,1.2523745191999998,0
188800,2071864068940095,49926173042143184,996355952131031107075357349511168,986442537950589318392754384928768,39897418955,-6247006318265470173,39.897418955,-6.24700631826547,165.134870875,-26.66148485000498,1.65134870875,0
188600,1306163440020386,48620009602122798,986442537950589318392754384928768,976627758982295046434691901030400,39244092576,-6023043227782364251,39.244092576,-6.023043227782364,204.378963451,-32.68452807778735,2.04378963451,0
188400,1827176105296614,46792833496826184,976627758982295046434691901030400,966910633838212936620635167129600,38148838807,-5739017598104638905,38.148838807,-5.739017598104638,242.527802258,-38.42354567589199,2.42527802258,0
188200,5826940116066678,40965893380759506,966910633838212936620635167129600,957290190894895020731140489084928,33733945347,-4974368045209755367,33.733945347,-4.974368045209756,276.261747605,-43.397913721101744,2.7626174760499995,0
188000,1743523814265077,39222369566494429,957290190894895020731140489084928,947765468196227048133585807605760,32622802115,-4715270200015975005,32.622802115,-4.715270200015976,308.88454972,-48.113183921117724,3.0888454972,0
187800,816347560013041,38406022006481388,947765468196227048133585807605760,938335513357241974035078365315072,32264837966,-4571190869168288485,32.264837966,-4.571190869168288,341.149387686,-52.684374790286014,3.4114938768600003,0
187600,5228763874071662,33177258132409726,938335513357241974035078365315072,928999383468889940238621829234688,28152267565,-3909559195037418018,28.152267565,-3.909559195037418,369.301655251,-56.59393398532343,3.69301655251,0
187400,0,33177258132409726,928999383468889940238621829234688,919756145003756389721634469052416,28435188340,-3870660366280009035,28.43518834,-3.8706603662800094,397.736843591,-60.46459435160344,3.9773684359100003,0
187200,0,33177258132409726,919756145003756389721634469052416,910604873722717650512900777836544,28720952375,-3832148568081040889,28.720952375,-3.832148568081041,426.45779596600005,-64.29674291968448,4.26457795966,0
187000,4665376845818202,28511881286591524,910604873722717650512900777836544,901544654582525053726295832133632,24930267980,-3260505915546970949,24.93026798,-3.2605059155469713,451.38806394600005,-67.55724883523145,4.51388063946,0
186800,1556324204478560,26955557082112964,901544654582525053726295832133632,892574581644310091761502446944256,23806311509,-3051860669786925715,23.806311509,-3.0518606697869255,475.19437545500006,-70.60910950501837,4.751943754550001,0
186600,30811081764491,26924746000348473,892574581644310091761502446944256,883693757982997646304794298548224,24018072039,-3018041991213313549,24.018072039,-3.0180419912133134,499.21244749400006,-73.62715149623168,4.992124474940001,0
186400,107398861391711,26817347138956762,883693757982997646304794298548224,874901295597622674443866587791360,24162678178,-2976094718243256353,24.162678178,-2.976094718243256,523.3751256720001,-76.60324621447494,5.233751256720001,0
186200,0,26817347138956762,874901295597622674443866587791360,866196315322537382529787416805376,24405504930,-2946483554161740960,24.40550493,-2.9464835541617407,547.7806306020001,-79.54972976863668,5.477806306020001,0
186000,5941721606002000,20875625532954762,866196315322537382529787416805376,857577946739503411408922996637696,19189082457,-2270831854922890686,19.189082457,-2.270831854922891,566.9697130590001,-81.82056162355957,5.669697130590001,0
185800,272420439495001,20603205093459761,857577946739503411408922996637696,849045328090657792040166769033216,19128998124,-2218899018070685209,19.128998124,-2.2188990180706853,586.0987111830001,-84.03946064163026,5.860987111830001,0
185600,424273681035258,20178931412424503,849045328090657792040166769033216,840597606192344601046940194439168,18923363451,-2151583418921365122,18.923363451,-2.151583418921365,605.0220746340001,-86.19104406055162,6.050220746340001,0
185400,486443984770630,19692487427653873,840597606192344601046940194439168,832233936349805398674937565151232,18652775839,-2078824725912304639,18.652775839,-2.0788247259123045,623.6748504730001,-88.26986878646392,6.236748504730001,0
185200,7432690845941985,12259796581711888,832233936349805398674937565151232,823953482272716631710192623419392,11729213356,-1281320673959060213,11.729213356,-1.2813206739590601,635.404063829,-89.55118946042298,6.35404063829,0
185000,0,12259796581711888,823953482272716631710192623419392,815755415991568380865132026134528,11847087986,-1268571954476080105,11.847087986,-1.26857195447608,647.2511518150001,-90.81976141489906,6.472511518150001,0
184800,0,12259796581711888,815755415991568380865132026134528,807638917774875229260578801319936,11966147217,-1255950080560937393,11.966147217,-1.2559500805609374,659.217299032,-92.07571149546,6.59217299032,0
184600,68662160291990,12191134421419898,807638917774875229260578801319936,799603176047210749207609320931328,12018711901,-1236489708569638176,12.018711901,-1.2364897085696382,671.236010933,-93.31220120402963,6.71236010933,0
184400,294536156031178,11896598265388720,799603176047210749207609320931328,791647387308057104493167314468864,11846207318,-1194610849355164952,11.846207318,-1.194610849355165,683.082218251,-94.5068120533848,6.8308221825099995,0
184200,0,11896598265388720,791647387308057104493167314468864,783770756051462418294843054751744,11965257699,-1182724864121897703,11.965257699,-1.1827248641218977,695.0474759499999,-95.6895369175067,6.950474759499999,0
184000,0,11896598265388720,783770756051462418294843054751744,775972494686497403928721240358912,12085504495,-1170957140534311066,12.085504495,-1.170957140534311,707.1329804449999,-96.86049405804101,7.0713298044499995,0
183800,82996839736559,11813601425652161,775972494686497403928721240358912,768251823458504052670893781942272,12121797650,-1151218578489593326,12.12179765,-1.1512185784895934,719.2547780949999,-98.0117126365306,7.192547780949998,0
183600,0,11813601425652161,768251823458504052670893781942272,760607970371126434704660258357248,12243617620,-1139764332086610198,12.24361762,-1.1397643320866102,731.4983957149999,-99.15147696861722,7.314983957149999,0
183400,0,11813601425652161,760607970371126434704660258357248,753040171109118569161833387655168,12366661839,-1128424051669875225,12.366661839,-1.1284240516698751,743.8650575539999,-100.2799010202871,7.43865057554,0
183200,290472637683128,11523128787969033,753040171109118569161833387655168,745547668961920428116488809873408,12183815521,-1089726991595374418,12.183815521,-1.0897269915953745,756.048873075,-101.36962801188247,7.5604887307499995,0
183000,0,11523128787969033,745547668961920428116488809873408,738129714747992562928746175135744,12306258750,-1078884566267188242,12.30625875,-1.0788845662671882,768.355131825,-102.44851257814966,7.683551318249999,0
182800,0,11523128787969033,738129714747992562928746175135744,730785566739905894174067716521984,12429932491,-1068150019506668110,12.429932491,-1.0681500195066682,780.785064316,-103.51666259765634,7.807850643159999,0
182600,0,11523128787969033,730785566739905894174067716521984,723514490590175712403780542660608,12554849113,-1057522277957488132,12.554849113,-1.0575222779574882,793.339913429,-104.57418487561382,7.93339913429,0
182400,2331031164879386,9192097623089647,723514490590175712403780542660608,716315759257832972207795008962560,10115758150,-835201007689343808,10.11575815,-0.8352010076893437,803.4556715790001,-105.40938588330317,8.03455671579,0
182200,216812435797455,8975285187292192,716315759257832972207795008962560,709188652935727403202372284973056,9976421607,-807387294758146167,9.976421607,-0.8073872947581462,813.4320931860001,-106.21677317806132,8.134320931860001,0
182000,0,8975285187292192,709188652935727403202372284973056,702132458978553214570904263065600,10076681272,-799354056596780406,10.076681272,-0.7993540565967804,823.5087744580001,-107.0161272346581,8.235087744580001,0
