tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-97000,0,43688724486536983213308,620378382185233485177815040,614205821226430764968574976,56071703785332047463987,-3403730523940078000,56071.70378533205,-3.403730523940078,56071.70378533205,-3.403730523940078,560.7170378533204,0
-97200,0,43688724486536983213308,614205821226430764968574976,608094675219992998834077696,56635205461346172914696,-3369864524173351169,56635.20546134617,-3.369864524173351,112706.90924667823,-6.773595048113429,1127.0690924667824,0
-97400,0,43688724486536983213308,608094675219992998834077696,602044333107333708329779200,57204370138793694989498,-3336335479971193731,57204.370138793696,-3.336335479971194,169911.27938547192,-10.109930528084623,1699.1127938547193,0
-97600,0,43688724486536983213308,602044333107333708329779200,596054189909698630329040896,57779254728923933880955,-3303140038736421172,57779.25472892394,-3.303140038736421,227690.53411439585,-13.413070566821045,2276.9053411439586,0
-97800,0,43688724486536983213308,596054189909698630329040896,590123646667673129883533312,58359916714927447908253,-3270274881229229604,58359.91671492745,-3.2702748812292297,286050.4508293233,-16.683345448050275,2860.5045082932334,0
-98000,0,43688724486536983213308,590123646667673129883533312,584252110381291733138800640,58946414157681679207222,-3237736721235169163,58946.41415768168,-3.2377367212351693,344996.864987005,-19.921082169285445,3449.96864987005,0
-98200,0,43688724486536983213308,584252110381291733138800640,578438993950743939149463552,59538805701552514044711,-3205522305236338396,59538.80570155251,-3.205522305236338,404535.67068855755,-23.126604474521784,4045.356706885576,0
-98400,0,43688724486536983213308,578438993950743939149463552,572683716117669163768479744,60137150580266474105617,-3173628412086519619,60137.150580266476,-3.1736284120865195,464672.82126882405,-26.300232886608303,4646.72821268824,0
-98600,-208915400661247073088748,252604125147784056302056,572683716117669163768479744,566985701407036486283427840,351201730564459326305479,-18167050394478484585,351201.73056445934,-18.167050394478483,815874.5518332834,-44.467283281086786,8158.745518332834,0
-98800,139045205282562924804702,113558919865221131497354,566985701407036486283427840,561344380069602326852141056,159470438869211539910446,-8085790927895233692,159470.43886921153,-8.085790927895234,975344.990702495,-52.55307420898202,9753.44990702495,0
-99000,69870195378684148284046,43688724486536983213308,561344380069602326852141056,555759188024940832057458688,61968506527847821363300,-3079838137097807320,61968.50652784782,-3.0798381370978074,1037313.4972303428,-55.63291234607983,10373.13497230343,0
-99200,0,43688724486536983213308,555759188024940832057458688,550229566805040921267142656,62591269078852883470771,-3049194760103403804,62591.269078852885,-3.0491947601034037,1099904.7663091957,-58.68210710618323,10999.047663091957,0
-99400,0,43688724486536983213308,550229566805040921267142656,544754963498464633679773696,63220290183059683205702,-3018856274636355544,63220.29018305968,-3.0188562746363554,1163125.0564922553,-61.70096338081959,11631.250564922551,0
-99600,0,43688724486536983213308,544754963498464633679773696,539334830695061072340058112,63855632736812841823281,-2988819647126184232,63855.63273681284,-2.988819647126184,1226980.689229068,-64.68978302794577,12269.806892290682,0
