tick,liquidity_net,liquidity
-216800,0,31512457707527652429189772
-216600,0,31512457707527652429189772
-216400,0,31512457707527652429189772
-216200,0,31512457707527652429189772
-216000,0,31512457707527652429189772
-215800,0,31512457707527652429189772
-215600,0,31512457707527652429189772
-215400,0,31512457707527652429189772
-215200,0,31512457707527652429189772
-215000,0,31512457707527652429189772
-214800,0,31512457707527652429189772
-214600,-1,31512457707527652429189771
-214400,0,31512457707527652429189771
-214200,0,31512457707527652429189771
-214000,0,31512457707527652429189771
-213800,-19522682531113888913667173,11989775176413763515522598
-213600,-3567587207704984251191,11986207589206058531271407
-213400,0,11986207589206058531271407
-213200,0,11986207589206058531271407
-213000,0,11986207589206058531271407
-212800,0,11986207589206058531271407
-212600,0,11986207589206058531271407
-212400,0,11986207589206058531271407
-212200,0,11986207589206058531271407
-212000,0,11986207589206058531271407
-211800,0,11986207589206058531271407
-211600,-1857315865446806483206,11984350273340611724788201
-211400,0,11984350273340611724788201
-211200,0,11984350273340611724788201
-211000,0,11984350273340611724788201
-210800,-3701649542136403416018989,8282700731204208308769212
-210600,0,8282700731204208308769212
-210400,0,8282700731204208308769212
-210200,0,8282700731204208308769212
-210000,0,8282700731204208308769212
-209800,0,8282700731204208308769212
-209600,0,8282700731204208308769212
-209400,621435546628199335249751,8904136277832407644018963
-209200,0,8904136277832407644018963
-209000,0,8904136277832407644018963
-208800,0,8904136277832407644018963
-208600,0,8904136277832407644018963
-208400,0,8904136277832407644018963
-208200,-7634357017279608333905090,1269779260552799310113873
-208000,0,1269779260552799310113873
-207800,0,1269779260552799310113873
-207600,0,1269779260552799310113873
-207400,0,1269779260552799310113873
-207200,0,1269779260552799310113873
-207000,-78295805098691610133458,1191483455454107699980415
-206800,0,1191483455454107699980415
-206600,0,1191483455454107699980415
-206400,0,1191483455454107699980415
-206200,0,1191483455454107699980415
-206000,0,1191483455454107699980415
-205800,0,1191483455454107699980415
-205600,0,1191483455454107699980415
-205400,0,1191483455454107699980415
-205200,0,1191483455454107699980415
-205000,0,1191483455454107699980415
-204800,0,1191483455454107699980415
-204600,0,1191483455454107699980415
-204400,0,1191483455454107699980415
-204200,0,1191483455454107699980415
-204000,0,1191483455454107699980415
-203800,0,1191483455454107699980415
-203600,0,1191483455454107699980415
-203400,0,1191483455454107699980415
-203200,0,1191483455454107699980415
-203000,0,1191483455454107699980415
-202800,0,1191483455454107699980415
-202600,0,1191483455454107699980415
-202400,0,1191483455454107699980415
-202200,0,1191483455454107699980415
-202000,0,1191483455454107699980415
-201800,0,1191483455454107699980415
-201600,0,1191483455454107699980415
-201400,0,1191483455454107699980415
-201200,0,1191483455454107699980415
-201000,0,1191483455454107699980415
-200800,0,1191483455454107699980415
-200600,0,1191483455454107699980415
-200400,0,1191483455454107699980415
-200200,0,1191483455454107699980415
-200000,0,1191483455454107699980415
-199800,0,1191483455454107699980415
-199600,0,1191483455454107699980415
-199400,0,1191483455454107699980415
-199200,0,1191483455454107699980415
-199000,0,1191483455454107699980415
-198800,0,1191483455454107699980415
-198600,0,1191483455454107699980415
-198400,0,1191483455454107699980415
-198200,0,1191483455454107699980415
-198000,0,1191483455454107699980415
-197800,0,1191483455454107699980415
-197600,0,1191483455454107699980415
-197400,0,1191483455454107699980415
-197200,0,1191483455454107699980415
-197000,0,1191483455454107699980415
-196800,0,1191483455454107699980415
-196600,0,1191483455454107699980415
-196400,0,1191483455454107699980415
-196200,0,1191483455454107699980415
-196000,0,1191483455454107699980415
-195800,0,1191483455454107699980415
-195600,0,1191483455454107699980415
-195400,0,1191483455454107699980415
-195200,0,1191483455454107699980415
-195000,0,1191483455454107699980415
-194800,0,1191483455454107699980415
-194600,0,1191483455454107699980415
-194400,0,1191483455454107699980415
-194200,0,1191483455454107699980415
-194000,0,1191483455454107699980415
-193800,0,1191483455454107699980415
-193600,0,1191483455454107699980415
-193400,0,1191483455454107699980415
-193200,0,1191483455454107699980415
-193000,0,1191483455454107699980415
-192800,0,1191483455454107699980415
-192600,0,1191483455454107699980415
-192400,0,1191483455454107699980415
-192200,0,1191483455454107699980415
-192000,0,1191483455454107699980415
-191800,0,1191483455454107699980415
-191600,0,1191483455454107699980415
-191400,0,1191483455454107699980415
-191200,0,1191483455454107699980415
-191000,0,1191483455454107699980415
-190800,0,1191483455454107699980415
-190600,0,1191483455454107699980415
-190400,0,1191483455454107699980415
-190200,0,1191483455454107699980415
-190000,0,1191483455454107699980415
-189800,0,1191483455454107699980415
-189600,0,1191483455454107699980415
-189400,0,1191483455454107699980415
-189200,0,1191483455454107699980415
-189000,0,1191483455454107699980415
-188800,0,1191483455454107699980415
-188600,0,1191483455454107699980415
-188400,0,1191483455454107699980415
-188200,0,1191483455454107699980415
-188000,0,1191483455454107699980415
-187800,0,1191483455454107699980415
-187600,0,1191483455454107699980415
-187400,0,1191483455454107699980415
-187200,0,1191483455454107699980415
-187000,0,1191483455454107699980415
-186800,0,1191483455454107699980415
-186600,0,1191483455454107699980415
-186400,-621435546628199335249751,570047908825908364730664
-186200,0,570047908825908364730664
-186000,0,570047908825908364730664
-185800,0,570047908825908364730664
-185600,0,570047908825908364730664
-185400,0,570047908825908364730664
-185200,0,570047908825908364730664
-185000,0,570047908825908364730664
-184800,0,570047908825908364730664
-184600,0,570047908825908364730664
-184400,0,570047908825908364730664
-184200,0,570047908825908364730664
-184000,0,570047908825908364730664
-183800,0,570047908825908364730664
-183600,0,570047908825908364730664
-183400,0,570047908825908364730664
-183200,0,570047908825908364730664
-183000,0,570047908825908364730664
-182800,0,570047908825908364730664
-182600,0,570047908825908364730664
-182400,0,570047908825908364730664
-182200,0,570047908825908364730664
-182000,0,570047908825908364730664
-181800,0,570047908825908364730664
-181600,0,570047908825908364730664
-181400,0,570047908825908364730664
-181200,0,570047908825908364730664
-181000,0,570047908825908364730664
-180800,0,570047908825908364730664
-180600,0,570047908825908364730664
-180400,0,570047908825908364730664
-180200,0,570047908825908364730664
-180000,0,570047908825908364730664
-179800,0,570047908825908364730664
-179600,0,570047908825908364730664
-179400,0,570047908825908364730664
-179200,0,570047908825908364730664
-179000,0,570047908825908364730664
-178800,0,570047908825908364730664
-178600,-23627826078333448676233,546420082747574916054431
-178400,0,546420082747574916054431
-178200,0,546420082747574916054431
-178000,0,546420082747574916054431
-177800,0,546420082747574916054431
-177600,0,546420082747574916054431
-177400,0,546420082747574916054431
-177200,0,546420082747574916054431
-177000,0,546420082747574916054431
-176800,0,546420082747574916054431
-176600,0,546420082747574916054431
-176400,0,546420082747574916054431
-176200,0,546420082747574916054431
-176000,0,546420082747574916054431
