tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-216800,0,31512457707527652429189772,1553684280756560352772096,1569298282777176216436736,-15988503614753890804576310972,6210362107430195799,-15988503614.753891,6.210362107430196,-15988503614.753891,6.210362107430196,0,0.062103621074301965
-216600,0,31512457707527652429189772,1569298282777176216436736,1585069200242016480395264,-15829423259866857228752410408,6272774148084162273,-15829423259.866858,6.272774148084162,-31817926874.62075,12.483136255514358,0,0.12483136255514359
-216400,0,31512457707527652429189772,1585069200242016480395264,1600998610098272998522880,-15671925702214930490348610574,6335813408657325446,-15671925702.21493,6.335813408657326,-47489852576.83568,18.818949664171683,0,0.18818949664171683
-216200,0,31512457707527652429189772,1600998610098272998522880,1617088105140923775582208,-15515995193485683918818378998,6399486192497825541,-15515995193.485683,6.399486192497825,-63005847770.321365,25.218435856669508,0,0.2521843585666951
-216000,0,31512457707527652429189772,1617088105140923775582208,1633339294171998407622656,-15361616142057752746323230924,6463798866300538285,-15361616142.057753,6.463798866300539,-78367463912.37912,31.682234722970048,0,0.3168223472297005
-215800,0,31512457707527652429189772,1633339294171998407622656,1649753802161442860826624,-15208773111440633973905781220,6528757860743200788,-15208773111.440634,6.528757860743201,-93576237023.81975,38.21099258371325,0,0.3821099258371325
-215600,0,31512457707527652429189772,1649753802161442860826624,1666333270409601842413568,-15057450818732107192648522795,6594369671129797682,-15057450818.732107,6.594369671129797,-108633687842.55185,44.80536225484305,0,0.44805362254843045
-215400,0,31512457707527652429189772,1666333270409601842413568,1683079356711334332858368,-14907634133090292299920664236,6660640858040139821,-14907634133.090292,6.66064085804014,-123541321975.64214,51.466003112883186,0,0.5146600311288319
-215200,0,31512457707527652429189772,1683079356711334332858368,1699993735521777580244992,-14759308074219922569324409585,6727578047985528779,-14759308074.219923,6.727578047985529,-138300630049.86206,58.19358116086872,0,0.5819358116086871
-215000,0,31512457707527652429189772,1699993735521777580244992,1717078098123776199753728,-14612457810873833000051789488,6795187934071040984,-14612457810.873833,6.795187934071041,-152913087860.7359,64.98876909493976,0,0.6498876909493975
-214800,0,31512457707527652429189772,1717078098123776199753728,1734334152796997584683008,-14467068659373146402831149241,6863477276666246554,-14467068659.373146,6.863477276666247,-167380156520.10904,71.852246371606,0,0.71852246371606
-214600,-1,31512457707527652429189771,1734334152796997584683008,1751763624988740876763136,-14323126082133921212866670287,6932452904078810877,-14323126082.13392,6.9324529040788105,-181703282602.24295,78.78469927568482,0,0.7878469927568481
-214400,0,31512457707527652429189771,1751763624988740876763136,1769368257486468218355712,-14180615686218383931543632655,7002121713239520412,-14180615686.218384,7.002121713239521,-195883898288.46133,85.78682098892433,0,0.8578682098892434
-214200,0,31512457707527652429189771,1769368257486468218355712,1787149810592067144908800,-14039523221893413775830521899,7072490670390831833,-14039523221.893414,7.072490670390832,-209923421510.35474,92.85931165931517,0,0.9285931165931517
-214000,0,31512457707527652429189771,1787149810592067144908800,1805110062297863713456128,-13899834581205320163820566561,7143566811783215279,-13899834581.20532,7.143566811783216,-223823256091.56006,100.00287847109838,0,1.0000287847109839
-213800,-19522682531113888913667173,11989775176413763515522598,1805110062297863713456128,1823250808464406499819520,-5235952137228541625031852880,2745279723356934395,-5235952137.228541,2.7452797233569344,-229059208228.7886,102.74815819445531,0,1.027481581944553
-213600,-3567587207704984251191,11986207589206058531271407,1823250808464406499819520,1841573863000035960029184,-5182313665544090442056153689,2772043782952267260,-5182313665.54409,2.772043782952267,-234241521894.3327,105.52020197740758,0,1.055202019774076
-213400,0,11986207589206058531271407,1841573863000035960029184,1860081058042257678008320,-5130751348211953258614886618,2799901886277571452,-5130751348.211953,2.7999018862775715,-239372273242.54465,108.32010386368515,0,1.0832010386368516
-213200,0,11986207589206058531271407,1860081058042257678008320,1878774244140940705923072,-5079702058986664708873579607,2828039954127871966,-5079702058.986665,2.828039954127872,-244451975301.5313,111.14814381781302,0,1.1114814381781302
-213000,0,11986207589206058531271407,1878774244140940705923072,1897655290443354687406080,-5029160693407138611082756591,2856460800052000869,-5029160693.407139,2.856460800052001,-249481135994.93845,114.00460461786503,0,1.1400460461786504
-212800,0,11986207589206058531271407,1897655290443354687406080,1916726084881067775361024,-4979122197800088763823279923,2885167265874054603,-4979122197.800089,2.885167265874055,-254460258192.73853,116.88977188373909,0,1.1688977188373908
-212600,0,11986207589206058531271407,1916726084881067775361024,1935988534358722524217344,-4929581568774625813393406242,2914162221977507492,-4929581568.774626,2.9141622219775076,-259389839761.51315,119.80393410571659,0,1.198039341057166
-212400,0,11986207589206058531271407,1935988534358722524217344,1955444564944709083987968,-4880533852722004684372471160,2943448567592249243,-4880533852.722005,2.9434485675922493,-264270373614.23517,122.74738267330885,0,1.2274738267330887
-212200,0,11986207589206058531271407,1955444564944709083987968,1975096122063753144434688,-4831974145319950354961247132,2973029231084262141,-4831974145.31995,2.9730292310842623,-269102347759.5551,125.72041190439312,0,1.2572041190439311
-212000,0,11986207589206058531271407,1975096122063753144434688,1994945170691442520096768,-4783897591043066819243342381,3002907170248912616,-4783897591.043067,3.0029071702489127,-273886245350.59818,128.72331907464203,0,1.2872331907464203
-211800,0,11986207589206058531271407,1994945170691442520096768,2014993695550705261084672,-4736299382676481732049745826,3033085372606192133,-4736299382.676482,3.033085372606192,-278622544733.27466,131.75640444724823,0,1.3175640444724823
-211600,-1857315865446806483206,11984350273340611724788201,2014993695550705261084672,2035243701310264254136320,-4688448152472305607236190162,3063092142469248857,-4688448152.472305,3.063092142469249,-283310992885.74695,134.8194965897175,0,1.3481949658971748
-211400,0,11984350273340611724788201,2035243701310264254136320,2055697212785085493805056,-4641799634641304167428120685,3093875183460391145,-4641799634.641304,3.093875183460391,-287952792520.38824,137.9133717731779,0,1.3791337177317788
-211200,0,11984350273340611724788201,2055697212785085493805056,2076356275138841498615808,-4595615254227468012600312307,3124967583611710357,-4595615254.227468,3.1249675836117103,-292548407774.6157,141.0383393567896,0,1.410383393567896
-211000,0,11984350273340611724788201,2076356275138841498615808,2097222954088408394235904,-4549890393216026420222785798,3156372451878197377,-4549890393.216026,3.1563724518781973,-297098298167.8317,144.1947118086678,0,1.441947118086678
-210800,-3701649542136403416018989,8282700731204208308769212,2097222954088408394235904,2118299336110418943803392,-3113262086696604372483398164,2203375154048490298,-3113262086.6966043,2.2033751540484903,-300211560254.5283,146.3980869627163,0,1.4639808696271628
-210600,0,8282700731204208308769212,2118299336110418943803392,2139587528649891121201152,-3082286152391529956280742579,2225518329810521998,-3082286152.39153,2.225518329810522,-303293846406.91986,148.6236052925268,0,1.486236052925268
-210400,0,8282700731204208308769212,2139587528649891121201152,2161089660330952896806912,-3051618418449691338164304849,2247884037006600586,-3051618418.4496913,2.2478840370066004,-306345464825.36957,150.8714893295334,0,1.508714893295334
-210200,0,8282700731204208308769212,2161089660330952896806912,2182807881169686052732928,-3021255818378877498692790606,2270474512002506304,-3021255818.3788776,2.2704745120025063,-309366720643.7485,153.1419638415359,0,1.5314196384153589
