tick,liquidity_net,liquidity
-145860,0,556981897412899953
-145920,0,556981897412899953
-145980,0,556981897412899953
-146040,0,556981897412899953
-146100,0,556981897412899953
-146160,0,556981897412899953
-146220,0,556981897412899953
-146280,25625460365237041,531356437047662912
-146340,0,531356437047662912
-146400,0,531356437047662912
-146460,0,531356437047662912
-146520,0,531356437047662912
-146580,0,531356437047662912
-146640,0,531356437047662912
-146700,0,531356437047662912
-146760,0,531356437047662912
-146820,0,531356437047662912
-146880,0,531356437047662912
-146940,0,531356437047662912
-147000,0,531356437047662912
-147060,0,531356437047662912
-147120,0,531356437047662912
-147180,0,531356437047662912
-147240,0,531356437047662912
-147300,1648374688011362,529708062359651550
-147360,0,529708062359651550
-147420,0,529708062359651550
-147480,0,529708062359651550
-147540,0,529708062359651550
-147600,0,529708062359651550
-147660,0,529708062359651550
-147720,0,529708062359651550
-147780,0,529708062359651550
-147840,0,529708062359651550
-147900,0,529708062359651550
-147960,0,529708062359651550
-148020,0,529708062359651550
-148080,0,529708062359651550
-148140,0,529708062359651550
-148200,0,529708062359651550
-148260,0,529708062359651550
-148320,0,529708062359651550
-148380,0,529708062359651550
-148440,0,529708062359651550
-148500,0,529708062359651550
-148560,0,529708062359651550
-148620,0,529708062359651550
-148680,0,529708062359651550
-148740,0,529708062359651550
-148800,0,529708062359651550
-148860,0,529708062359651550
-148920,0,529708062359651550
-148980,0,529708062359651550
-149040,0,529708062359651550
-149100,0,529708062359651550
-149160,383695784559469958,146012277800181592
-149220,0,146012277800181592
-149280,0,146012277800181592
-149340,565828345568216,145446449454613376
-149400,0,145446449454613376
-149460,0,145446449454613376
-149520,0,145446449454613376
-149580,0,145446449454613376
-149640,0,145446449454613376
-149700,0,145446449454613376
-149760,4145586559473194,141300862895140182
-149820,0,141300862895140182
-149880,0,141300862895140182
-149940,0,141300862895140182
-150000,0,141300862895140182
-150060,0,141300862895140182
-150120,0,141300862895140182
-150180,0,141300862895140182
-150240,0,141300862895140182
-150300,0,141300862895140182
-150360,0,141300862895140182
-150420,0,141300862895140182
-150480,0,141300862895140182
-150540,0,141300862895140182
-150600,0,141300862895140182
-150660,0,141300862895140182
-150720,0,141300862895140182
-150780,0,141300862895140182
-150840,2963179038497165,138337683856643017
-150900,0,138337683856643017
-150960,0,138337683856643017
-151020,0,138337683856643017
-151080,0,138337683856643017
-151140,0,138337683856643017
-151200,0,138337683856643017
-151260,0,138337683856643017
-151320,0,138337683856643017
-151380,0,138337683856643017
-151440,0,138337683856643017
-151500,0,138337683856643017
-151560,0,138337683856643017
-151620,0,138337683856643017
-151680,0,138337683856643017
-151740,0,138337683856643017
-151800,0,138337683856643017
-151860,0,138337683856643017
-151920,0,138337683856643017
-151980,0,138337683856643017
-152040,0,138337683856643017
-152100,0,138337683856643017
-152160,0,138337683856643017
-152220,0,138337683856643017
-152280,0,138337683856643017
-152340,0,138337683856643017
-152400,0,138337683856643017
-152460,0,138337683856643017
-152520,0,138337683856643017
-152580,0,138337683856643017
-152640,0,138337683856643017
-152700,0,138337683856643017
-152760,0,138337683856643017
-152820,11895955413287184,126441728443355833
-152880,0,126441728443355833
-152940,0,126441728443355833
-153000,0,126441728443355833
-153060,0,126441728443355833
-153120,0,126441728443355833
-153180,0,126441728443355833
-153240,0,126441728443355833
-153300,0,126441728443355833
-153360,0,126441728443355833
-153420,0,126441728443355833
-153480,0,126441728443355833
-153540,0,126441728443355833
-153600,0,126441728443355833
-153660,0,126441728443355833
-153720,0,126441728443355833
-153780,0,126441728443355833
-153840,0,126441728443355833
-153900,0,126441728443355833
-153960,0,126441728443355833
-154020,0,126441728443355833
-154080,0,126441728443355833
-154140,0,126441728443355833
-154200,0,126441728443355833
-154260,0,126441728443355833
-154320,0,126441728443355833
-154380,0,126441728443355833
-154440,0,126441728443355833
-154500,0,126441728443355833
-154560,0,126441728443355833
-154620,0,126441728443355833
-154680,0,126441728443355833
-154740,0,126441728443355833
-154800,0,126441728443355833
-154860,0,126441728443355833
-154920,0,126441728443355833
-154980,0,126441728443355833
-155040,0,126441728443355833
-155100,0,126441728443355833
-155160,0,126441728443355833
-155220,0,126441728443355833
-155280,0,126441728443355833
-155340,0,126441728443355833
-155400,0,126441728443355833
-155460,0,126441728443355833
-155520,0,126441728443355833
-155580,0,126441728443355833
-155640,0,126441728443355833
-155700,0,126441728443355833
-155760,0,126441728443355833
-155820,0,126441728443355833
-155880,0,126441728443355833
-155940,0,126441728443355833
-156000,0,126441728443355833
-156060,0,126441728443355833
-156120,0,126441728443355833
-156180,0,126441728443355833
-156240,0,126441728443355833
-156300,0,126441728443355833
-156360,0,126441728443355833
-156420,0,126441728443355833
-156480,0,126441728443355833
-156540,0,126441728443355833
-156600,0,126441728443355833
-156660,0,126441728443355833
-156720,0,126441728443355833
-156780,0,126441728443355833
-156840,0,126441728443355833
-156900,0,126441728443355833
-156960,0,126441728443355833
-157020,0,126441728443355833
-157080,0,126441728443355833
-157140,0,126441728443355833
-157200,0,126441728443355833
-157260,0,126441728443355833
-157320,0,126441728443355833
-157380,0,126441728443355833
-157440,0,126441728443355833
-157500,0,126441728443355833
-157560,0,126441728443355833
-157620,0,126441728443355833
-157680,0,126441728443355833
-157740,0,126441728443355833
-157800,0,126441728443355833
-157860,0,126441728443355833
-157920,0,126441728443355833
-157980,0,126441728443355833
-158040,0,126441728443355833
-158100,0,126441728443355833
-158160,0,126441728443355833
-158220,0,126441728443355833
-158280,0,126441728443355833
-158340,0,126441728443355833
-158400,0,126441728443355833
-158460,0,126441728443355833
-158520,0,126441728443355833
-158580,0,126441728443355833
-158640,0,126441728443355833
-158700,0,126441728443355833
-158760,0,126441728443355833
-158820,0,126441728443355833
-158880,0,126441728443355833
-158940,0,126441728443355833
-159000,0,126441728443355833
-159060,0,126441728443355833
-159120,0,126441728443355833
-159180,0,126441728443355833
-159240,0,126441728443355833
-159300,0,126441728443355833
-159360,0,126441728443355833
-159420,0,126441728443355833
-159480,0,126441728443355833
-159540,0,126441728443355833
-159600,0,126441728443355833
-159660,0,126441728443355833
-159720,0,126441728443355833
-159780,0,126441728443355833
-159840,0,126441728443355833
-159900,0,126441728443355833
-159960,0,126441728443355833
-160020,0,126441728443355833
-160080,0,126441728443355833
-160140,0,126441728443355833
-160200,0,126441728443355833
-160260,0,126441728443355833
-160320,0,126441728443355833
-160380,0,126441728443355833
-160440,0,126441728443355833
-160500,0,126441728443355833
-160560,0,126441728443355833
-160620,0,126441728443355833
-160680,0,126441728443355833
-160740,0,126441728443355833
-160800,0,126441728443355833
-160860,0,126441728443355833
-160920,0,126441728443355833
-160980,0,126441728443355833
-161040,0,126441728443355833
-161100,0,126441728443355833
-161160,0,126441728443355833
-161220,0,126441728443355833
-161280,0,126441728443355833
-161340,0,126441728443355833
-161400,0,126441728443355833
-161460,0,126441728443355833
-161520,0,126441728443355833
-161580,0,126441728443355833
-161640,0,126441728443355833
-161700,0,126441728443355833
-161760,0,126441728443355833
-161820,0,126441728443355833
-161880,0,126441728443355833
-161940,0,126441728443355833
-162000,0,126441728443355833
-162060,0,126441728443355833
-162120,0,126441728443355833
-162180,0,126441728443355833
-162240,0,126441728443355833
-162300,0,126441728443355833
-162360,0,126441728443355833
-162420,0,126441728443355833
-162480,0,126441728443355833
-162540,0,126441728443355833
-162600,0,126441728443355833
-162660,0,126441728443355833
-162720,0,126441728443355833
-162780,0,126441728443355833
-162840,0,126441728443355833
-162900,0,126441728443355833
-162960,0,126441728443355833
-163020,0,126441728443355833
-163080,0,126441728443355833
-163140,0,126441728443355833
-163200,0,126441728443355833
-163260,0,126441728443355833
-163320,0,126441728443355833
-163380,0,126441728443355833
-163440,0,126441728443355833
-163500,0,126441728443355833
-163560,0,126441728443355833
-163620,0,126441728443355833
-163680,0,126441728443355833
-163740,0,126441728443355833
-163800,0,126441728443355833
-163860,0,126441728443355833
-163920,0,126441728443355833
-163980,0,126441728443355833
-164040,0,126441728443355833
-164100,0,126441728443355833
-164160,0,126441728443355833
-164220,0,126441728443355833
-164280,0,126441728443355833
-164340,0,126441728443355833
-164400,0,126441728443355833
-164460,0,126441728443355833
-164520,0,126441728443355833
-164580,17185253158288423,109256475285067410
-164640,0,109256475285067410
-164700,0,109256475285067410
-164760,0,109256475285067410
-164820,0,109256475285067410
-164880,0,109256475285067410
-164940,0,109256475285067410
-165000,0,109256475285067410
-165060,0,109256475285067410
-165120,0,109256475285067410
