tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-145860,0,556981897412899953,53917318139074525498703872,53755816632977241430556672,2458914878443783340,-1135371721955,2.4589148784437835,-11353.71721955,2.4589148784437835,-11353.71721955,0.007376744635331351,0
-145920,0,556981897412899953,53755816632977241430556672,53594798881216639273009152,2466302329348673833,-1131970880641,2.466302329348674,-11319.70880641,4.925217207792457,-22673.42602596,0.014775651623377371,0
-145980,0,556981897412899953,53594798881216639273009152,53434263434776761738461184,2473711974771817919,-1128580226053,2.4737119747718177,-11285.80226053,7.398929182564275,-33959.228286490004,0.022196787547692824,0
-146040,0,556981897412899953,53434263434776761738461184,53274208848981982279892992,2481143881393197116,-1125199727680,2.481143881393197,-11251.9972768,9.880073063957472,-45211.225563290005,0.029640219191872416,0
-146100,0,556981897412899953,53274208848981982279892992,53114633683483974160089088,2488598116093588962,-1121829355100,2.488598116093589,-11218.293551,12.368671180051061,-56429.51911429001,0.03710601354015318,0
-146160,0,556981897412899953,53114633683483974160089088,52955536502248782600077312,2496074745954176519,-1118469077981,2.4960747459541763,-11184.69077981,14.864745926005238,-67614.2098941,0.04459423777801571,0
-146220,0,556981897412899953,52955536502248782600077312,52796915873543879747698688,2503573838258019475,-1115118866085,2.5035738382580193,-11151.18866085,17.36831976426326,-78765.39855495,0.05210495929278978,0
-146280,25625460365237041,531356437047662912,52796915873543879747698688,52638770369925271185784832,2395565714380204270,-1060628300231,2.3955657143802043,-10606.28300231,19.763885478643463,-89371.68155726,0.05929165643593039,0
-146340,0,531356437047662912,52638770369925271185784832,52481098568224679749746688,2402762841966794997,-1057451341996,2.402762841966795,-10574.51341996,22.166648320610257,-99946.19497722,0.06649994496183077,0
-146400,0,531356437047662912,52481098568224679749746688,52323899049536720755228672,2409981592272843658,-1054283899878,2.409981592272844,-10542.83899878,24.5766299128831,-110489.033976,0.0737298897386493,0
-146460,0,531356437047662912,52323899049536720755228672,52167170399206137355304960,2417222030260614833,-1051125945373,2.4172220302606147,-10511.25945373,26.993851943143714,-121000.29342973001,0.08098155582943113,0
-146520,0,531356437047662912,52167170399206137355304960,52010911206815053077544960,2424484221087803557,-1047977450063,2.4244842210878037,-10479.77450063,29.41833616423152,-131480.06793036,0.08825500849269456,0
-146580,0,531356437047662912,52010911206815053077544960,51855120066170301670490112,2431768230107517776,-1044838385615,2.431768230107518,-10448.38385615,31.850104394339038,-141928.45178651,0.09555031318301711,0
-146640,0,531356437047662912,51855120066170301670490112,51699795575290765540065280,2439074122869317452,-1041708723778,2.4390741228693176,-10417.08723778,34.289178517208356,-152345.53902429002,0.10286753555162508,0
-146700,0,531356437047662912,51699795575290765540065280,51544936336394757135663104,2446401965119728478,-1038588436390,2.4464019651197284,-10385.8843639,36.73558048232808,-162731.42338819,0.11020674144698425,0
-146760,0,531356437047662912,51544936336394757135663104,51390540955887451875835904,2453751822802616335,-1035477495370,2.4537518228026163,-10354.7749537,39.1893323051307,-173086.19834189,0.1175679969153921,0
-146820,0,531356437047662912,51390540955887451875835904,51236608044348312484052992,2461123762060514764,-1032375872722,2.461123762060515,-10323.75872722,41.650456067191215,-183409.95706911,0.12495136820157364,0
-146880,0,531356437047662912,51236608044348312484052992,51083136216518633583542272,2468517849233906814,-1029283540536,2.4685178492339066,-10292.83540536,44.11897391642512,-193702.79247447,0.13235692174927535,0
-146940,0,531356437047662912,51083136216518633583542272,50930124091289034752524288,2475934150863238356,-1026200470981,2.4759341508632384,-10262.00470981,46.59490806728836,-203964.79718428,0.13978472420186508,0
-147000,0,531356437047662912,50930124091289034752524288,50777570291687056658661376,2483372733688467250,-1023126636315,2.4833727336884674,-10231.26636315,49.07828080097683,-214196.06354743,0.1472348424029305,0
-147060,0,531356437047662912,50777570291687056658661376,50625473444864765783441408,2490833664650119843,-1020062008874,2.4908336646501197,-10200.62008874,51.569114465626946,-224396.68363617,0.15470734339688083,0
-147120,0,531356437047662912,50625473444864765783441408,50473832182086376326430720,2498317010890224974,-1017006561081,2.498317010890225,-10170.06561081,54.06743147651717,-234566.74924698,0.16220229442955153,0
-147180,0,531356437047662912,50473832182086376326430720,50322645138715966598807552,2505822839751976676,-1013960265438,2.5058228397519766,-10139.60265438,56.57325431626915,-244706.35190136,0.16971976294880745,0
-147240,0,531356437047662912,50322645138715966598807552,50171910954205195416895488,2513351218780937134,-1010923094532,2.513351218780937,-10109.23094532,59.08660553505009,-254815.58284668002,0.17725981660515025,0
-147300,1648374688011362,529708062359651550,50171910954205195416895488,50021628272081018495696896,2513081869319165571,-1004768327675,2.5130818693191657,-10047.68327675,61.599687404369256,-264863.26612343,0.18479906221310777,0
-147360,0,529708062359651550,50021628272081018495696896,49871795739933525101510656,2520632057043335215,-1001758689886,2.5206320570433354,-10017.58689886,64.12031946141259,-274880.85302229,0.19236095838423778,0
-147420,0,529708062359651550,49871795739933525101510656,49722412009403766114615296,2528204928204424213,-998758067029,2.528204928204424,-9987.58067029,66.64852438961702,-284868.43369258,0.19994557316885106,0
-147480,0,529708062359651550,49722412009403766114615296,49573475736171573502017536,2535800550952060287,-995766432103,2.5358005509520605,-9957.66432103,69.18432494056908,-294826.09801361,0.20755297482170726,0
-147540,0,529708062359651550,49573475736171573502017536,49424985579943525819088896,2543418993639546311,-992783758186,2.543418993639546,-9927.83758186,71.72774393420863,-304753.93559547,0.2151832318026259,0
-147600,0,529708062359651550,49424985579943525819088896,49276940204440844991725568,2551060324826250544,-989810018436,2.5510603248262504,-9898.10018436,74.27880425903489,-314652.03577983,0.22283641277710464,0
-147660,0,529708062359651550,49276940204440844991725568,49129338277387361817985024,2558724613277682719,-986845186092,2.5587246132776826,-9868.45186092,76.83752887231256,-324520.48764075,0.2305125866169377,0
-147720,0,529708062359651550,49129338277387361817985024,48982178470497593138872320,2566411927964795472,-983889234473,2.5664119279647957,-9838.89234473,79.40394080027735,-334359.37998548,0.23821182240083205,0
-147780,0,529708062359651550,48982178470497593138872320,48835459459464698750042112,2574122338067311438,-980942136978,2.5741223380673115,-9809.42136978,81.97806313834467,-344168.80135525996,0.245934189415034,0
-147840,0,529708062359651550,48835459459464698750042112,48689179923948627292061696,2581855912971690688,-978003867087,2.5818559129716907,-9780.03867087,84.55991905131636,-353948.84002612997,0.2536797571539491,0
-147900,0,529708062359651550,48689179923948627292061696,48543338547564210601066496,2589612722273268665,-975074398357,2.5896127222732686,-9750.74398357,87.14953177358963,-363699.5840097,0.26144859532076886,0
-147960,0,529708062359651550,48543338547564210601066496,48397934017869326778892288,2597392835776304005,-972153704425,2.597392835776304,-9721.53704425,89.74692460936593,-373421.12105395,0.2692407738280978,0
