tick,liquidity_net,liquidity
-145920,0,556981897412899953
-145860,0,556981897412899953
-145800,0,556981897412899953
-145740,0,556981897412899953
-145680,0,556981897412899953
-145620,0,556981897412899953
-145560,0,556981897412899953
-145500,0,556981897412899953
-145440,1172005345910593,558153902758810546
-145380,23045435687371833,581199338446182379
-145320,0,581199338446182379
-145260,7828808861740588,589028147307922967
-145200,0,589028147307922967
-145140,0,589028147307922967
-145080,-383695784559469958,205332362748453009
-145020,0,205332362748453009
-144960,0,205332362748453009
-144900,0,205332362748453009
-144840,0,205332362748453009
-144780,0,205332362748453009
-144720,0,205332362748453009
-144660,0,205332362748453009
-144600,0,205332362748453009
-144540,0,205332362748453009
-144480,0,205332362748453009
-144420,0,205332362748453009
-144360,0,205332362748453009
-144300,0,205332362748453009
-144240,425965711695801,205758328460148810
-144180,0,205758328460148810
-144120,0,205758328460148810
-144060,0,205758328460148810
-144000,0,205758328460148810
-143940,0,205758328460148810
-143880,0,205758328460148810
-143820,0,205758328460148810
-143760,0,205758328460148810
-143700,0,205758328460148810
-143640,0,205758328460148810
-143580,0,205758328460148810
-143520,0,205758328460148810
-143460,0,205758328460148810
-143400,0,205758328460148810
-143340,0,205758328460148810
-143280,0,205758328460148810
-143220,0,205758328460148810
-143160,0,205758328460148810
-143100,0,205758328460148810
-143040,0,205758328460148810
-142980,0,205758328460148810
-142920,0,205758328460148810
-142860,0,205758328460148810
-142800,0,205758328460148810
-142740,247962538462661,206006290998611471
-142680,0,206006290998611471
-142620,0,206006290998611471
-142560,0,206006290998611471
-142500,0,206006290998611471
-142440,0,206006290998611471
-142380,0,206006290998611471
-142320,0,206006290998611471
-142260,0,206006290998611471
-142200,0,206006290998611471
-142140,0,206006290998611471
-142080,0,206006290998611471
-142020,0,206006290998611471
-141960,0,206006290998611471
-141900,0,206006290998611471
-141840,0,206006290998611471
-141780,0,206006290998611471
-141720,0,206006290998611471
-141660,0,206006290998611471
-141600,0,206006290998611471
-141540,0,206006290998611471
-141480,0,206006290998611471
-141420,0,206006290998611471
-141360,0,206006290998611471
-141300,7791153108942194,213797444107553665
-141240,0,213797444107553665
-141180,58947000534390933,272744444641944598
-141120,0,272744444641944598
-141060,0,272744444641944598
-141000,-42810713523525464,229933731118419134
-140940,0,229933731118419134
-140880,0,229933731118419134
-140820,-23045435687371833,206888295431047301
-140760,0,206888295431047301
-140700,0,206888295431047301
-140640,0,206888295431047301
-140580,0,206888295431047301
-140520,0,206888295431047301
-140460,0,206888295431047301
-140400,0,206888295431047301
-140340,0,206888295431047301
-140280,0,206888295431047301
-140220,0,206888295431047301
-140160,0,206888295431047301
-140100,0,206888295431047301
-140040,0,206888295431047301
-139980,0,206888295431047301
-139920,0,206888295431047301
-139860,0,206888295431047301
-139800,0,206888295431047301
-139740,0,206888295431047301
