tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-145920,0,556981897412899953,53755816632977241430556672,53917318139074525498703872,-2458914878443783340,1135371721954,-2.458914878443783,11353.71721954,-2.458914878443783,11353.71721954,0,34.06115165862
-145860,0,556981897412899953,53917318139074525498703872,54079304852877784666603520,-2451549555576366131,1138782780599,-2.4515495555763662,11387.82780599,-4.910464434020149,22741.545025530002,0,68.22463507659
-145800,0,556981897412899953,54079304852877784666603520,54241778232122764855083008,-2444206294465351028,1142204087273,-2.444206294465351,11422.04087273,-7.3546707284855,34163.585898260004,0,102.49075769478
-145740,0,556981897412899953,54241778232122764855083008,54404739738924772956831744,-2436885029028045094,1145635672763,-2.4368850290280455,11456.35672763,-9.791555757513546,45619.942625890006,0,136.85982787767003
-145680,0,556981897412899953,54404739738924772956831744,54568190839791810846392320,-2429585693379342300,1149077567951,-2.4295856933793423,11490.77567951,-12.221141450892889,57110.718305400005,0,171.3321549162
-145620,0,556981897412899953,54568190839791810846392320,54732133005637795289497600,-2422308221831826356,1152529803811,-2.4223082218318264,11525.29803811,-14.643449672724715,68636.01634351001,0,205.90804903053004
-145560,0,556981897412899953,54732133005637795289497600,54896567711795795032276992,-2415052548894838455,1155992411409,-2.4150525488948382,11559.92411409,-17.058502221619555,80195.94045760001,0,240.58782137280002
-145500,0,556981897412899953,54896567711795795032276992,55061496438031302250201088,-2407818609273809133,1159465421907,-2.407818609273809,11594.65421907,-19.466320830893366,91790.59467667,0,275.37178403001
-145440,1172005345910593,558153902758810546,55061496438031302250201088,55226920668555529766830080,-2405657711126801760,1165395951993,-2.405657711126802,11653.95951993,-21.87197854202017,103444.5541966,0,310.3336625898
-145380,23045435687371833,581199338446182379,55226920668555529766830080,55392841892038819941711872,-2497480816455812773,1217159432484,-2.4974808164558127,12171.59432484,-24.369459358475982,115616.14852144,0,346.84844556432
-145320,0,581199338446182379,55392841892038819941711872,55559261601623967658934272,-2489999974914807628,1220816210370,-2.4899999749148076,12208.1621037,-26.859459333390788,127824.31062514,0,383.47293187542004
-145260,7828808861740588,589028147307922967,55559261601623967658934272,55726181294939732294238208,-2515981605395142142,1240977886938,-2.515981605395142,12409.77886938,-29.37544093878593,140234.08949452,0,420.70226848356003
-145200,0,589028147307922967,55726181294939732294238208,55893602474114255192850432,-2508445347424344412,1244706223895,-2.5084453474243444,12447.06223895,-31.883886286210274,152681.15173347,0,458.04345520041
-145140,0,589028147307922967,55893602474114255192850432,56061526645788623176204288,-2500931663221353044,1248445762095,-2.500931663221353,12484.45762095,-34.38481794943163,165165.60935442,0,495.49682806326
-145080,-383695784559469958,205332362748453009,56061526645788623176204288,56229955321130389098987520,-869201291198819330,436509654711,-0.8692012911988193,4365.09654711,-35.25401924063045,169530.70590153002,0,508.59211770459007
-145020,0,205332362748453009,56229955321130389098987520,56398890015847204075339776,-866597724803562954,437821084265,-0.866597724803563,4378.21084265,-36.12061696543401,173908.91674418002,0,521.7267502325401
