tick,liquidity_net,liquidity
-130200,-30951836007264350575519,700884493623558616951662
-130000,-14483338629316096417123,686401154994242520534539
-129800,-8903299971172513080860,677497855023070007453679
-129600,0,677497855023070007453679
-129400,-5442506218153697352264,672055348804916310101415
-129200,-4522931280968340797933,667532417523947969303482
-129000,-26232734508920766006136,641299683015027203297346
-128800,0,641299683015027203297346
-128600,-2395802748076393724104,638903880266950809573242
-128400,-9586409768951212422714,629317470497999597150528
-128200,0,629317470497999597150528
-128000,-1424668089191525136,629316045829910405625392
-127800,0,629316045829910405625392
-127600,0,629316045829910405625392
-127400,0,629316045829910405625392
-127200,-17134938777490960877100,612181107052419444748292
-127000,-25006131009850663606709,587174976042568781141583
-126800,0,587174976042568781141583
-126600,0,587174976042568781141583
-126400,-23541016161485914520893,563633959881082866620690
-126200,0,563633959881082866620690
-126000,-114020669480112980604010,449613290400969886016680
-125800,0,449613290400969886016680
-125600,0,449613290400969886016680
-125400,-438412124682749788614,449174878276287136228066
-125200,-49603575653428430768106,399571302622858705459960
-125000,-335574969334194413049628,63996333288664292410332
-124800,0,63996333288664292410332
-124600,0,63996333288664292410332
-124400,0,63996333288664292410332
-124200,-1525173763361980194506,62471159525302312215826
-124000,0,62471159525302312215826
-123800,-1226351532689328537068,61244807992612983678758
-123600,0,61244807992612983678758
-123400,0,61244807992612983678758
-123200,0,61244807992612983678758
-123000,0,61244807992612983678758
-122800,0,61244807992612983678758
-122600,0,61244807992612983678758
-122400,0,61244807992612983678758
-122200,0,61244807992612983678758
-122000,0,61244807992612983678758
-121800,0,61244807992612983678758
-121600,0,61244807992612983678758
-121400,-5986837737627212387338,55257970254985771291420
-121200,0,55257970254985771291420
-121000,0,55257970254985771291420
-120800,0,55257970254985771291420
-120600,0,55257970254985771291420
-120400,0,55257970254985771291420
-120200,0,55257970254985771291420
-120000,0,55257970254985771291420
-119800,0,55257970254985771291420
-119600,-1328036724410469528462,53929933530575301762958
-119400,0,53929933530575301762958
-119200,0,53929933530575301762958
-119000,0,53929933530575301762958
-118800,0,53929933530575301762958
-118600,0,53929933530575301762958
-118400,0,53929933530575301762958
-118200,0,53929933530575301762958
-118000,0,53929933530575301762958
-117800,0,53929933530575301762958
-117600,0,53929933530575301762958
-117400,0,53929933530575301762958
-117200,0,53929933530575301762958
-117000,0,53929933530575301762958
-116800,0,53929933530575301762958
-116600,0,53929933530575301762958
-116400,0,53929933530575301762958
-116200,0,53929933530575301762958
-116000,0,53929933530575301762958
-115800,0,53929933530575301762958
-115600,0,53929933530575301762958
-115400,0,53929933530575301762958
-115200,-82983414328674508070,53846950116246627254888
-115000,0,53846950116246627254888
-114800,0,53846950116246627254888
-114600,0,53846950116246627254888
-114400,0,53846950116246627254888
-114200,0,53846950116246627254888
-114000,0,53846950116246627254888
-113800,0,53846950116246627254888
-113600,0,53846950116246627254888
-113400,0,53846950116246627254888
-113200,0,53846950116246627254888
-113000,0,53846950116246627254888
-112800,0,53846950116246627254888
-112600,0,53846950116246627254888
-112400,0,53846950116246627254888
-112200,-25196484974868074256,53821753631271759180632
-112000,0,53821753631271759180632
-111800,0,53821753631271759180632
-111600,0,53821753631271759180632
-111400,0,53821753631271759180632
-111200,0,53821753631271759180632
-111000,0,53821753631271759180632
-110800,0,53821753631271759180632
-110600,0,53821753631271759180632
-110400,0,53821753631271759180632
-110200,0,53821753631271759180632
-110000,0,53821753631271759180632
-109800,0,53821753631271759180632
-109600,0,53821753631271759180632
-109400,0,53821753631271759180632
