tick,liquidity_net,liquidity
-129200,0,986335512546758632180407
-129400,-13763756460995621539211,1000099269007754253719618
-129600,-1004644647216956583683,1001103913654971210303301
-129800,1823327705689749370879,999280585949281460932422
-130000,-999548913298638833286,1000280134862580099765708
-130200,-434183400018668972681,1000714318262598768738389
-130400,-1012058905645380752625,1001726377168244149491014
-130600,-797408479085527305907,1002523785647329676796921
-130800,43129337020406524639178,959394448626923152157743
-131000,87098307708632170621541,872296140918290981536202
-131200,119547288436311863237899,752748852481979118298303
-131400,-255632795697870787474,753004485277676989085777
-131600,0,753004485277676989085777
-131800,3225379849615731632851,749779105428061257452926
-132000,-1032690185516042003037,750811795613577299455963
-132200,-9095438268651822951838,759907233882229122407801
-132400,0,759907233882229122407801
-132600,23121561865336928232177,736785672016892194175624
-132800,8707078788814944603921,728078593228077249571703
-133000,-76033984105993737297711,804112577334070986869414
-133200,31291267378691363449970,772821309955379623419444
-133400,14294252078683399215368,758527057876696224204076
-133600,439570840314044737333,758087487036382179466743
-133800,8081830831442194551528,750005656204939984915215
-134000,493331035488651292927,749512325169451333622288
-134200,112256122972286220980480,637256202197165112641808
-134400,11214608291106187941673,626041593906058924700135
-134600,-610208893982124252991,626651802800041048953126
-134800,24116353312758176644453,602535449487282872308673
-135000,-120268882477271537229,602655718369760143845902
-135200,-499720276566122849096,603155438646326266694998
-135400,15726827668610288780611,587428610977715977914387
-135600,177194738187061851803548,410233872790654126110839
-135800,-209467037701364138289,410443339828355490249128
-136000,0,410443339828355490249128
-136200,585864870826201762722,409857474957529288486406
-136400,46798587673396583005849,363058887284132705480557
-136600,1803214094289094948466,361255673189843610532091
-136800,-36884246296790430255982,398139919486634040788073
-137000,0,398139919486634040788073
-137200,0,398139919486634040788073
-137400,0,398139919486634040788073
-137600,1099324586326861775564,397040594900307179012509
-137800,7455975635550625455219,389584619264756553557290
-138000,2549748354556850210834,387034870910199703346456
-138200,112956402312871805943171,274078468597327897403285
-138400,0,274078468597327897403285
-138600,1003106972427672891449,273075361624900224511836
-138800,-105320096408419163508812,378395458033319388020648
-139000,12022716886793452786996,366372741146525935233652
-139200,16977609274747759204182,349395131871778176029470
-139400,265404601126968479494,349129727270651207549976
-139600,2982065093988864592188,346147662176662342957788
-139800,983622745975484749452,345164039430686858208336
-140000,5986837737627212387338,339177201693059645820998
-140200,595766919046860874388,338581434774012784946610
-140400,0,338581434774012784946610
-140600,0,338581434774012784946610
-140800,164400631253241275005,338417034142759543671605
-141000,0,338417034142759543671605
-141200,-2504255164175962146361,340921289306935505817966
-141400,134269129824727804866,340787020177110778013100
-141600,74819466690567283217,340712200710420210729883
-141800,178925828265409153211,340533274882154801576672
-142000,496724125985062990671,340036550756169738586001
-142200,383429063439696056579,339653121692730042529422
-142400,0,339653121692730042529422
-142600,0,339653121692730042529422
-142800,6161459272276377435638,333491662420453665093784
-143000,0,333491662420453665093784
-143200,28175462882784954475,333463486957570880139309
-143400,0,333463486957570880139309
-143600,-58705766314122927170,333522192723885003066479
-143800,470312408682950594158,333051880315202052472321
-144000,0,333051880315202052472321
-144200,2699497455960839620139,330352382859241212852182
-144400,797408479085527305907,329554974380155685546275
-144600,0,329554974380155685546275
-144800,0,329554974380155685546275
-145000,0,329554974380155685546275
-145200,0,329554974380155685546275
-145400,0,329554974380155685546275
-145600,634147084837019300702,328920827295318666245573
-145800,0,328920827295318666245573
-146000,0,328920827295318666245573
-146200,-47424479094436706321977,376345306389755372567550
-146400,-1855325057544499580128,378200631447299872147678
-146600,-7138773844546450134167,385339405291846322281845
-146800,0,385339405291846322281845
-147000,0,385339405291846322281845
-147200,0,385339405291846322281845
-147400,0,385339405291846322281845
-147600,22728619470555028282305,362610785821291293999540
-147800,0,362610785821291293999540
-148000,0,362610785821291293999540
-148200,0,362610785821291293999540
-148400,0,362610785821291293999540
-148600,309996022213221018059,362300789799078072981481
-148800,0,362300789799078072981481
-149000,0,362300789799078072981481
-149200,1000929103309773165163,361299860695768299816318
-149400,0,361299860695768299816318
-149600,0,361299860695768299816318
-149800,0,361299860695768299816318
-150000,0,361299860695768299816318
-150200,0,361299860695768299816318
-150400,7138773844546450134167,354161086851221849682151
-150600,0,354161086851221849682151
-150800,2510197681025431489607,351650889170196418192544
-151000,0,351650889170196418192544
-151200,0,351650889170196418192544
-151400,0,351650889170196418192544
-151600,0,351650889170196418192544
-151800,0,351650889170196418192544
-152000,33848827251338973352438,317802061918857444840106
-152200,2624524046653233683590,315177537872204211156516
-152400,0,315177537872204211156516
-152600,0,315177537872204211156516
-152800,139074218012559618360351,176103319859644592796165
-153000,1004644647216956583683,175098675212427636212482
-153200,0,175098675212427636212482
-153400,0,175098675212427636212482
-153600,0,175098675212427636212482
-153800,0,175098675212427636212482
-154000,23065878460847505403,175075609333966788707079
-154200,0,175075609333966788707079
-154400,0,175075609333966788707079
-154600,0,175075609333966788707079
-154800,0,175075609333966788707079
-155000,0,175075609333966788707079
-155200,0,175075609333966788707079
-155400,0,175075609333966788707079
