tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-129200,0,986335512546758632180407,124015936854478151273676800,122782019051925320526462976,6332543980326113657649222,-15361418334072760744,6332543.980326113,-15.361418334072761,6332543.980326113,-15.361418334072761,63325.43980326113,0
-129400,-13763756460995621539211,1000099269007754253719618,122782019051925320526462976,121560378325868234338729984,6485439050886299087977147,-15420804400200831376,6485439.050886299,-15.420804400200831,12817983.031212412,-30.782222734273592,128179.83031212412,0
-129600,-1004644647216956583683,1001103913654971210303301,121560378325868234338729984,120350892523431765668265984,6557195909463120370061678,-15282709227432535445,6557195.909463121,-15.282709227432536,19375178.940675534,-46.06493196170613,193751.78940675533,0
-129800,1823327705689749370879,999280585949281460932422,120350892523431765668265984,119153440707121733722701824,6611030758969425238708334,-15103093580302136226,6611030.758969425,-15.103093580302136,25986209.69964496,-61.168025542008266,259862.0969964496,0
-130000,-999548913298638833286,1000280134862580099765708,119153440707121733722701824,117967903142732200199323648,6684148646604603953804271,-14967779602091767183,6684148.646604604,-14.967779602091767,32670358.346249565,-76.13580514410003,326703.58346249565,0
-130200,-434183400018668972681,1000714318262598768738389,117967903142732200199323648,116794161287373316666949632,6754252572924795284189724,-14825287414563855887,6754252.572924796,-14.825287414563856,39424610.91917436,-90.96109255866389,394246.1091917436,0
-130400,-1012058905645380752625,1001726377168244149491014,116794161287373316666949632,115632097777617919203606528,6829029998512946913738683,-14692624853657413587,6829029.998512947,-14.692624853657414,46253640.917687304,-105.6537174123213,462536.40917687304,0
-130600,-797408479085527305907,1002523785647329676796921,115632097777617919203606528,114481596417766423613407232,6903150215400229544537411,-14558017528969722019,6903150.215400229,-14.558017528969723,53156791.13308753,-120.21173494129103,531567.9113308754,0
-130800,43129337020406524639178,959394448626923152157743,114481596417766423613407232,113342542168228234516234240,6672561224683472016324875,-13793104484722779802,6672561.224683472,-13.79310448472278,59829352.357771,-134.0048394260138,598293.5235777099,0
-131000,87098307708632170621541,872296140918290981536202,113342542168228234516234240,112214821134018878036246528,6127764200125011830397573,-12416124203260398442,6127764.200125012,-12.416124203260399,65957116.55789601,-146.4209636292742,659571.1655789601,0
-131200,119547288436311863237899,752748852481979118298303,112214821134018878036246528,111098320553371535239282688,5341102637963147435079078,-10607901334660336051,5341102.637963148,-10.607901334660337,71298219.19585916,-157.02886496393455,712982.1919585917,0
-131400,-255632795697870787474,753004485277676989085777,111098320553371535239282688,109992928786461876807532544,5396610976476077359893250,-10505922793831413383,5396610.976476077,-10.505922793831413,76694830.17233524,-167.53478775776597,766948.3017233524,0
-131600,0,753004485277676989085777,109992928786461876807532544,108898535304245150979457024,5450845093236319041642327,-10401392315762481632,5450845.093236319,-10.401392315762482,82145675.26557155,-177.93618007352845,821456.7526557154,0
-131800,3225379849615731632851,749779105428061257452926,108898535304245150979457024,107815030677404236264767488,5482041742918702782450434,-10253792389716002930,5482041.742918703,-10.253792389716002,87627717.00849025,-188.18997246324446,876277.1700849024,0
-132000,-1032690185516042003037,750811795613577299455963,107815030677404236264767488,106742306565407765581266944,5544760848680755039006441,-10165752822817803216,5544760.848680755,-10.165752822817803,93172477.857171,-198.35572528606227,931724.77857171,0
-132200,-9095438268651822951838,759907233882229122407801,106742306565407765581266944,105680255705677050503233536,5668328859688502009504308,-10186530968895143837,5668328.859688502,-10.186530968895143,98840806.7168595,-208.5422562549574,988408.067168595,0
