tick,liquidity_net,liquidity
-49000,1047874784089729092,111367610932453467222
-48800,250218726423715296,111617829658877182518
-48600,3747662675474361540,115365492334351544058
-48400,6428991150213030158,121794483484564574216
-48200,-6350718703765006678,115443764780799567538
-48000,-972576929372309853,114471187851427257685
-47800,-7630667318233350861,106840520533193906824
-47600,627707903882139786,107468228437076046610
-47400,-1316455679135267741,106151772757940778869
-47200,-167710033048618706,105984062724892160163
-47000,-5410616070882198704,100573446654009961459
-46800,48218064465363618,100621664718475325077
-46600,-1465384838072883532,99156279880402441545
-46400,-750710201666442867,98405569678735998678
-46200,-491511705140272119,97914057973595726559
-46000,156155945531186045,98070213919126912604
-45800,0,98070213919126912604
-45600,-2291770683971950431,95778443235154962173
-45400,-3150551589353075002,92627891645801887171
-45200,-1408500036839429596,91219391608962457575
-45000,-1733817139973124101,89485574468989333474
-44800,-7545070936271851895,81940503532717481579
-44600,-1443929812708792771,80496573720008688808
-44400,-37242298561577881,80459331421447110927
-44200,-10149297162791842,80449182124284319085
-44000,-7529268525437266572,72919913598847052513
-43800,-12745041101474256899,60174872497372795614
-43600,-180410779585895116,59994461717786900498
-43400,0,59994461717786900498
-43200,-3682097551203928345,56312364166582972153
-43000,10527137315869237933,66839501482452210086
-42800,404540340397891715,67244041822850101801
-42600,-1102768001899782381,66141273820950319420
-42400,0,66141273820950319420
-42200,-413399303137748181,65727874517812571239
-42000,-29185688987969982,65698688828824601257
-41800,-578436111950645730,65120252716873955527
-41600,0,65120252716873955527
-41400,-366907129206108831,64753345587667846696
-41200,-38350416916262450,64714995170751584246
-41000,-15260075422871698,64699735095328712548
-40800,-88176216788530495,64611558878540182053
-40600,-3000600471413562139,61610958407126619914
-40400,0,61610958407126619914
-40200,-64112858172194018,61546845548954425896
-40000,-232195544746353208,61314650004208072688
-39800,82985473872674967,61397635478080747655
-39600,-229287749222065716,61168347728858681939
-39400,0,61168347728858681939
-39200,-109630311997188928,61058717416861493011
-39000,0,61058717416861493011
-38800,-170899188133425198,60887818228728067813
-38600,0,60887818228728067813
-38400,0,60887818228728067813
-38200,0,60887818228728067813
-38000,-11585150274889446773,49302667953838621040
-37800,0,49302667953838621040
-37600,-14031328156961022,49288636625681660018
-37400,-226834491992734082,49061802133688925936
-37200,-251099504409269600,48810702629279656336
-37000,0,48810702629279656336
-36800,-2000860823507219828,46809841805772436508
-36600,-489097049574046634,46320744756198389874
-36400,0,46320744756198389874
-36200,-32256792185899191,46288487964012490683
-36000,0,46288487964012490683
-35800,0,46288487964012490683
-35600,0,46288487964012490683
-35400,-62531485915567607,46225956478096923076
-35200,22018656034583673,46247975134131506749
-35000,0,46247975134131506749
-34800,0,46247975134131506749
-34600,-219758942131550158,46028216191999956591
-34400,0,46028216191999956591
-34200,0,46028216191999956591
-34000,0,46028216191999956591
-33800,0,46028216191999956591
-33600,0,46028216191999956591
-33400,558529317503970,46028774721317460561
-33200,0,46028774721317460561
-33000,-710802280434954811,45317972440882505750
-32800,-9769972851647077,45308202468030858673
-32600,0,45308202468030858673
-32400,0,45308202468030858673
-32200,0,45308202468030858673
-32000,0,45308202468030858673
-31800,0,45308202468030858673
-31600,0,45308202468030858673
-31400,0,45308202468030858673
-31200,0,45308202468030858673
-31000,-52280095610011375,45255922372420847298
-30800,0,45255922372420847298
-30600,0,45255922372420847298
-30400,0,45255922372420847298
-30200,0,45255922372420847298
-30000,-15918536557631,45255906453884289667
-29800,0,45255906453884289667
-29600,0,45255906453884289667
-29400,45696562892543836,45301603016776833503
-29200,-163964863297455521,45137638153479377982
-29000,-848922317122922164,44288715836356455818
-28800,0,44288715836356455818
-28600,0,44288715836356455818
-28400,0,44288715836356455818
-28200,0,44288715836356455818
-28000,0,44288715836356455818
-27800,-197869054292464953,44090846782063990865
-27600,0,44090846782063990865
-27400,0,44090846782063990865
-27200,0,44090846782063990865
-27000,0,44090846782063990865
-26800,0,44090846782063990865
-26600,0,44090846782063990865
-26400,0,44090846782063990865
-26200,0,44090846782063990865
-26000,0,44090846782063990865
-25800,0,44090846782063990865
-25600,0,44090846782063990865
-25400,0,44090846782063990865
-25200,0,44090846782063990865
-25000,0,44090846782063990865
-24800,0,44090846782063990865
-24600,0,44090846782063990865
-24400,0,44090846782063990865
-24200,0,44090846782063990865
-24000,-167719726413275729,43923127055650715136
-23800,-22018656034583673,43901108399616131463
-23600,0,43901108399616131463
-23400,0,43901108399616131463
-23200,0,43901108399616131463
-23000,0,43901108399616131463
-22800,0,43901108399616131463
-22600,0,43901108399616131463
-22400,-38433274522383548,43862675125093747915
-22200,-45696562892543836,43816978562201204079
-22000,0,43816978562201204079
-21800,0,43816978562201204079
-21600,0,43816978562201204079
-21400,0,43816978562201204079
-21200,0,43816978562201204079
-21000,0,43816978562201204079
-20800,0,43816978562201204079
-20600,0,43816978562201204079
-20400,0,43816978562201204079
-20200,0,43816978562201204079
-20000,0,43816978562201204079
-19800,0,43816978562201204079
-19600,-558529317503970,43816420032883700109
-19400,0,43816420032883700109
-19200,-12726871722323363,43803693161161376746
-19000,0,43803693161161376746
-18800,0,43803693161161376746
-18600,0,43803693161161376746
-18400,0,43803693161161376746
-18200,0,43803693161161376746
-18000,0,43803693161161376746
-17800,0,43803693161161376746
-17600,0,43803693161161376746
-17400,0,43803693161161376746
-17200,0,43803693161161376746
-17000,0,43803693161161376746
-16800,0,43803693161161376746
-16600,0,43803693161161376746
-16400,0,43803693161161376746
-16200,0,43803693161161376746
-16000,0,43803693161161376746
-15800,0,43803693161161376746
-15600,0,43803693161161376746
-15400,0,43803693161161376746
-15200,0,43803693161161376746
-15000,0,43803693161161376746
-14800,0,43803693161161376746
-14600,0,43803693161161376746
-14400,0,43803693161161376746
-14200,0,43803693161161376746
-14000,0,43803693161161376746
-13800,0,43803693161161376746
-13600,0,43803693161161376746
-13400,0,43803693161161376746
-13200,0,43803693161161376746
-13000,0,43803693161161376746
-12800,0,43803693161161376746
-12600,0,43803693161161376746
-12400,0,43803693161161376746
-12200,0,43803693161161376746
-12000,0,43803693161161376746
-11800,0,43803693161161376746
-11600,0,43803693161161376746
-11400,0,43803693161161376746
-11200,0,43803693161161376746
-11000,0,43803693161161376746
-10800,0,43803693161161376746
-10600,0,43803693161161376746
-10400,0,43803693161161376746
-10200,0,43803693161161376746
-10000,0,43803693161161376746
-9800,0,43803693161161376746
-9600,0,43803693161161376746
-9400,0,43803693161161376746
-9200,0,43803693161161376746
-9000,0,43803693161161376746
-8800,0,43803693161161376746
-8600,-82985473872674967,43720707687288701779
-8400,0,43720707687288701779
-8200,0,43720707687288701779
-8000,0,43720707687288701779
-7800,0,43720707687288701779
-7600,0,43720707687288701779
-7400,0,43720707687288701779
-7200,0,43720707687288701779
-7000,0,43720707687288701779
-6800,0,43720707687288701779
-6600,0,43720707687288701779
-6400,0,43720707687288701779
-6200,0,43720707687288701779
-6000,0,43720707687288701779
-5800,-43380767577171870,43677326919711529909
-5600,0,43677326919711529909
-5400,0,43677326919711529909
-5200,0,43677326919711529909
-5000,0,43677326919711529909
-4800,0,43677326919711529909
-4600,0,43677326919711529909
-4400,0,43677326919711529909
-4200,0,43677326919711529909
-4000,0,43677326919711529909
-3800,0,43677326919711529909
-3600,0,43677326919711529909
-3400,0,43677326919711529909
-3200,0,43677326919711529909
-3000,0,43677326919711529909
-2800,-2858334472262056,43674468585239267853
-2600,0,43674468585239267853
-2400,0,43674468585239267853
-2200,0,43674468585239267853
-2000,0,43674468585239267853
-1800,0,43674468585239267853
-1600,0,43674468585239267853
-1400,0,43674468585239267853
-1200,0,43674468585239267853
-1000,0,43674468585239267853
-800,0,43674468585239267853
-600,0,43674468585239267853
-400,0,43674468585239267853
-200,0,43674468585239267853
0,0,43674468585239267853
200,0,43674468585239267853
400,0,43674468585239267853
600,0,43674468585239267853
800,0,43674468585239267853
1000,0,43674468585239267853
1200,0,43674468585239267853
1400,0,43674468585239267853
1600,0,43674468585239267853
1800,0,43674468585239267853
2000,0,43674468585239267853
2200,0,43674468585239267853
2400,0,43674468585239267853
2600,0,43674468585239267853
2800,0,43674468585239267853
3000,0,43674468585239267853
3200,0,43674468585239267853
3400,0,43674468585239267853
3600,0,43674468585239267853
3800,0,43674468585239267853
4000,0,43674468585239267853
