tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-49000,1047874784089729092,111367610932453467222,6837719808656735952701489152,6906436582219496782129266688,-12839139514865996750,96592204839954839,-12.839139514865996,96592204.83995484,-12.839139514865996,96592204.83995484,0,965922.0483995484
-48800,250218726423715296,111617829658877182518,6906436582219496782129266688,6975843936136677104698785792,-12739954027386500155,97782126465528440,-12.7399540273865,97782126.46552844,-25.579093542252494,194374331.30548328,0,1943743.3130548329
-48600,3747662675474361540,115365492334351544058,6975843936136677104698785792,7045948810507485520198631424,-13036694345051086986,102080915297891196,-13.036694345051087,102080915.2978912,-38.61578788730358,296455246.6033745,0,2964552.4660337446
-48400,6428991150213030158,121794483484564574216,7045948810507485520198631424,7116758215176782666132357120,-13626253046723864150,108852642720242944,-13.626253046723864,108852642.72024295,-52.24204093402744,405307889.32361746,0,4053078.8932361747
-48200,-6350718703765006678,115443764780799567538,7116758215176782666132357120,7188279230436004487262896128,-12787233197474985546,104213640711193345,-12.787233197474986,104213640.71119334,-65.02927413150243,509521530.0348108,0,5095215.300348108
-48000,-972576929372309853,114471187851427257685,7188279230436004487262896128,7260519007731122379574738944,-12553347927932991578,104374162604186126,-12.553347927932991,104374162.60418613,-77.58262205943542,613895692.638997,0,6138956.92638997
-47800,-7630667318233350861,106840520533193906824,7260519007731122379574738944,7333484770377718273979449344,-11599964068937676358,98395568127182478,-11.599964068937677,98395568.12718248,-89.1825861283731,712291260.7661794,0,7122912.607661794
-47600,627707903882139786,107468228437076046610,7333484770377718273979449344,7407183814283262620694740992,-11552022094015267264,99968312209804882,-11.552022094015268,99968312.20980488,-100.73460822238837,812259572.9759843,0,8122595.729759844
-47400,-1316455679135267741,106151772757940778869,7407183814283262620694740992,7481623508676626060622692352,-11296982207101374059,99736069506751531,-11.296982207101374,99736069.50675154,-112.03159042948975,911995642.4827359,0,9119956.42482736
-47200,-167710033048618706,105984062724892160163,7481623508676626060622692352,7556811296844939132936388608,-11166910339212982663,100579225927923056,-11.166910339212983,100579225.92792305,-123.19850076870273,1012574868.410659,0,10125748.68410659
-47000,-5410616070882198704,100573446654009961459,7556811296844939132936388608,7632754696877854994456379392,-10491390969837367528,96403718697369342,-10.491390969837367,96403718.69736934,-133.6898917385401,1108978587.1080284,0,11089785.871080283
-46800,48218064465363618,100621664718475325077,7632754696877854994456379392,7709461302419285519561129984,-10391984934627330716,97419226945879793,-10.391984934627331,97419226.94587979,-144.08187667316741,1206397814.053908,0,12063978.140539082
-46600,-1465384838072883532,99156279880402441545,7709461302419285519561129984,7786938783426698741561688064,-10138752167851308106,96965252599623080,-10.138752167851308,96965252.59962308,-154.2206288410187,1303363066.653531,0,13033630.66653531
-46400,-750710201666442867,98405569678735998678,7786938783426698741561688064,7865194886938044705749860352,-9961878367600139280,97198220967016165,-9.96187836760014,97198220.96701616,-164.18250720861886,1400561287.6205473,0,14005612.876205472
-46200,-491511705140272119,97914057973595726559,7865194886938044705749860352,7944237437846383401398960128,-9813498878745291965,97684670026602718,-9.813498878745293,97684670.02660272,-173.99600608736415,1498245957.64715,0,14982459.5764715
-46000,156155945531186045,98070213919126912604,7944237437846383401398960128,8024074339682310430228742144,-9731352899585308474,98823723701531572,-9.731352899585309,98823723.70153157,-183.72735898694947,1597069681.3486817,0,15970696.813486816
-45800,0,98070213919126912604,8024074339682310430228742144,8104713575404229889357774848,-9634529137331083581,99816868731490779,-9.634529137331084,99816868.73149078,-193.36188812428054,1696886550.0801725,0,16968865.500801723
-45600,-2291770683971950431,95778443235154962173,8104713575404229889357774848,8186163208196583320394399744,-9315762716454644625,98463965127578416,-9.315762716454644,98463965.12757842,-202.6776508407352,1795350515.207751,0,17953505.15207751
-45400,-3150551589353075002,92627891645801887171,8186163208196583320394399744,8268431382276087501224411136,-8919688655294288747,96182055379137530,-8.919688655294289,96182055.37913753,-211.5973394960295,1891532570.5868886,0,18915325.705868885
-45200,-1408500036839429596,91219391608962457575,8268431382276087501224411136,8351526323706089932146606080,-8696657371208770847,95671409792729969,-8.69665737120877,95671409.79272997,-220.29399686723826,1987203980.3796186,0,19872039.803796187
-45000,-1733817139973124101,89485574468989333474,8351526323706089932146606080,8435456341219090394867826688,-8446474817778199667,94796163308608569,-8.4464748177782,94796163.30860856,-228.74047168501647,2082000143.6882272,0,20820001.436882272
-44800,-7545070936271851895,81940503532717481579,8435456341219090394867826688,8520229827047545132590039040,-7657347596630818598,87675668532090914,-7.657347596630818,87675668.53209092,-236.3978192816473,2169675812.2203183,0,21696758.122203182
-44600,-1443929812708792771,80496573720008688808,8520229827047545132590039040,8605855257763011925305720832,-7447566694049991761,86996259627428882,-7.447566694049992,86996259.62742889,-243.84538597569727,2256672071.8477473,0,22566720.718477473
-44400,-37242298561577881,80459331421447110927,8605855257763011925305720832,8692341195123726220255035392,-7370054468609523137,87829888723563304,-7.370054468609523,87829888.7235633,-251.21544044430678,2344501960.5713105,0,23445019.605713107
-44200,-10149297162791842,80449182124284319085,8692341195123726220255035392,8779696286930700676521525248,-7295804426368025157,88701359052692896,-7.295804426368025,88701359.05269289,-258.51124487067483,2433203319.6240034,0,24332033.196240034
