tick,liquidity_net,liquidity
-48400,6428991150213030158,107261987077446873372
-48600,3747662675474361540,103514324401972511832
-48800,250218726423715296,103264105675548796536
-49000,1047874784089729092,102216230891459067444
-49200,-91438903784449467,102307669795243516911
-49400,0,102307669795243516911
-49600,-31370018747742293217,133677688542985810128
-49800,299114943215703192,133378573599770106936
-50000,0,133378573599770106936
-50200,1824503712460898044,131554069887309208892
-50400,0,131554069887309208892
-50600,7001039785441690346,124553030101867518546
-50800,896342144878295484,123656687956989223062
-51000,4235199184562580225,119421488772426642837
-51200,626948897930740007,118794539874495902830
-51400,171920829518067737,118622619044977835093
-51600,1418468838668324297,117204150206309510796
-51800,3065983917292217249,114138166289017293547
-52000,2266688096062676345,111871478192954617202
-52200,7008726386173658953,104862751806780958249
-52400,-56376353996086910274,161239105802867868523
-52600,0,161239105802867868523
-52800,588788713531823806,160650317089336044717
-53000,502693133432513671,160147623955903531046
-53200,353584187121541496,159794039768781989550
-53400,0,159794039768781989550
-53600,229287749222065716,159564752019559923834
-53800,185323223724178820,159379428795835745014
-54000,46872321022174388,159332556474813570626
-54200,289319404890766168,159043237069922804458
-54400,1170001109534387846,157873235960388416612
-54600,1121261911992407951,156751974048396008661
-54800,111732341581648606,156640241706814360055
-55000,133877743910831712,156506363962903528343
-55200,972576929372309853,155533787033531218490
-55400,366907129206108831,155166879904325109659
-55600,715447912447613919,154451431991877495740
-55800,608242431966275204,153843189559911220536
-56000,57885388188076112,153785304171723144424
-56200,0,153785304171723144424
-56400,473281685712400008,153312022486010744416
-56600,20319060433550652,153291703425577193764
-56800,939935753043255869,152351767672533937895
-57000,66085589053341718833,86266178619192219062
-57200,573873378517860417,85692305240674358645
-57400,122045597341323158,85570259643333035487
-57600,3733388850878189878,81836870792454845609
-57800,1174369215020252526,80662501577434593083
-58000,80081040229138385,80582420537205454698
-58200,0,80582420537205454698
-58400,0,80582420537205454698
-58600,0,80582420537205454698
-58800,860129629249030013,79722290907956424685
-59000,4765577793285289,79717525330163139396
-59200,0,79717525330163139396
-59400,0,79717525330163139396
-59600,0,79717525330163139396
-59800,0,79717525330163139396
-60000,8533105569415433638,71184419760747705758
-60200,0,71184419760747705758
-60400,0,71184419760747705758
-60600,0,71184419760747705758
-60800,0,71184419760747705758
-61000,1848919808047069321,69335499952700636437
-61200,0,69335499952700636437
-61400,0,69335499952700636437
-61600,0,69335499952700636437
-61800,0,69335499952700636437
-62000,27101069287669168,69308398883412967269
-62200,30424361849648935014,38884037033764032255
-62400,0,38884037033764032255
-62600,0,38884037033764032255
-62800,0,38884037033764032255
-63000,0,38884037033764032255
-63200,0,38884037033764032255
-63400,61734148277845358,38822302885486186897
-63600,0,38822302885486186897
-63800,0,38822302885486186897
-64000,0,38822302885486186897
-64200,0,38822302885486186897
-64400,0,38822302885486186897
-64600,0,38822302885486186897
-64800,0,38822302885486186897
-65000,63611662611881378,38758691222874305519
-65200,0,38758691222874305519
-65400,0,38758691222874305519
-65600,0,38758691222874305519
-65800,0,38758691222874305519
-66000,0,38758691222874305519
-66200,0,38758691222874305519
-66400,0,38758691222874305519
-66600,0,38758691222874305519
-66800,0,38758691222874305519
-67000,0,38758691222874305519
-67200,0,38758691222874305519
-67400,0,38758691222874305519
-67600,0,38758691222874305519
-67800,0,38758691222874305519
-68000,0,38758691222874305519
-68200,7803870955891157,38750887351918414362
-68400,0,38750887351918414362
-68600,0,38750887351918414362
-68800,0,38750887351918414362
-69000,0,38750887351918414362
-69200,0,38750887351918414362
-69400,0,38750887351918414362
-69600,0,38750887351918414362
-69800,0,38750887351918414362
-70000,0,38750887351918414362
-70200,0,38750887351918414362
-70400,0,38750887351918414362
-70600,0,38750887351918414362
-70800,0,38750887351918414362
-71000,0,38750887351918414362
-71200,0,38750887351918414362
-71400,0,38750887351918414362
-71600,0,38750887351918414362
-71800,0,38750887351918414362
-72000,710802280434954811,38040085071483459551
-72200,0,38040085071483459551
-72400,0,38040085071483459551
-72600,0,38040085071483459551
-72800,0,38040085071483459551
-73000,0,38040085071483459551
-73200,0,38040085071483459551
-73400,0,38040085071483459551
-73600,0,38040085071483459551
-73800,0,38040085071483459551
-74000,0,38040085071483459551
-74200,0,38040085071483459551
-74400,0,38040085071483459551
-74600,0,38040085071483459551
-74800,0,38040085071483459551
-75000,0,38040085071483459551
-75200,0,38040085071483459551
-75400,0,38040085071483459551
-75600,0,38040085071483459551
-75800,0,38040085071483459551
-76000,0,38040085071483459551
-76200,0,38040085071483459551
-76400,0,38040085071483459551
-76600,0,38040085071483459551
-76800,0,38040085071483459551
-77000,0,38040085071483459551
-77200,0,38040085071483459551
-77400,0,38040085071483459551
-77600,0,38040085071483459551
-77800,0,38040085071483459551
-78000,0,38040085071483459551
-78200,0,38040085071483459551
-78400,0,38040085071483459551
-78600,0,38040085071483459551
-78800,0,38040085071483459551
-79000,0,38040085071483459551
-79200,0,38040085071483459551
-79400,0,38040085071483459551
-79600,0,38040085071483459551
-79800,0,38040085071483459551
-80000,0,38040085071483459551
-80200,0,38040085071483459551
-80400,0,38040085071483459551
-80600,0,38040085071483459551
-80800,0,38040085071483459551
-81000,0,38040085071483459551
-81200,0,38040085071483459551
-81400,0,38040085071483459551
-81600,0,38040085071483459551
-81800,0,38040085071483459551
-82000,0,38040085071483459551
-82200,0,38040085071483459551
-82400,0,38040085071483459551
-82600,0,38040085071483459551
-82800,0,38040085071483459551
-83000,0,38040085071483459551
-83200,0,38040085071483459551
-83400,0,38040085071483459551
-83600,0,38040085071483459551
-83800,0,38040085071483459551
-84000,0,38040085071483459551
-84200,0,38040085071483459551
-84400,0,38040085071483459551
-84600,0,38040085071483459551
-84800,0,38040085071483459551
-85000,0,38040085071483459551
-85200,0,38040085071483459551
-85400,0,38040085071483459551
-85600,0,38040085071483459551
-85800,0,38040085071483459551
-86000,0,38040085071483459551
-86200,0,38040085071483459551
