tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-48400,6428991150213030158,107261987077446873372,7045948810507485520198631424,6975843936136677104698785792,12120970595945875986,-94910545571138959,12.120970595945876,-94910545.57113896,12.120970595945876,-94910545.57113896,0.12120970595945876,0
-48600,3747662675474361540,103514324401972511832,6975843936136677104698785792,6906436582219496782129266688,11815027564032358115,-90683099560361345,11.815027564032357,-90683099.56036134,23.935998159978233,-185593645.1315003,0.23935998159978233,0
-48800,250218726423715296,103264105675548796536,6906436582219496782129266688,6837719808656735952701489152,11904917853094402116,-89563810918751570,11.904917853094402,-89563810.91875157,35.840916013072636,-275157456.05025184,0.3584091601307263,0
-49000,1047874784089729092,102216230891459067444,6837719808656735952701489152,6769686744400888987052408832,11902538785338378258,-87772872467881638,11.902538785338379,-87772872.46788163,47.743454798411015,-362930328.51813346,0.4774345479841101,0
-49200,-91438903784449467,102307669795243516911,6769686744400888987052408832,6702330586769115689047293952,12032909858837215133,-86977298412381590,12.032909858837215,-86977298.41238159,59.77636465724823,-449907626.93051505,0.5977636465724823,0
-49400,0,102307669795243516911,6702330586769115689047293952,6635644600763033924814241792,12153836536912524099,-86111902886200522,12.153836536912523,-86111902.88620053,71.93020119416076,-536019529.8167156,0.7193020119416076,0
-49600,-31370018747742293217,133677688542985810128,6635644600763033924814241792,6569622118395280845359284224,16040091931152855631,-111396409492675948,16.040091931152855,-111396409.49267595,87.97029312531362,-647415939.3093915,0.8797029312531361,0
-49800,299114943215703192,133378573599770106936,6569622118395280845359284224,6504256538022775632552787968,16165037702775817347,-110041273152538518,16.165037702775816,-110041273.15253851,104.13533082808944,-757457212.46193,1.0413533082808943,0
-50000,0,133378573599770106936,6504256538022775632552787968,6439541323686616698277855232,16327490869407340246,-108946398659772323,16.32749086940734,-108946398.65977232,120.46282169749678,-866403611.1217023,1.2046282169749678,0
-50200,1824503712460898044,131554069887309208892,6439541323686616698277855232,6375470004458546266531430400,16265986107817698619,-106386953073462186,16.2659861078177,-106386953.07346219,136.7288078053145,-972790564.1951644,1.367288078053145,0
