tick,liquidity_net,liquidity,sqrtPriceX96,sqrtPriceX96Next,dx,dy,dx_float,dy_float,x_float,y_float,fees_x_float,fees_y_float
-286980,0,6408916154384246040,46504997645011373785088,46644715123623952646144,-32704901202018992883025,11302011523,-32704.90120201899,11302.011523,-32704.90120201899,11302.011523,0,33.906034569
-286920,0,6408916154384246040,46644715123623952646144,46784852363011036282880,-32606938414120745212962,11335966767,-32606.938414120745,11335.966767,-65311.83961613974,22637.97829,0,67.91393487
-286860,0,6408916154384246040,46784852363011036282880,46925410624282615087104,-32509269059545216865410,11370024025,-32509.26905954522,11370.024025,-97821.10867568495,34008.002315,0,102.024006945
-286800,0,6408916154384246040,46925410624282615087104,47066391172337494917120,-32411892259354190815226,11404183603,-32411.89225935419,11404.183603,-130233.00093503915,45412.185917999996,0,136.236557754
-286740,0,6408916154384246040,47066391172337494917120,47207795275874697216000,-32314807137246125257010,11438445808,-32314.807137246124,11438.445808,-162547.80807228526,56850.63172599999,0,170.55189517799997
-286680,0,6408916154384246040,47207795275874697216000,47349624207404842352640,-32218012819536581663279,11472810950,-32218.012819536583,11472.81095,-194765.82089182184,68323.44267599999,0,204.97032802799995
-286620,0,6408916154384246040,47349624207404842352640,47491879243261650403328,-32121508435169355581539,11507279336,-32121.508435169355,11507.279336,-226887.3293269912,79830.72201199998,0,239.49216603599996
-286560,0,6408916154384246040,47491879243261650403328,47634561663613374824448,-32025293115685520110026,11541851277,-32025.29311568552,11541.851277,-258912.62244267671,91372.57328899998,0,274.11771986699995
-286500,0,6408916154384246040,47634561663613374824448,47777672752474361954304,-31929365995236346686525,11576527085,-31929.365995236345,11576.527085,-290841.98843791307,102949.10037399997,0,308.8473011219999
-286440,0,6408916154384246040,47777672752474361954304,47921213797716602126336,-31833726210565690073180,11611307071,-31833.726210565692,11611.307071,-322675.7146484788,114560.40744499998,0,343.6812223349999
-286380,0,6408916154384246040,47921213797716602126336,48065186091081280782336,-31738372900994622227898,11646191549,-31738.372900994622,11646.191549,-354414.0875494734,126206.59899399997,0,378.6197969819999
-286320,0,6408916154384246040,48065186091081280782336,48209590928190447026176,-31643305208432043028456,11681180832,-31643.305208432044,11681.180832,-386057.3927579054,137887.77982599998,0,413.6633394779999
-286260,0,6408916154384246040,48209590928190447026176,48354429608558665400320,-31548522277355381764507,11716275235,-31548.522277355383,11716.275235,-417605.9150352608,149604.055061,0,448.812165183
-286200,0,6408916154384246040,48354429608558665400320,48499703435604692828160,-31454023254800830630470,11751475074,-31454.02325480083,11751.475074,-449059.9382900616,161355.53013499998,0,484.0665904049999
-286140,0,6408916154384246040,48499703435604692828160,48645413716663214276608,-31359807290360866536168,11786780666,-31359.807290360866,11786.780666,-480419.74558042246,173142.31080099999,0,519.4269324029999
-286080,0,6408916154384246040,48645413716663214276608,48791561762996620361728,-31265873536177980178139,11822192328,-31265.87353617798,11822.192328,-511685.6191166004,184964.503129,0,554.893509387
-286020,1276557826155426381,7685473980539672421,48791561762996620361728,48938148889806784954368,-37381249616827373985532,14219584466,-37381.24961682737,14219.584466,-549066.8687334278,199184.087595,0,597.5522627849999
-285960,0,7685473980539672421,48938148889806784954368,49085176416246926671872,-37269279505529332805501,14262305132,-37269.27950552933,14262.305132,-586336.1482389572,213446.392727,0,640.339178181
-285900,0,7685473980539672421,49085176416246926671872,49232645665433470369792,-37157644784460918725457,14305154147,-37157.64478446092,14305.154147,-623493.793023418,227751.546874,0,683.254640622
-285840,0,7685473980539672421,49232645665433470369792,49380557964457933799424,-37046344449004989634196,14348131895,-37046.34444900499,14348.131895,-660540.137472423,242099.678769,0,726.2990363069999
-285780,3389494182306138,7688863474721978559,49380557964457933799424,49528914644398898151424,-36951666960964744518344,14397585674,-36951.66696096474,14397.585674,-697491.8044333878,256497.264443,0,769.491793329
-285720,0,7688863474721978559,49528914644398898151424,49677717040333978599424,-36840983602204218130695,14440841119,-36840.983602204215,14440.841119,-734332.7880355921,270938.105562,0,812.814316686
-285660,0,7688863474721978559,49677717040333978599424,49826966491351828398080,-36730631779389786704445,14484226519,-36730.63177938978,14484.226519,-771063.4198149819,285422.33208100003,0,856.266996243
