tick,liquidity_net,liquidity
-286020,1276557826155426381,5132358328228819659
-286080,0,5132358328228819659
-286140,0,5132358328228819659
-286200,0,5132358328228819659
-286260,0,5132358328228819659
-286320,0,5132358328228819659
-286380,0,5132358328228819659
-286440,0,5132358328228819659
-286500,0,5132358328228819659
-286560,0,5132358328228819659
-286620,0,5132358328228819659
-286680,0,5132358328228819659
-286740,0,5132358328228819659
-286800,0,5132358328228819659
-286860,0,5132358328228819659
-286920,0,5132358328228819659
-286980,0,5132358328228819659
-287040,0,5132358328228819659
-287100,0,5132358328228819659
-287160,0,5132358328228819659
-287220,0,5132358328228819659
-287280,0,5132358328228819659
-287340,0,5132358328228819659
-287400,0,5132358328228819659
-287460,0,5132358328228819659
-287520,0,5132358328228819659
-287580,0,5132358328228819659
-287640,0,5132358328228819659
-287700,0,5132358328228819659
-287760,0,5132358328228819659
-287820,0,5132358328228819659
-287880,0,5132358328228819659
-287940,0,5132358328228819659
-288000,53862132018783429,5078496196210036230
-288060,0,5078496196210036230
-288120,0,5078496196210036230
-288180,0,5078496196210036230
-288240,0,5078496196210036230
-288300,0,5078496196210036230
-288360,0,5078496196210036230
-288420,0,5078496196210036230
-288480,0,5078496196210036230
-288540,0,5078496196210036230
-288600,0,5078496196210036230
-288660,0,5078496196210036230
-288720,0,5078496196210036230
-288780,0,5078496196210036230
-288840,0,5078496196210036230
-288900,2260927985146305,5076235268224889925
-288960,0,5076235268224889925
-289020,0,5076235268224889925
-289080,0,5076235268224889925
-289140,11852647399974028,5064382620824915897
-289200,0,5064382620824915897
-289260,0,5064382620824915897
-289320,0,5064382620824915897
-289380,9148514196673144,5055234106628242753
-289440,0,5055234106628242753
-289500,0,5055234106628242753
-289560,0,5055234106628242753
-289620,0,5055234106628242753
-289680,0,5055234106628242753
-289740,0,5055234106628242753
-289800,0,5055234106628242753
-289860,0,5055234106628242753
-289920,0,5055234106628242753
-289980,0,5055234106628242753
-290040,0,5055234106628242753
-290100,0,5055234106628242753
-290160,27479958193705628,5027754148434537125
-290220,0,5027754148434537125
-290280,0,5027754148434537125
-290340,0,5027754148434537125
-290400,0,5027754148434537125
-290460,0,5027754148434537125
-290520,0,5027754148434537125
-290580,0,5027754148434537125
-290640,0,5027754148434537125
-290700,0,5027754148434537125
-290760,0,5027754148434537125
-290820,0,5027754148434537125
-290880,0,5027754148434537125
-290940,0,5027754148434537125
-291000,0,5027754148434537125
-291060,0,5027754148434537125
-291120,0,5027754148434537125
-291180,0,5027754148434537125
-291240,0,5027754148434537125
-291300,0,5027754148434537125
-291360,104743678415238298,4923010470019298827
-291420,0,4923010470019298827
-291480,0,4923010470019298827
-291540,0,4923010470019298827
-291600,0,4923010470019298827
-291660,0,4923010470019298827
-291720,0,4923010470019298827
-291780,0,4923010470019298827
-291840,0,4923010470019298827
-291900,0,4923010470019298827
-291960,0,4923010470019298827
-292020,0,4923010470019298827
-292080,0,4923010470019298827
-292140,0,4923010470019298827
-292200,0,4923010470019298827
-292260,0,4923010470019298827
-292320,0,4923010470019298827
-292380,0,4923010470019298827
-292440,0,4923010470019298827
-292500,0,4923010470019298827
-292560,0,4923010470019298827
-292620,0,4923010470019298827
-292680,0,4923010470019298827
-292740,0,4923010470019298827
-292800,0,4923010470019298827
-292860,0,4923010470019298827
-292920,0,4923010470019298827
-292980,0,4923010470019298827
-293040,0,4923010470019298827
-293100,0,4923010470019298827
-293160,0,4923010470019298827
-293220,0,4923010470019298827
-293280,0,4923010470019298827
-293340,0,4923010470019298827
-293400,0,4923010470019298827
-293460,0,4923010470019298827
-293520,0,4923010470019298827
